 	c'	est	une	assiette	en	terre	</S>
d	0.331853	0.475965	0.0837932	0.105479	0.00256567	0.000156751	0.00018775
í	0.475815	0.123026	0.061503	0.306726	0.0203647	0.00268502	0.00987987
s	0.03136	0.0712299	0.797058	0.0912865	0.00214858	0.004446	0.00247101
a	0.0718178	0.0315329	0.188822	0.70445	0.000558341	0.00136038	0.00145907
á	0.057243	0.0893183	0.241594	0.309759	0.0651181	0.00307906	0.233889
n	0.0313899	0.0264164	0.065269	0.566047	0.255599	0.0115458	0.0437325
i	0.0145104	0.00504435	0.0410508	0.892705	0.021458	0.00640416	0.0188272
l	0.00554536	0.0183186	0.153871	0.0643634	0.640449	0.0385175	0.0789349
á	0.00849603	0.0122334	0.0149543	0.00761653	0.248404	0.115198	0.593098
t	0.0201262	0.0172025	0.0365161	0.060794	0.215296	0.449636	0.200429
s	0.00176447	0.00983462	0.00836337	0.0129422	0.0576765	0.860644	0.0487744
ε	0.000570506	0.00220845	0.0128318	0.00840067	0.0198156	0.939231	0.0169424
n	0.00077604	0.00329414	0.00512741	0.000669548	0.0256301	0.813447	0.151056
g	0.000744951	0.00226892	0.00287926	0.00659108	0.119643	0.708711	0.159162
ε	0.00339813	0.00500061	0.0109021	0.000462599	0.0344353	0.682432	0.263369
</S>	0.00239304	0.00261139	0.00319977	0.000649736	0.22901	0.0254239	0.736712
