 	parmi	vous	deux	qui	ira	à	l'	étranger	avant	l'	autre	</S>
p	0.847169	0.0694753	0.0294375	0.0131116	0.0126992	0.0186473	0.00600089	0.000958704	0.000901837	0.00141585	7.70422e-05	0.000106219
á	0.343984	0.0220216	0.0463867	0.0442075	0.230197	0.0623212	0.0692242	0.143983	0.0265566	0.00516249	0.00530847	0.000647053
n	0.0231761	0.0392158	0.0574563	0.112465	0.252874	0.194661	0.164637	0.0665786	0.0120124	0.0147168	0.0117753	0.0504317
y	0.18564	0.041953	0.0946677	0.239026	0.128091	0.119448	0.0651569	0.0556378	0.0151139	0.0129921	0.00234554	0.0399277
á	0.225327	0.0490078	0.0179458	0.10406	0.184253	0.0668485	0.0717323	0.125638	0.0182938	0.0247959	0.0078895	0.104209
á	0.311602	0.153325	0.138809	0.269036	0.0231953	0.0301221	0.0156814	0.00542724	0.0128478	0.0118605	0.00241026	0.0256822
o	0.116916	0.0976066	0.272386	0.328259	0.0374996	0.022711	0.0232969	0.00836795	0.0437646	0.0166712	0.0070759	0.0254449
b	0.0222179	0.0188866	0.230628	0.256161	0.230337	0.0212632	0.0172254	0.0303914	0.122389	0.0125741	0.00928524	0.0286423
í	0.0147337	0.024501	0.274826	0.292561	0.175749	0.0343101	0.00801611	0.0105576	0.152483	0.00312697	0.00188434	0.00725137
n	0.066424	0.199978	0.259363	0.165038	0.0826375	0.0457274	0.0251974	0.00806124	0.0384904	0.00891025	0.00631987	0.0938529
í	0.201917	0.264399	0.265336	0.090429	0.0207944	0.0534807	0.0218387	0.00361228	0.0135216	0.0160633	0.00422994	0.044378
á	0.0112835	0.155392	0.390876	0.228567	0.1036	0.0439587	0.0201613	0.00428465	0.0103226	0.00990321	0.00458263	0.0170679
b	0.0165919	0.0291576	0.0835495	0.468205	0.157318	0.0817332	0.0537412	0.0161534	0.051031	0.0180842	0.00946684	0.0149684
a	0.0257243	0.0566319	0.182301	0.176958	0.103387	0.31848	0.0582364	0.00987118	0.0412935	0.0127776	0.00562484	0.00871373
á	0.0227172	0.0956203	0.166872	0.168598	0.0867671	0.192725	0.0542379	0.00895391	0.0141261	0.0236633	0.018555	0.147163
o	0.00504074	0.00390521	0.0325622	0.227979	0.121786	0.281332	0.167309	0.0598943	0.0345678	0.0211561	0.00790479	0.0365622
d	0.000399845	0.000198499	0.00385367	0.0244906	0.508206	0.0386741	0.0458236	0.332622	0.0413026	0.00103667	0.00173166	0.00165978
z	0.000336116	0.000168004	0.00260136	0.0346039	0.632081	0.0229768	0.0370681	0.11821	0.134977	0.00104016	0.00461932	0.0113188
w	0.00144	0.000569325	0.0031777	0.0206363	0.924199	0.00549877	0.00741633	0.0231101	0.0125166	0.000125455	0.000237001	0.00107307
e	0.00354049	0.00353731	0.0188841	0.12892	0.240105	0.115784	0.118726	0.112278	0.0409052	0.0230373	0.0151885	0.179094
n	0.00280344	0.00160388	0.0081669	0.0662919	0.0317277	0.363223	0.275021	0.12527	0.073935	0.0197788	0.005296	0.0268824
g	0.0274121	0.0440192	0.00819933	0.0107797	0.0170648	0.111847	0.22352	0.433861	0.00830273	0.0199225	0.0210376	0.0740334
o	0.00198189	0.0329041	0.00983157	0.00914714	0.0161722	0.139998	0.254216	0.491339	0.0204919	0.00753984	0.00639548	0.00998201
l	0.00144998	0.00704489	0.00317448	0.00412396	0.0256752	0.0606323	0.110305	0.674253	0.0365571	0.0127124	0.0168357	0.0472364
o	0.0050569	0.00204817	0.00457843	0.0140434	0.0262183	0.272726	0.196809	0.400076	0.0289926	0.0162087	0.00278792	0.0304539
y	0.00178384	0.00155465	0.00351516	0.0146135	0.00627961	0.290102	0.251514	0.167644	0.0638974	0.136285	0.0162851	0.0465261
á	0.0282772	0.00628115	0.0127705	0.039767	0.0322552	0.161258	0.253917	0.262622	0.0696139	0.0644877	0.043984	0.0247662
p	0.0090745	0.0160135	0.0264708	0.036382	0.0078575	0.0818911	0.217617	0.139707	0.164	0.204784	0.0623465	0.033856
o	0.00222039	0.00187091	0.00342742	0.00488418	0.009741	0.0437632	0.157171	0.600038	0.105459	0.028677	0.0228057	0.019942
o	0.0194183	0.0029857	0.00146364	0.00795265	0.0775975	0.0445593	0.153062	0.557193	0.0605927	0.0223304	0.027426	0.0254189
o	0.00260193	0.000564057	0.00142197	0.0126468	0.00252814	0.0377947	0.0707771	0.0232136	0.127922	0.501317	0.0655477	0.153665
b	0.000470271	0.000313323	0.00388758	0.02814	0.00693384	0.017196	0.0406926	0.0228908	0.352539	0.279596	0.185328	0.0620123
o	2.21881e-05	5.67554e-05	0.00131595	0.00618015	0.00380997	0.0172348	0.0350421	0.0108186	0.79719	0.0559818	0.0339237	0.0384235
s	2.95532e-05	7.02746e-05	0.00106088	0.00682413	0.00806939	0.0176043	0.0381787	0.090337	0.631648	0.0313464	0.0182214	0.156611
ó	0.000165388	5.05222e-05	0.000209827	0.00253357	0.017488	0.0204916	0.0514244	0.161145	0.395277	0.0871304	0.0955662	0.168518
n	0.00201622	0.00278372	0.00353107	0.00813642	0.00224214	0.0480194	0.0530658	0.0101465	0.08781	0.317213	0.158877	0.306159
d	0.0146087	0.00622248	0.00186959	0.00141705	0.0030339	0.012634	0.0368056	0.0298426	0.0105205	0.247309	0.432382	0.203356
a	0.00195171	0.00357147	0.000817563	0.000439199	0.00169732	0.00452465	0.0118114	0.0196558	0.0138163	0.151105	0.44586	0.34475
</S>	0.000694619	0.000146595	0.000122074	0.000140443	0.00143924	0.00553367	0.021264	0.0234933	0.0128649	0.136683	0.475882	0.321735
