 	il	l'	a	attendu	longtemps	</S>
w	0.864067	0.0859958	0.0431526	0.00320671	0.00340487	0.000172865
a	0.63376	0.26445	0.0610436	0.0205614	0.0196088	0.000575826
á	0.0712274	0.353481	0.486275	0.0785827	0.00430165	0.00613239
k	0.00310219	0.0297236	0.293387	0.638146	0.0226224	0.0130188
y	0.00807841	0.0356317	0.376978	0.418728	0.0791898	0.0813945
έ	0.040388	0.137734	0.657873	0.110429	0.0475257	0.00605084
έ	0.0691725	0.368499	0.384745	0.0496239	0.0716619	0.0562973
l	0.078861	0.237416	0.19218	0.114069	0.2305	0.146973
i	0.0659534	0.174219	0.329257	0.201192	0.192088	0.0372904
w	0.104005	0.24981	0.275288	0.0153593	0.117013	0.238524
á	0.0729357	0.184135	0.399486	0.144425	0.163176	0.0358431
o	0.0280845	0.0338542	0.0503072	0.0152905	0.110603	0.761861
y	0.00119342	0.00462674	0.0120086	0.0101654	0.476776	0.49523
í	0.00221493	0.0394396	0.0557468	0.0622946	0.0486409	0.791663
í	0.00186613	0.0115932	0.0224463	0.00140743	0.0103483	0.952339
</S>	0.00744124	0.0503901	0.06601	0.0130423	0.0808762	0.78224
