 	le	repas	a	brûlé	</S>
b	0.295491	0.699311	0.004973	8.87487e-05	0.000135676
e	0.0648088	0.924371	0.0102022	0.000171046	0.00044724
a	0.0160155	0.978086	0.00356488	8.29702e-05	0.00225021
í	0.196246	0.268133	0.420966	0.00364906	0.111006
m	0.0251695	0.0317519	0.790633	0.0779138	0.0745323
o	0.0172538	0.0175507	0.332101	0.458968	0.174126
b	0.0053951	0.000517935	0.0460775	0.904398	0.0436114
o	0.00468647	0.000500749	0.0373745	0.921134	0.0363046
n	0.0038932	0.00116438	0.00751359	0.917397	0.0700314
g	0.0507208	0.00876614	0.0640491	0.578054	0.29841
a	0.162769	0.0831458	0.0355236	0.28832	0.430241
</S>	0.0480225	0.00771019	0.389548	0.0495471	0.505173
