 	son	père	est	un	homme	bienveillant	</S>
t	0.561693	0.412327	0.00853584	0.00463634	0.012566	7.44832e-05	0.000168191
á	0.0402784	0.954382	0.00277802	0.00135854	0.000566403	0.000418773	0.000218333
á	0.0192044	0.89234	0.0366081	0.0182887	0.00455939	0.00724829	0.0217508
y	0.329358	0.394026	0.125626	0.0318448	0.0124385	0.00169171	0.105015
a	0.35336	0.397838	0.106846	0.0508189	0.00515016	0.0183545	0.0676322
w	0.679951	0.103992	0.109511	0.0610399	0.00357175	0.00332627	0.0386082
a	0.372867	0.388857	0.103482	0.0626409	0.0103283	0.00904198	0.0527827
a	0.100751	0.150924	0.548873	0.0979166	0.0201455	0.00387267	0.0775168
d	0.00480814	0.0174005	0.743416	0.149199	0.0373916	0.0121638	0.0356204
í	0.0066171	0.00275072	0.619376	0.199022	0.0290191	0.00939493	0.13382
l	0.00673505	0.00120543	0.29635	0.298766	0.184056	0.00751801	0.205369
a	0.00895796	0.00936888	0.240045	0.232964	0.0465306	0.039489	0.422645
o	0.0471099	0.0104855	0.177467	0.275777	0.192514	0.237981	0.058665
m	0.00232419	0.00102592	0.0783982	0.177855	0.572573	0.135066	0.0327577
o	0.000400792	0.000714666	0.0538291	0.259311	0.250685	0.311482	0.123577
r	0.000837543	0.00160533	0.19874	0.397518	0.152434	0.166643	0.0822221
o	0.00547605	0.000297526	0.0891105	0.502066	0.164529	0.102981	0.135541
a	0.000644512	7.13698e-05	0.107139	0.234693	0.120823	0.0842668	0.452362
m	0.00913286	0.000867045	0.105187	0.21225	0.203631	0.235039	0.233894
w	0.0128843	0.00238995	0.0598396	0.115537	0.152549	0.107317	0.549484
ε	0.0143328	0.00338298	0.0133933	0.193122	0.177925	0.443333	0.154512
</S>	0.000187342	3.93961e-05	0.0163469	0.102932	0.110536	0.0723869	0.697571
