 	la	voiture	s'	est	embourbée	dans	la	mare	</S>
o	0.957208	0.0359853	0.00357102	0.00184761	0.000559169	0.000355486	0.000390566	7.29818e-05	1.03259e-05
t	0.5568	0.435587	0.00363242	0.000823346	0.000144492	0.00108264	0.000759555	0.000690311	0.00048017
ω	0.0900531	0.896807	0.00150792	0.00231942	0.000101345	0.00560449	0.00139801	0.00140933	0.000799845
m	0.114814	0.865044	0.00546139	0.00398689	0.00216466	0.00398253	0.000563433	0.000539602	0.00344305
b	0.153617	0.479224	0.0335671	0.039525	0.151176	0.0237082	0.0163259	0.0285889	0.0742673
í	0.253764	0.288992	0.110262	0.0846155	0.136805	0.035411	0.00864116	0.00234598	0.0791637
l	0.125232	0.662508	0.124128	0.0171384	0.00417042	0.00749659	0.0109127	0.00404841	0.0443654
i	0.437197	0.417032	0.039855	0.0147245	0.00826969	0.0226323	0.012866	0.0054301	0.0419928
ó	0.248416	0.148144	0.476502	0.0888642	0.0137882	0.00744174	0.00780674	0.000935264	0.0081012
m	0.111019	0.103028	0.368069	0.329969	0.0569746	0.0189438	0.0049489	0.000948625	0.00609827
i	0.0269427	0.00581947	0.13994	0.547712	0.217536	0.0159074	0.0130271	0.00599016	0.0271245
b	0.00104617	0.0161441	0.0745329	0.486924	0.396768	0.00833142	0.00222689	0.000614961	0.0134116
h	0.000734175	0.00375175	0.0318428	0.515805	0.432339	0.00524663	0.000920152	0.00110287	0.00825771
á	0.000377948	0.00122962	0.00839362	0.159376	0.825971	0.00242305	0.000385819	0.000451043	0.00139261
r	0.00284677	0.011135	0.0424945	0.192169	0.729088	0.013944	0.00331869	0.00106128	0.00394315
á	0.0096888	0.0139726	0.0680033	0.330297	0.293698	0.0921164	0.115184	0.0292782	0.0477609
á	0.00530106	0.00213157	0.162879	0.349274	0.370077	0.0652067	0.0268036	0.0107475	0.00757918
s	0.0143238	0.00227757	0.128492	0.0861824	0.129778	0.436921	0.15612	0.0234779	0.0224282
í	0.00247774	0.00146749	0.0334629	0.0442559	0.0206804	0.344936	0.189798	0.19835	0.164571
s	0.0198715	0.00102538	0.0251715	0.0194344	0.0106856	0.289613	0.257424	0.316038	0.060736
e	0.000779165	0.00275828	0.00924974	0.00929179	0.00882689	0.320586	0.129725	0.451579	0.0672042
b	0.00028296	0.000353051	0.00110909	0.00150539	0.00221507	0.109207	0.124032	0.637694	0.123602
h	0.00170584	0.00198207	0.00467145	0.0166884	0.0136697	0.41217	0.166209	0.248954	0.13395
e	0.00175974	0.00685693	0.00292216	0.00927668	0.139334	0.18866	0.0836497	0.249584	0.317958
</S>	0.000186386	0.000345248	0.000776607	0.00156233	0.00805218	0.147177	0.163694	0.234874	0.443332
