 	la	maison	sur	pilotis	avance	sur	le	fleuve	</S>
n	0.131456	0.726436	0.0706388	0.0203587	0.0340483	0.0104042	0.00637583	0.000107956	0.000174025
d	0.0392386	0.960063	0.000274264	0.000344729	1.9311e-05	7.52077e-06	3.58818e-05	1.4972e-05	2.06322e-06
é	0.0169256	0.979594	0.000325308	0.00154818	0.000110973	4.12167e-05	0.000139874	0.00119312	0.000121312
e	0.169694	0.742909	0.0126528	0.0344028	0.00559686	0.00170481	0.00559482	0.0195398	0.00790507
y	0.236074	0.119249	0.50136	0.0406328	0.0201265	0.0221797	0.00994372	0.00378177	0.0466518
á	0.624027	0.0437554	0.147168	0.0594883	0.032008	0.0142783	0.0133218	0.0101011	0.0558522
p	0.803332	0.0463284	0.035908	0.0664876	0.0301578	0.00331854	0.00578617	0.00495691	0.00372416
f	0.0390417	0.00712748	0.112752	0.64519	0.11055	0.0137912	0.0100139	0.0273585	0.0341749
ú	0.070248	0.00638378	0.280387	0.485565	0.1111	0.021928	0.00450306	0.00709051	0.0127937
l	0.127811	0.00535005	0.131452	0.546275	0.139467	0.0163136	0.0197996	0.00640933	0.00712186
ú	0.15125	0.0054696	0.260516	0.378694	0.108877	0.0319489	0.023394	0.00492991	0.0349206
b	0.0262498	0.00118204	0.337329	0.272927	0.260449	0.0428612	0.0251742	0.00253383	0.0312941
ó	0.166476	0.00250818	0.213094	0.211036	0.263314	0.0943269	0.0281747	0.00542271	0.0156482
y	0.0315963	0.00094602	0.233342	0.104179	0.314437	0.14517	0.094202	0.0130561	0.0630725
é	0.0746411	0.00145801	0.109363	0.194299	0.307189	0.159507	0.0889498	0.0458534	0.0187406
e	0.0157408	0.000333692	0.0574249	0.0852101	0.476332	0.188094	0.125369	0.0246742	0.0268216
k	0.00281909	0.000423054	0.0801944	0.0687895	0.196143	0.397116	0.145911	0.0464722	0.0621314
y	0.000590623	0.000173627	0.10913	0.253695	0.283657	0.179253	0.0509352	0.0265497	0.0960158
ε	0.00659449	0.000233367	0.0340774	0.355471	0.326395	0.116645	0.067476	0.0343357	0.0587723
l	0.00133956	7.47411e-05	0.0291493	0.168889	0.395441	0.119976	0.185751	0.0214524	0.0779267
έ	0.0016627	8.21648e-05	0.0521064	0.268378	0.359775	0.107629	0.106777	0.0281822	0.0754075
s	0.00313747	0.000101532	0.00905581	0.0176827	0.152525	0.33233	0.405202	0.0321216	0.0478442
á	0.0117272	0.000134255	0.0326242	0.0366188	0.126749	0.259759	0.312666	0.148835	0.070887
ε	0.0107724	0.000369556	0.00374407	0.00874199	0.0813191	0.115255	0.262866	0.500669	0.0162627
b	0.00074643	0.000260882	0.00962222	0.0117238	0.0122887	0.119789	0.0888364	0.636499	0.120234
a	0.00130968	0.000183881	0.156044	0.0352078	0.028827	0.220018	0.130421	0.338861	0.0891271
a	0.000599957	0.000102077	0.00513489	0.00777785	0.0249702	0.075197	0.0389404	0.27517	0.572107
</S>	0.00531475	0.000105713	0.0145639	0.0109066	0.0309985	0.0851876	0.167337	0.286084	0.399503
