 	il	est	mélancolique	parce	qu'	il	a	perdu	sa	mère	</S>
w	0.84209	0.0892187	0.0156333	0.0220026	0.00972472	0.00497314	0.00365016	0.0015961	0.0107419	0.00031313	5.5911e-05
a	0.805236	0.0907497	0.0320819	0.0212028	0.00758471	0.00589129	0.00429009	0.00325322	0.0293787	0.000301487	3.06408e-05
a	0.246191	0.596888	0.0263415	0.0110596	0.0134255	0.0187637	0.0199128	0.032529	0.00903727	0.0190859	0.00676521
d	0.077961	0.553763	0.193578	0.0176417	0.0207161	0.0372848	0.0406105	0.0202219	0.00773816	0.00216138	0.028324
í	0.0295287	0.655292	0.126498	0.0047533	0.00684343	0.0111222	0.0341003	0.0601339	0.00245084	0.000156322	0.0691207
y	0.0229769	0.222762	0.112416	0.0581976	0.0316014	0.0317164	0.0454472	0.130576	0.0153027	0.000877812	0.328127
o	0.0474175	0.260955	0.339771	0.059101	0.0553166	0.0504271	0.0111619	0.0259088	0.0931265	0.00744622	0.0493685
n	0.0107877	0.0242543	0.855721	0.0542352	0.0187886	0.0136698	0.00275531	0.00536777	0.00452031	0.00262338	0.00727653
g	0.00112902	0.00423287	0.947269	0.0169352	0.0036091	0.0020846	0.000732381	0.00377992	0.00146806	0.0115288	0.00723086
ó	0.00978827	0.0109244	0.737676	0.0291704	0.00540712	0.00352845	0.00178887	0.00844804	0.00134694	0.180645	0.0112767
n	0.00315019	0.00581054	0.46872	0.219048	0.0323333	0.0208702	0.010312	0.0418822	0.0091083	0.167023	0.0217419
g	0.00752514	0.0194557	0.128088	0.273994	0.127974	0.0395984	0.0121427	0.0446445	0.0036134	0.00200745	0.340956
ó	0.0566627	0.016811	0.542364	0.217119	0.0551141	0.0211528	0.00363846	0.0274252	0.00407276	0.0142783	0.0413622
t	0.0264076	0.036398	0.0646772	0.202213	0.203411	0.202653	0.0662676	0.116154	0.012416	0.00568286	0.0637197
s	0.0303048	0.0103832	0.00690998	0.5713	0.292179	0.0495921	0.0118765	0.00638528	0.00758756	0.000464589	0.0130162
i	0.00120378	0.00247278	0.00645261	0.553671	0.236983	0.0640786	0.0301749	0.0420695	0.0162689	0.000438705	0.0461858
n	0.00145496	0.00322152	0.00499383	0.362455	0.382734	0.150851	0.0200909	0.0283701	0.00881032	0.000229688	0.0367889
a	0.0123848	0.00950423	0.0953027	0.276268	0.190138	0.136565	0.0152867	0.0426066	0.0445953	0.0078565	0.169491
n	0.00363899	0.00781853	0.00748122	0.16384	0.292404	0.248423	0.147832	0.0882041	0.0176037	0.00108439	0.0216711
g	0.00621094	0.0115165	0.110251	0.0374339	0.067887	0.160556	0.0497955	0.106581	0.0682029	0.197467	0.184098
ó	0.000462706	0.00181486	0.127081	0.050019	0.0371866	0.0715863	0.0614615	0.109196	0.013167	0.504186	0.0238398
o	0.000408629	0.00178539	0.0901476	0.0661855	0.0303555	0.0400312	0.0288639	0.048528	0.0237879	0.614054	0.0558528
á	0.00211624	0.00466847	0.00547877	0.0535188	0.137364	0.344661	0.291932	0.0859073	0.0162062	0.035547	0.0225997
m	0.00407806	0.0532075	0.00883204	0.00215399	0.00286507	0.0181375	0.323781	0.392738	0.027084	0.0743115	0.0928114
i	0.000664386	0.0246245	0.00648404	0.0010665	0.00318121	0.0165719	0.106523	0.293776	0.316142	0.0156691	0.215298
w	0.00108973	0.0328253	0.0113618	0.000798782	0.00150812	0.0064317	0.12813	0.509775	0.0726837	0.0217457	0.21365
á	0.000174669	0.00625157	0.0207331	0.00143702	0.0016886	0.00818833	0.129104	0.678959	0.0199855	0.00454193	0.128936
a	0.000499688	0.00435518	0.00216027	0.016189	0.0227956	0.0515941	0.121706	0.312822	0.18568	0.00563094	0.276567
</S>	0.00123691	0.00110231	0.00213483	0.0125434	0.0250875	0.0474125	0.0455037	0.208959	0.485256	0.0421249	0.128639
