 	on	fabrique	le	tam-tam	avec	la	peau	de	cabri	</S>
b	0.609949	0.181698	0.123441	0.0352763	0.0352535	0.00927233	0.00188698	0.00239413	0.000766114	6.32721e-05
á	0.617817	0.0880072	0.106839	0.137825	0.0200807	0.00420704	0.00166502	0.00555884	0.0173529	0.000647622
a	0.751753	0.142301	0.0701825	0.00760372	0.0135902	0.00552246	0.000548987	0.00103261	0.00666645	0.000798424
k	0.239202	0.490617	0.202435	0.0189417	0.00743593	0.00761851	0.0085536	0.00494647	0.000119064	0.0201309
á	0.0494696	0.4384	0.217657	0.0714714	0.0350996	0.0211392	0.100668	0.022969	0.000911033	0.0422151
n	0.0459509	0.390051	0.171528	0.109684	0.0255018	0.0162889	0.136805	0.0056842	0.000643904	0.0978619
d	0.160218	0.448444	0.269636	0.0384289	0.023523	0.0159798	0.00930129	0.00606398	0.000556953	0.0278479
á	0.0744164	0.3828	0.245869	0.063035	0.0621125	0.0501181	0.0039102	0.0120406	0.00227973	0.103418
i	0.0637742	0.116894	0.390134	0.0883877	0.205502	0.0852964	0.0164824	0.0212397	0.00286781	0.00942206
s	0.0142197	0.0522754	0.224656	0.342971	0.163672	0.119291	0.0590296	0.0114563	0.00233341	0.0100958
i	0.000825904	0.0068873	0.0728425	0.556678	0.210359	0.12176	0.00713759	0.0103467	0.00261158	0.0105516
m	0.000519117	0.00212124	0.0351888	0.240917	0.432358	0.233741	0.012281	0.0131116	0.00413395	0.0256288
b	0.00102886	0.00247371	0.0311139	0.238122	0.425576	0.174979	0.00144711	0.043346	0.031419	0.0504935
á	0.0031389	0.0149322	0.061173	0.181313	0.409347	0.212075	0.0298251	0.0187035	0.0199315	0.0495614
m	0.00250747	0.0100913	0.0329501	0.0107437	0.215243	0.38499	0.139892	0.110367	0.0061357	0.0870793
é	0.00109161	0.00145233	0.0181471	0.0284678	0.174492	0.17438	0.012322	0.299312	0.134505	0.15583
k	0.00144386	0.00508327	0.0342986	0.0535761	0.0671065	0.157386	0.325318	0.283315	0.034093	0.0383796
ó	0.000393573	0.00102918	0.00316218	0.00199722	0.0073295	0.0274604	0.889595	0.0387375	0.00115256	0.0291429
r	0.000284918	0.00195039	0.00501077	0.00832664	0.0292673	0.0436611	0.658605	0.0920399	0.0467966	0.114058
ó	0.0007777	0.0108937	0.0200997	0.0393074	0.0513179	0.12557	0.314746	0.130387	0.013288	0.293613
y	0.00240953	0.00658433	0.0115012	0.00363347	0.0478175	0.08918	0.0607703	0.325854	0.0480872	0.404163
á	0.00260295	0.0150215	0.0738996	0.0209555	0.0876755	0.1582	0.0157617	0.410968	0.0942048	0.12071
m	0.025436	0.0111212	0.0665074	0.0142599	0.031971	0.0514622	0.0161684	0.618692	0.106109	0.0582725
b	0.000894866	0.00135327	0.0144513	0.0604692	0.0247013	0.0131397	0.0018589	0.283996	0.51086	0.0882753
ó	0.000105597	0.000106979	0.000947535	0.00137708	0.000918118	0.001291	0.00144474	0.018346	0.971668	0.00379495
s	6.98514e-05	0.000170905	0.00063059	0.00370206	0.00132268	0.00150859	0.0112938	0.0189246	0.943319	0.0190583
i	0.000652371	0.00679159	0.0122949	0.0198898	0.0225497	0.0519866	0.0267408	0.226484	0.387889	0.244721
</S>	0.00175218	0.00458964	0.00630022	0.00272796	0.0130813	0.0451236	0.0328839	0.213728	0.0529193	0.626894
