 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
m	0.541692	0.423386	0.00622706	0.000791205	0.00349889	0.00172623	0.0055382	0.00450424	0.0096816	0.00257828	0.000230512	0.000145889
v	0.012431	0.93412	0.0422088	0.000888021	0.00413609	0.000199778	0.000204384	0.000281541	0.000234874	0.000648655	0.000741889	0.00390532
á	0.00173716	0.992146	0.000748565	9.72627e-05	0.00148513	0.000980467	1.03084e-05	8.71276e-05	0.00221783	6.40495e-05	0.000399081	2.719e-05
n	0.201368	0.784774	0.0027269	0.000171168	0.000862419	0.000848292	0.00026366	0.000544665	0.000839823	0.000502216	0.00200685	0.00509211
d	0.109815	0.412138	0.193838	0.0406478	0.0393473	0.0486465	0.0171271	0.0127835	0.00952851	0.00423819	0.00231417	0.109576
é	0.171718	0.709409	0.0530534	0.00636799	0.00693638	0.00543986	0.00556682	0.00317266	0.00228839	0.00171133	0.00152561	0.0328111
á	0.0455142	0.01926	0.75927	0.101841	0.0206964	0.00450977	0.0130241	0.00755088	0.00433104	0.00502066	0.0012931	0.0176891
m	0.0245643	0.0226612	0.313621	0.42227	0.0612009	0.0549614	0.0055896	0.00848635	0.0379525	0.0127926	0.00537821	0.0305216
i	0.0130763	0.00220675	0.137164	0.211982	0.379435	0.142824	0.0172858	0.0136048	0.00740253	0.0127569	0.0127219	0.0495409
p	0.00400977	0.00988603	0.0845704	0.711115	0.0477625	0.107405	0.00326294	0.00145958	0.00697231	0.00213361	0.00292293	0.0185001
i	0.000568674	0.000205278	0.0122107	0.845375	0.0158865	0.104735	0.00230974	0.00150025	0.003818	0.000797604	0.00107839	0.0115148
á	0.00326172	0.00139346	0.0591738	0.391511	0.116887	0.311503	0.0188656	0.0177802	0.02994	0.0080635	0.00409978	0.0375209
e	0.0118395	0.00454715	0.026624	0.0605073	0.247015	0.255661	0.212525	0.0751428	0.0378019	0.0364315	0.0118793	0.0200264
b	0.00320453	0.00980712	0.0103059	0.0803536	0.179857	0.419654	0.0505551	0.0423522	0.120535	0.0174601	0.0287932	0.0371218
h	0.00104084	0.00186789	0.00508816	0.0235737	0.0789189	0.502867	0.00936527	0.0469539	0.307482	0.00675854	0.00653103	0.00955361
e	0.00030222	0.00386591	0.00262804	0.00756547	0.0834817	0.729705	0.0051682	0.0119385	0.127753	0.00576381	0.00394566	0.0178832
s	0.000694334	0.000222033	0.00230488	0.00551079	0.0533269	0.793299	0.0428851	0.0225256	0.0468599	0.00736122	0.00220755	0.0228029
é	0.00142629	0.000608961	0.0013661	0.0101123	0.0556159	0.420901	0.0539867	0.0349005	0.0169359	0.0178034	0.0523291	0.334014
y	0.00359262	0.000123651	0.00455766	0.00834753	0.0597736	0.0411034	0.318875	0.238247	0.0963802	0.16278	0.0240525	0.0421674
έ	0.0708828	0.000393796	0.00917561	0.0255378	0.0616691	0.031764	0.164531	0.149662	0.0119742	0.117913	0.29393	0.0625668
έ	0.00551135	9.21233e-05	0.00114204	0.00271644	0.0312832	0.0209647	0.313984	0.222636	0.0260506	0.19388	0.119016	0.0627224
b	0.0008872	0.000335484	0.00189722	0.00386003	0.0216935	0.0247146	0.0169179	0.0766552	0.262517	0.226134	0.245042	0.119347
v	0.0006042	0.000359695	0.00133214	0.00139417	0.012981	0.0231101	0.00383819	0.0706095	0.793774	0.0556469	0.017253	0.0190968
έ	0.00267865	0.00205527	0.00091011	0.00113966	0.0153483	0.0496879	0.00650067	0.0571386	0.76377	0.0586138	0.0119631	0.0301944
έ	0.00155406	6.64437e-05	0.000434145	0.000324332	0.0181322	0.0556116	0.133978	0.0933584	0.16333	0.166718	0.0279316	0.338561
k	0.00157683	9.69004e-05	0.00352694	0.00185456	0.0221684	0.00767323	0.0313431	0.0652145	0.182375	0.452821	0.0458919	0.185457
ú	0.000686794	0.000606153	0.00170839	0.00473037	0.00771286	0.0799644	0.00757611	0.0942391	0.63438	0.0997808	0.0130804	0.0555348
m	0.00291402	0.000362094	7.54418e-05	0.000241646	0.0117044	0.063872	0.00276666	0.0176437	0.0991271	0.127895	0.191914	0.481485
ú	0.0128078	0.00034215	0.000619044	0.000802817	0.0238384	0.00670046	0.0685974	0.191742	0.0507003	0.296842	0.284946	0.0620613
</S>	0.00460204	0.000100045	0.00159675	0.000467974	0.016041	0.0056092	0.0426763	0.0477858	0.0525784	0.161418	0.0485988	0.618526
