 	la	berge	est	très	élevée	à	cet	endroit	</S>
e	0.544782	0.338517	0.0305042	0.0269865	0.0134556	0.0209841	0.0109502	0.00770815	0.00611261
b	0.187382	0.327214	0.0936624	0.165594	0.0626481	0.0409007	0.0200012	0.064306	0.0382922
é	0.0331827	0.652369	0.0702784	0.132068	0.049238	0.0111497	0.00702668	0.0326859	0.0120018
e	0.028292	0.34054	0.108907	0.133069	0.0872094	0.0352754	0.0112098	0.0585683	0.19693
y	0.169374	0.255318	0.446344	0.0462807	0.0173218	0.014099	0.00821173	0.00417268	0.0388789
í	0.14373	0.0860721	0.192905	0.212208	0.119522	0.0448706	0.0457728	0.00997686	0.144943
o	0.173799	0.06412	0.278956	0.198229	0.0926858	0.0330484	0.0401673	0.0108271	0.108167
k	0.00838037	0.0263989	0.0810882	0.17085	0.604975	0.0424012	0.013155	0.0146094	0.0381422
i	0.000643899	0.00137832	0.00945768	0.067366	0.849772	0.0241995	0.00484536	0.0112809	0.031056
l	0.00165542	0.00884257	0.0250002	0.130714	0.746125	0.0393374	0.00837091	0.0127892	0.0271648
i	0.0049946	0.0129181	0.0660364	0.240455	0.447026	0.07328	0.0145306	0.0376876	0.103072
ó	0.0184032	0.017944	0.317819	0.142835	0.211175	0.163467	0.0616793	0.0292276	0.0374502
p	0.00366839	0.0120294	0.0509931	0.051848	0.0895426	0.395852	0.188884	0.151258	0.0559247
é	0.000698267	0.00237713	0.0142013	0.086467	0.595236	0.147514	0.0341498	0.0840693	0.0352869
n	0.000487609	0.00269221	0.0472368	0.148438	0.265627	0.194263	0.0617015	0.153281	0.126273
d	0.00286541	0.00215349	0.0216106	0.147523	0.36975	0.19374	0.0600114	0.084423	0.117923
í	0.0039698	0.00142798	0.0132842	0.106435	0.203955	0.104843	0.0551336	0.0681357	0.442816
i	0.0027983	0.00114411	0.0472526	0.0588537	0.0921808	0.235993	0.210003	0.13262	0.219154
k	0.018107	0.00717425	0.0723857	0.0613021	0.0826247	0.234074	0.227849	0.183898	0.112584
o	0.000749033	0.0175361	0.037772	0.0437835	0.0217413	0.244942	0.119405	0.393172	0.120899
ó	0.000459908	0.00432256	0.0149129	0.0317062	0.0910268	0.187941	0.0511001	0.151597	0.466933
</S>	0.0173366	0.00759843	0.0466971	0.0169818	0.0169461	0.152408	0.252758	0.162347	0.326927
