 	il	débrousse	les	alentours	de	la	case	</S>
w	0.944176	0.00939478	0.0216286	0.00357402	0.00513589	0.0155466	0.000507844	3.66043e-05
a	0.855452	0.00600774	0.0753057	0.000719246	0.0124302	0.0494006	0.000637616	4.68028e-05
l	0.6013	0.194879	0.151827	0.00278744	0.0210248	0.0155257	0.00213649	0.0105193
á	0.2244	0.0803973	0.14579	0.00505405	0.0641335	0.0297382	0.0115151	0.438972
a	0.303042	0.0928075	0.195434	0.00335401	0.059503	0.106572	0.07287	0.166417
t	0.0101157	0.957946	0.0159855	0.00959625	0.00159176	0.000311657	0.000474519	0.0039782
s	0.0158607	0.93054	0.0327666	0.0116305	0.00295436	0.000296967	0.000225463	0.00572564
á	0.0300977	0.64665	0.201013	0.10031	0.0159528	0.00280097	0.000473915	0.00270163
á	0.0175492	0.130289	0.488393	0.194961	0.0700422	0.0369985	0.0103155	0.0514511
p	0.077998	0.0673361	0.548566	0.177069	0.0551098	0.0434831	0.0232814	0.00715622
f	0.0023485	0.0297517	0.0360436	0.919346	0.00865354	0.000720922	0.00148914	0.00164687
ú	0.00298383	0.0286409	0.122637	0.79636	0.0320567	0.00713446	0.00736541	0.00282216
l	0.0331653	0.0196457	0.328365	0.401207	0.0891216	0.0795522	0.0262881	0.0226554
ú	0.0190297	0.0493265	0.574718	0.0881285	0.121581	0.0733352	0.022314	0.0515667
p	0.0274915	0.0548375	0.265077	0.196713	0.300907	0.0773504	0.00334773	0.0742754
ε	0.00783628	0.00805077	0.0428134	0.855513	0.0404567	0.0115072	0.0187981	0.015025
έ	0.00441834	0.00272763	0.0913894	0.419221	0.243019	0.114388	0.0691242	0.0557132
p	0.00432499	0.0139485	0.0345398	0.0520786	0.416073	0.272478	0.112598	0.0939599
ε	0.00182475	0.00763601	0.0193094	0.66678	0.183291	0.0426181	0.0282796	0.0502609
έ	0.000794804	0.00244961	0.0604386	0.279658	0.265453	0.128077	0.113682	0.149446
l	0.00382715	0.00743614	0.0339457	0.0193464	0.228596	0.222931	0.148077	0.335841
a	0.0041035	0.0041891	0.0254783	0.00395018	0.192901	0.284982	0.185316	0.29908
n	0.00234302	0.00144741	0.0225149	0.00562851	0.113071	0.335844	0.396174	0.122977
d	0.000903283	0.000217897	0.00361399	0.000374966	0.00885666	0.0675857	0.897849	0.0205985
é	0.000228534	0.000107816	0.000754626	0.000187711	0.00233966	0.020729	0.942623	0.0330301
e	8.40244e-05	0.000562648	0.00550022	0.00187134	0.083137	0.170464	0.211155	0.527226
</S>	0.00161008	0.00203553	0.0275783	0.00995003	0.189975	0.192286	0.0541795	0.522386
