 	ekyéngé	est	utilisé	comme	fil	d'	attache	</S>
e	0.880125	0.10358	0.0106342	0.00340717	0.00124943	0.000716613	0.000233837	5.43326e-05
k	0.901075	0.0566898	0.0398862	0.000486921	0.000869532	0.00029792	0.000509057	0.000185473
y	0.893477	0.0266883	0.0714643	0.00118126	0.00150882	0.00032044	0.00390675	0.00145357
έ	0.897979	0.0457609	0.0429582	0.00352187	0.00602329	0.00125023	0.00167661	0.000829451
n	0.876335	0.0506683	0.012481	0.00710541	0.00201263	0.00318069	0.00535898	0.0428577
g	0.859189	0.0425995	0.0117456	0.0269312	0.0025369	0.0084262	0.0156797	0.0328922
έ	0.580829	0.0581158	0.0324792	0.0972463	0.0145545	0.0337192	0.0399423	0.143114
b	0.0403351	0.629954	0.0648356	0.165381	0.0160971	0.0485369	0.00359177	0.0312681
á	0.00728624	0.434006	0.0424516	0.421528	0.00798043	0.0256411	0.00795906	0.0531472
a	0.0116505	0.497949	0.0878139	0.290251	0.0413676	0.0282153	0.0101469	0.0326061
k	0.0261529	0.126215	0.722928	0.0470469	0.0279706	0.0119589	0.00931055	0.0284168
o	0.00107269	0.00928288	0.973481	0.00696983	0.00365876	0.000874853	0.00178108	0.00287902
b	0.0232099	0.0267055	0.914602	0.00899831	0.0173639	0.0028315	0.00312489	0.00316437
h	0.0597143	0.0766016	0.629304	0.106832	0.0210746	0.013727	0.0185904	0.0741562
á	0.11085	0.0710138	0.188791	0.336647	0.0744698	0.0553628	0.0244346	0.138431
m	0.00498123	0.04568	0.0263132	0.654586	0.179529	0.0724884	0.00426144	0.0121606
í	0.000493041	0.00832834	0.00315872	0.615344	0.071346	0.0882746	0.00846083	0.204594
k	0.000942725	0.011798	0.0137975	0.321113	0.418174	0.125329	0.0776056	0.0312399
a	0.00132477	0.00690521	0.0547332	0.0874677	0.365748	0.0671955	0.328597	0.0880287
n	0.000939621	0.00453167	0.0297538	0.193806	0.253954	0.158765	0.175759	0.182491
g	0.0164543	0.00930285	0.0485643	0.130171	0.36215	0.147857	0.0919742	0.193526
a	0.00580919	0.010693	0.00926809	0.225315	0.631105	0.0467325	0.0222453	0.0488317
l	0.000522881	0.00436788	0.00111004	0.0583729	0.043906	0.537831	0.11469	0.2392
í	0.00580416	0.0233536	0.00283298	0.0611582	0.078103	0.303861	0.200071	0.324817
b	0.00613898	0.00776043	0.00143665	0.0575943	0.048473	0.287937	0.397311	0.193349
v	0.00253015	0.0235797	0.0119267	0.0923629	0.0380835	0.137948	0.658035	0.035534
é	0.000153432	0.000808635	0.00290637	0.0331822	0.00828838	0.0402864	0.868063	0.0463114
é	0.000429072	0.00103745	0.00216	0.0303251	0.0201482	0.104051	0.558199	0.28365
</S>	0.0007655	0.0062266	0.00149559	0.0351862	0.00760943	0.235663	0.17336	0.539694
