 	l'	argent	suffit	pour	acheter	l'	ananas	</S>
m	0.622275	0.353524	0.0106784	0.0108029	0.00087933	0.00154234	0.000133385	0.000164874
b	0.0476698	0.948773	0.000225727	0.000649763	0.000729463	0.000322461	1.34185e-05	0.00161589
ώ	0.0070149	0.986777	0.00291177	0.0019946	0.000951934	0.000126516	9.66985e-05	0.000126115
n	0.0359138	0.953129	0.00141132	0.00267517	0.00186417	0.00112717	0.000179201	0.00370036
g	0.40751	0.545819	0.0111639	0.0191833	0.00156687	0.00177661	0.000357289	0.012623
ω	0.430894	0.562275	0.00142716	0.00215962	0.000537653	0.000319454	3.31393e-05	0.00235388
é	0.390841	0.184831	0.181607	0.1028	0.00633057	0.0451932	0.00237736	0.0860187
m	0.179181	0.00960488	0.649841	0.0956184	0.0187862	0.0229996	0.00479518	0.0191735
i	0.08295	0.0516208	0.251116	0.251113	0.267031	0.0368866	0.00843086	0.0508526
s	0.0165987	0.0106527	0.667797	0.0804081	0.195437	0.00525334	0.00507548	0.0187783
á	0.00608349	0.00414111	0.331078	0.0449983	0.601059	0.00121238	0.00117899	0.0102488
á	0.0208378	0.00189629	0.506383	0.0809077	0.0297489	0.0131442	0.00386419	0.343218
o	0.0202149	0.00609237	0.292784	0.573862	0.034589	0.0435198	0.0116954	0.0172421
k	0.000806521	0.00113247	0.695464	0.0800951	0.213718	0.0013553	0.00590176	0.00152685
o	5.27641e-05	3.31572e-05	0.946514	0.0274611	0.00447747	0.00224797	0.0150501	0.0041639
a	0.0001478	0.000155728	0.818469	0.111614	0.0197092	0.0121571	0.0214369	0.0163105
m	0.00139404	0.000298644	0.0561012	0.819166	0.0621886	0.0317035	0.00199795	0.0271495
í	0.0242647	0.00389141	0.0483597	0.240601	0.0294839	0.204432	0.0539923	0.394975
s	0.0110539	0.0035107	0.034578	0.185863	0.227764	0.222283	0.166613	0.148335
ó	0.00646103	0.00141597	0.0138766	0.163166	0.59982	0.0767897	0.0538244	0.0846465
m	0.000855873	0.000133263	0.0250853	0.0928722	0.655005	0.0903212	0.0773669	0.0583606
b	0.000769944	0.000220207	0.0149804	0.0421973	0.210426	0.233842	0.107127	0.390437
a	0.0139747	0.00846313	0.0170934	0.14299	0.0520274	0.176927	0.135441	0.453083
l	0.00128849	0.00023824	0.00827522	0.0424739	0.00930358	0.422244	0.213645	0.302532
é	0.00248194	0.00048295	0.0286819	0.0502133	0.0203513	0.274268	0.185749	0.437772
t	0.00434713	0.000303455	0.00804345	0.0331331	0.0481046	0.299894	0.354694	0.25148
o	0.000200427	3.64957e-05	0.0114697	0.00938291	0.00265543	0.0939644	0.844119	0.0381719
ó	9.55793e-05	1.39102e-05	0.00701184	0.00342998	0.00277651	0.0358422	0.855799	0.095031
</S>	0.00173678	0.000176335	0.0127469	0.0641596	0.0186975	0.510848	0.0720053	0.31963
