 	mon	pied	s'	est	enflé	</S>
n	0.84455	0.143979	0.00924063	0.00136471	8.14004e-05	0.000784007
g	0.996594	0.00262201	0.000586744	7.14184e-05	2.99353e-05	9.63251e-05
á	0.963383	0.0340714	0.00169607	0.000540598	0.000247817	6.16314e-05
e	0.498067	0.286024	0.143121	0.0312523	0.0108668	0.0306683
k	0.0605803	0.661446	0.108365	0.0667337	0.0207762	0.0820994
o	0.00395656	0.898055	0.032818	0.0188712	0.0074018	0.0388971
o	0.00961162	0.950049	0.00984078	0.0112383	0.0112458	0.00801458
é	0.0288848	0.00441993	0.395196	0.449509	0.0409136	0.0810766
m	0.0133148	0.00728544	0.14197	0.440916	0.260433	0.136081
i	0.00128884	0.000263925	0.0817069	0.429346	0.220785	0.266609
f	0.000151998	0.00130244	0.0101004	0.14954	0.735812	0.103093
ú	3.89755e-05	0.00827483	0.00573733	0.0390039	0.809602	0.137343
ú	2.67024e-05	0.00748556	0.0020651	0.00859156	0.826491	0.15534
s	0.00112802	0.000696086	0.0241356	0.0828698	0.332059	0.559112
a	0.0070735	0.000495245	0.0454564	0.0594942	0.122996	0.764484
</S>	0.00327455	0.000373141	0.0525823	0.0760373	0.121937	0.745796
