 	ils	se	boudèrent	longtemps	</S>
b	0.95509	0.0282075	0.00475914	0.0116127	0.000330361
á	0.952331	0.0314516	0.00232012	0.0123511	0.00154618
a	0.976586	0.0196093	0.000554161	0.000661747	0.00258865
á	0.0823684	0.651515	0.115716	0.0187565	0.131645
f	0.0172233	0.16529	0.722759	0.0580242	0.0367039
ú	0.0109933	0.196351	0.559607	0.132702	0.100346
ú	0.00344112	0.141067	0.524915	0.270435	0.0601418
s	0.0215084	0.26575	0.248569	0.213699	0.250474
á	0.0139868	0.184543	0.22288	0.237037	0.341554
l	0.137713	0.0858892	0.0865007	0.215362	0.474534
a	0.00970194	0.0415531	0.0800198	0.326043	0.542682
b	0.0236928	0.0629363	0.156343	0.386924	0.370105
i	0.487436	0.0632808	0.0286238	0.374443	0.0462165
a	0.0377141	0.0712071	0.0243761	0.232628	0.634075
o	0.00158007	0.0265135	0.0616955	0.233546	0.676665
l	0.00159819	0.0501001	0.215471	0.234124	0.498706
a	0.000445146	0.0334921	0.102445	0.393614	0.470004
á	0.000647504	0.00923906	0.0429025	0.125474	0.821737
</S>	0.0307643	0.069899	0.0425874	0.227046	0.629703
