 	j'	ai	acheté	des	oranges	à	tongo	</S>
n	0.869015	0.0756962	3.67209e-05	0.00708471	0.00018175	0.0470933	0.000667171	0.000225746
g	0.926715	0.0713345	0.000210432	0.00113431	5.82045e-05	0.000316598	0.000224402	6.82378e-06
á	0.631657	0.34318	0.0185835	0.00369712	0.000176128	0.000574099	0.00199665	0.000136338
í	0.0763251	0.251497	0.0554382	0.0548215	0.00464667	0.0574827	0.0146506	0.485138
s	0.00191082	0.00759705	0.975806	0.00736544	0.00159885	0.000756714	0.000617537	0.0043479
ó	0.00101489	0.0512751	0.947254	0.000276667	2.80483e-05	2.69416e-05	1.78902e-05	0.000106761
m	0.0189967	0.257658	0.653646	0.0186194	0.0190628	0.00382333	0.0239485	0.00424497
b	0.00351439	0.00405013	0.666221	0.0257955	0.283538	0.00188635	0.00412192	0.0108728
i	0.00750505	0.0378671	0.0312898	0.596955	0.115423	0.0742545	0.0313758	0.10533
i	0.0114969	0.056093	0.00280122	0.683675	0.0755136	0.15421	0.00232468	0.0138849
t	0.000194407	0.00338237	0.00524428	0.273889	0.66959	0.0144006	0.0172825	0.0160165
s	2.79223e-06	0.000150715	0.000677579	0.0337702	0.950961	0.00252911	0.00954441	0.00236459
w	3.06129e-06	6.47116e-05	0.00204984	0.0503249	0.933933	0.00650372	0.00474938	0.00237184
é	6.88799e-05	0.000654458	0.00158469	0.105037	0.776847	0.0765282	0.0135023	0.0257767
t	2.40889e-05	0.00176623	0.00113937	0.275152	0.278662	0.330004	0.00853753	0.104715
s	0.000106767	5.30061e-05	1.90623e-05	0.00875785	0.924734	0.0121802	0.0336849	0.020464
w	2.8459e-06	4.35383e-06	0.00017993	0.00888304	0.947541	0.0101421	0.0222367	0.0110096
e	7.59523e-05	3.12195e-05	0.000883204	0.0139396	0.946743	0.0123323	0.00790784	0.0180873
l	0.000294072	0.00011661	0.000426755	0.0042464	0.471874	0.0720001	0.0700732	0.380969
é	0.000109341	0.000128278	0.000178582	0.0198243	0.230981	0.085977	0.371093	0.291709
ó	0.000165621	0.000383748	0.000230075	0.0230106	0.0132174	0.57671	0.109205	0.277078
t	0.000231011	0.00449949	0.0101845	0.0381393	0.0144227	0.202951	0.48847	0.241103
ω	1.02486e-05	9.83952e-05	0.000232779	0.00641413	0.0629632	0.0268277	0.886088	0.017366
n	6.51868e-06	3.73376e-05	9.36673e-05	0.00503764	0.0494629	0.0288214	0.865653	0.0508876
g	4.2603e-05	7.61674e-05	3.27578e-05	0.00440643	0.0199507	0.0420146	0.850969	0.0825081
ω	0.000134254	1.53896e-05	4.58674e-06	0.00162942	0.0108809	0.0312102	0.881643	0.0744827
</S>	6.91406e-05	0.000130751	2.93895e-05	0.015565	0.0108848	0.0900255	0.139087	0.744208
