 	le	cultivateur	arrose	les	légu	mes	</S>
o	0.909815	0.0661682	0.0166337	0.00676955	0.000216011	0.00032201	7.59429e-05
s	0.0989344	0.800399	0.0942503	0.00139049	0.000589937	0.00258424	0.00185156
á	0.0651161	0.86848	0.0634712	0.000616418	0.00105143	0.000586693	0.000677833
i	0.113536	0.752128	0.034379	0.00204274	0.00233525	0.0071462	0.0884325
l	0.191315	0.266444	0.404605	0.0818132	0.00720559	0.00464495	0.0439716
á	0.101829	0.10814	0.320289	0.0907939	0.0220474	0.0393036	0.317598
a	0.243554	0.0291472	0.159643	0.459061	0.0484588	0.0205724	0.0395643
m	0.0156269	0.0639984	0.590865	0.197187	0.0741714	0.0181414	0.0400091
w	0.00324863	0.00809006	0.0531199	0.121191	0.796265	0.00419877	0.0138862
a	0.00446677	0.013422	0.145967	0.411908	0.35776	0.0148317	0.0516446
a	0.00511983	0.00700732	0.0794783	0.382912	0.376519	0.0144676	0.134496
g	0.0086797	0.0123979	0.120372	0.626213	0.0908634	0.0434322	0.0980416
h	0.0100918	0.015651	0.143565	0.405499	0.129322	0.13984	0.156031
á	0.00554363	0.00556627	0.139131	0.4724	0.0707044	0.125633	0.181022
a	0.00574705	0.00345221	0.0370795	0.397348	0.307525	0.111953	0.136895
t	0.00479223	0.0366013	0.126239	0.0977276	0.217459	0.423732	0.0934483
u	0.00203596	0.00786712	0.0546782	0.0856161	0.155196	0.327583	0.367024
n	0.00420939	0.00557609	0.0366499	0.0405218	0.0281186	0.189019	0.695905
g	0.0152213	0.0203099	0.0662613	0.202739	0.03793	0.493896	0.163643
u	0.0182412	0.0204844	0.0470785	0.165273	0.0603468	0.535239	0.153337
m	0.00256362	0.00198821	0.00566012	0.0987271	0.0215698	0.464832	0.404659
á	0.00501359	0.0022761	0.00292157	0.0532422	0.279051	0.247589	0.409906
a	0.00824957	0.00477411	0.0107166	0.0627049	0.0445354	0.750489	0.118531
</S>	0.00590151	0.0109285	0.0237338	0.0123786	0.00917597	0.619887	0.317994
