 	cette	manière	de	faire	couler	les	larmes	est	celle	des	filles	</S>
e	0.482801	0.338766	0.0699272	0.0997299	0.0044584	0.00145426	0.000453882	0.000481639	0.000518657	0.000478219	0.000810331	0.000121345
k	0.00315755	0.0126778	0.0186051	0.362498	0.558272	0.00830119	0.00572763	0.00654335	0.0150501	0.00192692	0.0069533	0.000286285
y	0.0231877	0.00866682	0.025442	0.476395	0.376392	0.0222383	0.0111111	0.01188	0.0193547	0.00442902	0.0199331	0.000970472
ε	0.00450915	0.0220866	0.00929795	0.112581	0.757261	0.0190789	0.00340136	0.0122924	0.00570398	0.00386878	0.0458218	0.00409711
l	0.0159084	0.0154523	0.0113746	0.0773404	0.767428	0.0321337	0.00721203	0.0169815	0.0252151	0.00925317	0.0147705	0.00692985
í	0.338626	0.0245681	0.0236048	0.0294606	0.215795	0.0440046	0.0349638	0.0143596	0.0569059	0.0180342	0.0307618	0.168915
s	0.0514521	0.0218541	0.220353	0.116087	0.0925378	0.217444	0.0691393	0.0321111	0.0320019	0.0228753	0.0184125	0.105732
í	0.081786	0.0287247	0.0853677	0.05866	0.144844	0.124559	0.082489	0.0495795	0.0710939	0.0246398	0.0107397	0.237517
l	0.0951395	0.0744158	0.303863	0.166804	0.129888	0.0703794	0.0255514	0.0198604	0.0164527	0.0194875	0.0227867	0.0553717
í	0.0270958	0.0143055	0.243557	0.0762854	0.0640887	0.0312507	0.0174973	0.0263145	0.0272352	0.0124427	0.0156464	0.444281
y	0.0196974	0.0318613	0.42516	0.162367	0.120231	0.0830012	0.0362384	0.0124182	0.0173051	0.0108232	0.0126205	0.0682757
á	0.113519	0.0151147	0.201922	0.0543264	0.210988	0.129769	0.147936	0.0149142	0.0569364	0.00682444	0.0100058	0.0377439
a	0.137641	0.0115084	0.20285	0.0520517	0.147905	0.201216	0.16854	0.00843956	0.0272261	0.00574737	0.0123388	0.0245359
t	0.00085691	0.00211289	0.0655158	0.13972	0.37624	0.238715	0.0798959	0.05471	0.0113864	0.00659847	0.0119559	0.0122923
s	0.00332888	0.00250715	0.0285737	0.217642	0.423457	0.128779	0.0333225	0.0909906	0.0126875	0.00760029	0.0308244	0.0202877
á	0.000379069	0.000696889	0.0175636	0.104968	0.60759	0.135278	0.0312069	0.0496556	0.0151967	0.00649073	0.0124092	0.0185654
n	0.00180153	0.0030226	0.0426498	0.076603	0.104343	0.3442	0.164008	0.077852	0.0232417	0.00869384	0.00774426	0.145841
g	0.0216631	0.0103555	0.0350311	0.0338938	0.206226	0.221618	0.27898	0.0246085	0.0416615	0.0137516	0.0169699	0.0952403
á	0.0106255	0.00546894	0.10699	0.0131777	0.145978	0.351896	0.31699	0.00306818	0.0118441	0.00218988	0.0032421	0.0285297
y	0.00484697	0.0027439	0.0391917	0.0182759	0.0144339	0.331658	0.389715	0.103884	0.0558452	0.0282073	0.0049322	0.00626652
é	0.0885882	0.0118273	0.0653047	0.0115522	0.0273894	0.213117	0.306333	0.0849308	0.113479	0.0385045	0.0181005	0.020873
y	0.015247	0.00274282	0.0368815	0.013034	0.0125122	0.153597	0.312043	0.130559	0.190434	0.081866	0.0266338	0.0244498
á	0.0688212	0.00706315	0.0393768	0.0102833	0.0214689	0.127472	0.261098	0.138218	0.236729	0.0464708	0.0298614	0.0131385
a	0.00486838	0.000946353	0.0158112	0.00821045	0.00263969	0.0796766	0.198849	0.118678	0.348181	0.173831	0.035523	0.0127851
y	0.00101252	0.00158992	0.00985792	0.0102646	0.0271898	0.0607032	0.0815304	0.290504	0.135153	0.0706742	0.171911	0.13961
ú	0.00242228	0.000170546	0.0031115	0.00418606	0.00731183	0.0214541	0.0493447	0.190471	0.34022	0.124003	0.188967	0.0683375
r	0.00268704	3.05903e-05	0.00127764	0.000658431	0.00320259	0.024927	0.0521332	0.0811753	0.510372	0.0959856	0.0939623	0.133589
u	0.00312032	2.80415e-05	0.00123192	0.00204916	0.0119092	0.0378398	0.077765	0.0866962	0.449025	0.128886	0.109236	0.0922139
</S>	0.000795501	0.00046117	0.00560271	0.00170917	0.0020329	0.0303463	0.0445573	0.0697425	0.167211	0.218906	0.11816	0.340475
