 	pourquoi	te	plains	-tu	encore	</S>
n	0.659467	0.261732	0.0526204	0.0235597	0.00191995	0.00070065
ω	0.95294	0.0280142	0.000672817	0.016751	0.00142622	0.00019618
l	0.691746	0.215476	0.0063304	0.0358241	0.0162344	0.0343889
ó	0.0984566	0.108461	0.0161435	0.0616468	0.0737808	0.641511
o	0.156832	0.16767	0.0857276	0.260811	0.130615	0.198344
b	0.0100611	0.0722222	0.745431	0.139314	0.00905936	0.023912
v	0.00572996	0.120674	0.850456	0.017388	0.00266394	0.00308809
ú	0.0117116	0.211158	0.760569	0.0143495	0.00121439	0.000997472
r	0.0554487	0.111193	0.652517	0.0695832	0.0261413	0.0851163
á	0.126403	0.137009	0.168623	0.467618	0.021205	0.0791415
o	0.052815	0.081771	0.20737	0.443952	0.191674	0.0224185
m	0.00368101	0.00825515	0.0706211	0.516178	0.383756	0.0175088
έ	0.00542734	0.0317461	0.0475859	0.438336	0.221384	0.255521
n	0.00100806	0.0164202	0.0620197	0.322366	0.130845	0.467341
g	0.00336498	0.0132144	0.027212	0.710567	0.136989	0.108653
έ	0.0103919	0.0105519	0.00706182	0.571183	0.291384	0.109427
n	0.00183529	0.00739996	0.0198444	0.304446	0.20536	0.461114
d	0.0136868	0.0144986	0.00362373	0.382387	0.269392	0.316412
e	0.00255979	0.00112544	0.000818681	0.191876	0.430345	0.373275
</S>	0.00133661	0.00168649	0.00111036	0.171469	0.359249	0.465149
