 	ma	femme	est	en	train	de	soulever	un	panier	de	maniocs	</S>
n	0.814451	0.0930649	0.0234761	0.0330149	0.0115385	0.00546245	0.0120625	0.00156255	0.00127695	0.0027636	0.00112818	0.000198358
g	0.988432	0.0110164	0.000150379	0.000109659	4.64586e-07	1.20256e-05	0.000250035	9.8485e-06	1.20844e-05	6.47797e-06	7.31337e-07	3.27087e-07
á	0.534676	0.459441	0.00329388	0.000900296	5.41353e-05	0.000234006	0.00060924	0.000285016	0.000253884	8.76571e-05	0.000125166	3.97261e-05
m	0.0877601	0.339802	0.198781	0.20171	0.0644132	0.0112317	0.0126735	0.0113321	0.00910802	0.00988368	0.0102117	0.0430925
w	0.135107	0.780527	0.0448147	0.0299644	0.00201662	0.0031455	0.000295903	0.00138401	0.000549757	0.000910614	0.000203458	0.00108165
á	0.504307	0.465951	0.0169021	0.00713602	0.000715908	0.000918923	0.000900517	0.00112493	0.000652017	0.000185841	0.000155078	0.00105048
s	0.964738	0.0121485	0.00701349	0.0129168	0.00178106	0.000631582	0.000266811	0.000146161	8.88212e-05	8.27267e-05	3.48712e-05	0.000151242
í	0.649881	0.210096	0.0540409	0.043972	0.00295631	0.00402119	0.016411	0.00416367	0.00582272	0.00179969	0.00101088	0.00582418
b	0.0404671	0.00527013	0.560169	0.257388	0.0352251	0.0378627	0.008944	0.0133915	0.00661739	0.0140113	0.00411876	0.016535
ó	0.242171	0.0192509	0.254901	0.139219	0.122156	0.0979953	0.0197107	0.0362905	0.0199261	0.0109601	0.0199843	0.017435
l	0.0455636	0.00922536	0.176017	0.270103	0.198953	0.120046	0.0401369	0.0645984	0.0167424	0.0374795	0.00874397	0.0123897
á	0.307364	0.0041753	0.140465	0.0905107	0.0382589	0.0750716	0.0311252	0.0409285	0.0220027	0.0145304	0.0110529	0.224515
a	0.104318	0.0247605	0.580307	0.164284	0.0213481	0.0510611	0.0169639	0.00731666	0.00433059	0.00466605	0.0032231	0.0174208
s	0.138477	0.0456051	0.343037	0.191738	0.0905883	0.0538742	0.112443	0.00882539	0.00434518	0.00156408	0.00417392	0.00532882
á	0.035938	0.0857795	0.266382	0.26975	0.0123191	0.0225015	0.250868	0.0116804	0.00807983	0.00140146	0.0016416	0.033659
r	0.0276922	0.012675	0.260538	0.0708769	0.00227468	0.156144	0.234818	0.0601568	0.026758	0.0147684	0.00277256	0.130526
á	0.00425639	0.00010694	0.107222	0.311519	0.0296415	0.157882	0.254699	0.069026	0.0186907	0.0145653	0.00278905	0.0296023
m	0.000344388	0.0004079	0.068733	0.0364629	0.0297181	0.540744	0.19987	0.0776501	0.0143367	0.0219192	0.00253359	0.00728044
ú	0.00719267	0.00148649	0.0445791	0.080238	0.0523727	0.300356	0.0434749	0.0767712	0.06489	0.0351867	0.00489311	0.288559
a	0.000267926	0.000424073	0.0228598	0.0122986	0.00462471	0.162934	0.297156	0.173618	0.147116	0.00768299	0.00998065	0.161037
m	4.51532e-05	1.51671e-05	0.0101722	0.00685204	0.00157601	0.190845	0.254014	0.324627	0.0909256	0.0507542	0.0219632	0.0482102
í	0.000188992	0.000165547	0.0116025	0.00494831	0.000610918	0.0598966	0.017961	0.201265	0.118739	0.0683148	0.0154164	0.500891
k	0.000116184	4.6544e-05	0.00552663	0.00293398	0.00117307	0.0287068	0.0594244	0.176411	0.179123	0.0782593	0.34212	0.126159
ω	2.33073e-05	6.00132e-06	0.000677165	0.000798165	0.000807504	0.00225568	0.0730537	0.0811915	0.199105	0.00674498	0.601484	0.0338523
ω	2.81159e-05	3.5163e-06	0.000429855	0.00113456	0.00194754	0.00260916	0.0343635	0.0412428	0.0970828	0.0154056	0.797387	0.00836561
</S>	4.54343e-05	1.50739e-06	0.000813396	0.000873786	6.12715e-05	0.00593395	0.010008	0.138236	0.280499	0.236631	0.140665	0.186231
