 	tu	peux	partir	devant	je	t'	atteindrai	en	route	</S>
b	0.759688	0.115303	0.0101905	0.0909993	0.0136966	0.00325812	0.0015973	0.00453513	0.000697527	3.43866e-05
á	0.883909	0.0536675	0.00393514	0.0285244	0.00817333	0.0114011	0.0017538	0.00846026	0.000129451	4.56308e-05
á	0.896616	0.0294905	0.00052438	0.00887285	0.023911	0.0304989	0.00215724	0.00596826	0.00030723	0.00165315
n	0.491256	0.257521	0.00627316	0.00657504	0.0184861	0.0738078	0.0339333	0.0515826	0.000857737	0.0597077
d	0.704283	0.0158772	0.000439928	0.00249281	0.146969	0.0810596	0.0211121	0.0197303	2.55679e-05	0.00801068
á	0.509707	0.0818611	0.0130659	0.00678619	0.133911	0.075295	0.143855	0.0273751	0.000545452	0.00759766
l	0.0413489	0.31471	0.0957276	0.0387868	0.0615582	0.0939546	0.0942246	0.120516	0.00439343	0.13478
á	0.113108	0.314346	0.0749268	0.0157647	0.0641723	0.0821493	0.0889094	0.108033	0.00347485	0.135115
n	0.405987	0.197139	0.201785	0.0527635	0.0400482	0.0402001	0.0242903	0.0114023	0.00393505	0.022449
ώ	0.679723	0.0552151	0.0135735	0.0106285	0.143866	0.0467275	0.0281587	0.0167096	0.000117059	0.00528036
b	0.0122638	0.187283	0.17784	0.259824	0.0869445	0.133862	0.0628901	0.0374877	0.00257636	0.039028
o	0.0112398	0.220347	0.319911	0.233462	0.0655961	0.0309122	0.00741372	0.0133817	0.00330145	0.0944351
s	0.00143222	0.0764876	0.457734	0.391229	0.00567044	0.0144745	0.0058956	0.00235258	0.00504888	0.0396754
ó	0.00139887	0.0172316	0.683062	0.19405	0.0249805	0.0255846	0.0130871	0.00782655	0.00407195	0.0287066
n	0.00719363	0.032983	0.13222	0.433959	0.167834	0.110144	0.0333557	0.0177742	0.00461009	0.0599276
g	0.0289698	0.0100946	0.045003	0.0608549	0.252328	0.219553	0.193656	0.0653497	0.00210721	0.122084
á	0.00491365	0.00404544	0.0641196	0.20515	0.428342	0.137998	0.113944	0.0232979	0.00221562	0.0159737
l	0.000952177	0.0112432	0.0648531	0.285629	0.30117	0.172286	0.0715184	0.0442396	0.00402527	0.0440831
í	0.0138322	0.00951159	0.0167273	0.0202493	0.221718	0.24504	0.194462	0.096531	0.00310486	0.178823
i	0.00446561	0.00940652	0.0517059	0.131168	0.193033	0.254138	0.222688	0.0439372	0.0194548	0.0700027
d	0.000397431	0.0315962	0.158753	0.0464686	0.0131561	0.246435	0.413002	0.017504	0.0396482	0.0330392
i	0.000540066	0.0160903	0.133063	0.0688923	0.00796918	0.237726	0.428382	0.0437604	0.0177011	0.0458754
á	0.000649413	0.00878233	0.103407	0.0384382	0.0422764	0.325333	0.333085	0.0916362	0.00669648	0.0496951
n	0.000421122	0.00268195	0.00545424	0.0119155	0.0760979	0.194176	0.45573	0.200464	0.0308891	0.0221707
ω	0.00364591	0.00035963	0.00110791	0.00386685	0.288236	0.206993	0.384496	0.0881086	0.00259641	0.0205895
m	0.000858415	0.000924444	0.00262144	0.016101	0.108065	0.188885	0.418841	0.186068	0.0265463	0.0510895
ó	0.000697126	0.00132354	0.00335745	0.0118573	0.014937	0.0329157	0.0104744	0.167106	0.017448	0.739883
k	0.00100357	0.00281619	0.0115987	0.0801164	0.106418	0.0439996	0.0366276	0.0649471	0.628202	0.0242712
ó	7.39451e-05	0.00186737	0.0227875	0.0478532	0.00451204	0.0325741	0.0934808	0.0253473	0.707608	0.0638961
ó	3.78998e-05	0.0016675	0.00993207	0.0367163	0.00434062	0.030358	0.0673051	0.0152924	0.767276	0.0670747
</S>	7.28588e-05	0.00216019	0.00205403	0.00498461	0.0126918	0.040552	0.119341	0.303867	0.170332	0.343945
