 	je	reviens	du	marché	</S>
n	0.983254	0.00790337	0.00453522	0.00239409	0.0019131
g	0.995031	0.00304476	0.00164283	0.000215559	6.59889e-05
á	0.988723	0.0084088	0.00208322	0.00076266	2.22394e-05
í	0.226971	0.291795	0.248362	0.158422	0.0744499
w	0.033707	0.819513	0.102932	0.0244223	0.0194252
ú	0.0304778	0.37646	0.422295	0.117629	0.053138
r	0.00208679	0.0551642	0.89939	0.0257755	0.0175833
u	0.0215876	0.168251	0.57674	0.0918784	0.141543
d	0.00848121	0.130001	0.678399	0.0744232	0.108696
z	0.000600389	0.00409448	0.0575178	0.91473	0.0230575
á	0.000852313	0.0107133	0.0195401	0.957665	0.0112293
n	0.00177396	0.0232918	0.0601461	0.744384	0.170404
d	0.000691777	0.11206	0.262001	0.305798	0.319449
e	0.00112802	0.0501807	0.131526	0.260002	0.557164
</S>	4.93939e-05	0.0144112	0.185436	0.0610637	0.739039
