 	des	deux	quel	est	le	plaignant	</S>
b	0.432463	0.522275	0.0189913	0.00257068	0.0069189	0.0164274	0.00035341
á	0.0547277	0.898729	0.0252222	0.00368351	0.006058	0.0111699	0.000409853
a	0.0353913	0.902902	0.0339199	0.00799183	0.0122242	0.00579337	0.00177733
á	0.214328	0.274602	0.395388	0.0354966	0.0229555	0.00343875	0.0537914
b	0.0273319	0.15386	0.513284	0.217944	0.0384898	0.00801629	0.0410739
a	0.00843366	0.144293	0.220204	0.40378	0.105735	0.0703768	0.0471769
á	0.014341	0.175769	0.232493	0.386237	0.0862444	0.0520829	0.052832
o	0.0747364	0.0704188	0.252542	0.242028	0.297976	0.0274199	0.034879
f	0.00942501	0.00879998	0.0366389	0.3691	0.236314	0.282461	0.0572609
ú	0.00494457	0.0120112	0.056784	0.392543	0.181399	0.197625	0.154693
n	0.00353784	0.00241436	0.044155	0.261946	0.294422	0.0382232	0.355301
d	0.0982121	0.0111866	0.090265	0.273977	0.431704	0.0245993	0.0700559
u	0.0966359	0.00847052	0.0493072	0.21991	0.558632	0.0415538	0.0254903
o	0.0331983	0.0165082	0.107233	0.123265	0.556971	0.0511666	0.111658
b	0.00288121	0.00722143	0.0318837	0.182175	0.210613	0.394826	0.1704
i	0.00150547	0.00741054	0.0101643	0.0721954	0.116543	0.746954	0.0452275
a	0.00171109	0.00103998	0.0116643	0.103847	0.165131	0.177262	0.539345
á	0.0128887	0.00428712	0.041268	0.0619665	0.368901	0.089306	0.421382
d	0.0189503	0.0124413	0.0412009	0.0875081	0.136464	0.0346598	0.668775
z	0.00874096	0.00290669	0.0181561	0.0362217	0.0443486	0.00655514	0.883071
e	0.0212958	0.00130188	0.0234198	0.134284	0.189831	0.00759713	0.62227
n	0.0157743	0.00273892	0.0270352	0.0552752	0.321188	0.0233678	0.55462
d	0.00778173	0.00519108	0.0160325	0.032302	0.0515007	0.0133485	0.873844
a	0.00822796	0.0104745	0.0490928	0.0357108	0.0616126	0.0167279	0.818153
</S>	0.000639478	0.000142664	0.00377075	0.0163282	0.0603362	0.00241093	0.916372
