 	nous	l'	avons	tous	vomi	</S>
w	0.46647	0.472829	0.0399961	0.0189196	0.000103069	0.00168311
a	0.491233	0.288271	0.073868	0.142802	0.000397057	0.00342984
l	0.149874	0.751458	0.0484137	0.040387	0.00263402	0.00723334
a	0.03911	0.20791	0.248246	0.0488213	0.012414	0.443499
b	0.167874	0.451373	0.202282	0.0946449	0.00929784	0.074528
í	0.366022	0.184802	0.41018	0.0267176	0.00389043	0.00838783
s	0.902852	0.0235454	0.0476919	0.0049981	0.000781254	0.0201312
í	0.597264	0.177177	0.147682	0.0297991	0.00224199	0.0458365
á	0.0112972	0.166239	0.417852	0.304852	0.0450848	0.0546752
b	0.000836977	0.0446954	0.334568	0.375772	0.20322	0.0409074
h	0.00523306	0.0592235	0.579136	0.269959	0.037434	0.0490138
i	0.00225212	0.0448083	0.708638	0.142814	0.0151889	0.0862983
á	0.00990073	0.0266013	0.230909	0.188468	0.177461	0.366661
o	0.0126073	0.0211071	0.082236	0.399674	0.344562	0.139814
l	0.000132642	0.00558358	0.0263912	0.0488195	0.824349	0.094724
u	3.4265e-05	0.00101146	0.0139939	0.0332074	0.874731	0.0770216
á	0.000208962	0.00238848	0.0160127	0.0640245	0.295617	0.621749
l	0.0040849	0.0154348	0.0232613	0.123432	0.0933356	0.740452
u	0.0401719	0.0119493	0.0395988	0.113463	0.215611	0.579206
a	0.00178844	0.00675397	0.00724988	0.162146	0.114858	0.707204
</S>	0.00478148	0.0136628	0.0255308	0.110601	0.136573	0.708852
