 	j'	étais	aveuglé	par	le	soleil	</S>
n	0.746139	0.202654	0.00936561	0.0121108	0.0241648	0.00262099	0.00294452
g	0.997954	0.000824205	1.84033e-05	0.000114566	0.00029438	0.000765415	2.85951e-05
á	0.956481	0.0141586	0.000574117	0.00135641	0.00213248	0.025193	0.000104045
m	0.0637494	0.587037	0.0807442	0.0388277	0.0510883	0.0298222	0.148731
í	0.00175952	0.977067	0.00374993	0.00216627	0.00159986	0.00605229	0.00760521
s	0.230393	0.419328	0.149105	0.0323796	0.0200906	0.0681805	0.0805238
i	0.097835	0.162804	0.0135109	0.016806	0.00743313	0.615817	0.0857943
á	0.0402484	0.223831	0.409366	0.0587972	0.0418729	0.0186465	0.207238
w	0.00385449	0.181039	0.527661	0.199517	0.041399	0.0100953	0.0364343
é	0.00373916	0.090745	0.464245	0.173788	0.143299	0.0413973	0.082787
e	0.00631935	0.0569202	0.527216	0.215339	0.089986	0.0131873	0.0910325
l	0.0044107	0.0398476	0.155771	0.320841	0.303778	0.0557341	0.119617
a	0.00143186	0.0230101	0.0934985	0.327612	0.285769	0.0739709	0.194707
m	0.0100375	0.026492	0.0767887	0.126226	0.347455	0.188405	0.224595
w	0.000438954	0.0226539	0.00779358	0.0994755	0.141933	0.273968	0.453737
é	6.6287e-05	0.0142461	0.00740194	0.0695941	0.0352045	0.640686	0.232801
s	0.00231066	0.00941539	0.0166573	0.143144	0.34254	0.257398	0.228534
é	0.000234142	0.00180347	0.00257961	0.0620411	0.0632985	0.583535	0.286508
</S>	0.000617404	0.0063183	0.011444	0.0722963	0.126693	0.0901312	0.6925
