 	le	repas	que	tu	nous	as	fait	aujourd'	hui	était	bon	</S>
e	0.379829	0.413362	0.153053	0.0245831	0.00876574	0.00471086	0.00318177	0.00644985	0.00439762	0.00123932	0.000154584	0.000272684
l	0.119117	0.137505	0.0687456	0.0421007	0.0970616	0.0121689	0.278233	0.12329	0.076241	0.0266867	0.0151331	0.00371742
á	0.0856144	0.0562505	0.0692876	0.0718107	0.0640964	0.00990428	0.238338	0.110189	0.0323698	0.0541897	0.0226739	0.185276
m	0.0271384	0.0499394	0.0829813	0.106046	0.233599	0.0764966	0.159299	0.0447894	0.0136684	0.0426275	0.0140689	0.149346
b	0.272649	0.55635	0.0639401	0.01277	0.0292442	0.0107844	0.0400308	0.0046545	0.000574501	0.004422	0.00117445	0.00340606
o	0.179087	0.547307	0.050022	0.00718111	0.0355857	0.0111099	0.0688568	0.0272165	0.00403843	0.00530198	0.00366793	0.060626
y	0.0922504	0.0879338	0.343681	0.121562	0.0663304	0.0766528	0.0946604	0.0560093	0.0120219	0.00734902	0.00464783	0.0369009
é	0.317792	0.0302533	0.244022	0.122128	0.0213731	0.0135758	0.0602794	0.0383912	0.00878423	0.0526668	0.0112215	0.0795141
é	0.0356392	0.0810647	0.458205	0.156763	0.084152	0.0776203	0.0370994	0.0340077	0.00453084	0.0110621	0.00275799	0.0170977
k	0.00238807	0.000955246	0.0124405	0.0827446	0.154423	0.0505747	0.46524	0.0866578	0.048668	0.0323258	0.0109013	0.0526807
y	0.00108741	0.00098493	0.00751619	0.013328	0.148461	0.00806358	0.332858	0.15279	0.217113	0.00923714	0.0405184	0.0680422
é	0.00493859	0.00417923	0.0138362	0.0301088	0.133374	0.0364763	0.420736	0.151352	0.0768897	0.00697522	0.00997824	0.111156
n	0.000704813	0.00425471	0.053336	0.092185	0.222814	0.0681751	0.151301	0.137844	0.15079	0.00797999	0.0260975	0.0845179
ω	0.00425033	0.00510468	0.0533816	0.154046	0.235989	0.177761	0.178962	0.134346	0.0214396	0.00289469	0.00777861	0.0240458
b	0.00340275	0.00782035	0.118353	0.161283	0.069426	0.18641	0.113194	0.238776	0.079179	0.00975083	0.00633129	0.00607404
í	0.00661699	0.0134737	0.0294982	0.0464123	0.446481	0.195256	0.0897925	0.110929	0.0452621	0.00226004	0.00874804	0.00526949
s	0.00258764	0.0039608	0.0285118	0.063492	0.176472	0.316174	0.0582295	0.169266	0.138926	0.00215849	0.0133017	0.02692
í	0.00766645	0.0023384	0.01973	0.0789809	0.0957016	0.238666	0.188792	0.189957	0.0580007	0.0275292	0.0191076	0.0735299
p	0.000873441	0.00110169	0.0248015	0.0803175	0.0604083	0.207485	0.0763443	0.07866	0.164479	0.233479	0.0286824	0.0433672
á	0.00609593	0.00305312	0.0127581	0.0219726	0.0175669	0.023892	0.0509254	0.215948	0.528013	0.0189059	0.0678929	0.0329761
b	0.00412539	0.00132738	0.0102158	0.0223779	0.0265898	0.0812705	0.102052	0.220469	0.390714	0.0183461	0.0333062	0.0892057
h	0.000306066	0.000507117	0.00168251	0.00405459	0.0641347	0.0543898	0.0389875	0.235693	0.38445	0.0146819	0.100293	0.100819
a	0.00970415	0.0219968	0.0149228	0.0104194	0.0889212	0.0826335	0.0536071	0.310888	0.247147	0.0125578	0.0780188	0.0691835
é	0.000906159	0.000978044	0.0102578	0.0129915	0.0103253	0.0492338	0.0241661	0.0562235	0.0951404	0.165963	0.281333	0.292481
d	0.00206339	0.000466259	0.00719226	0.007977	0.00563067	0.00773605	0.0386223	0.024316	0.0474644	0.432752	0.227922	0.197858
z	0.0010715	0.000210436	0.00139552	0.00184538	0.0015598	0.00236684	0.00933261	0.00109811	0.00317351	0.223205	0.0625637	0.692178
e	0.0092631	0.00152651	0.0055855	0.0245257	0.00987466	0.0504389	0.0349473	0.00753802	0.00536687	0.594794	0.0290013	0.227138
e	0.00209101	0.000622255	0.00428938	0.00475849	0.00624492	0.0143359	0.0188195	0.0260158	0.045238	0.212024	0.189616	0.475944
b	0.00146938	0.000879964	0.00259887	0.00252005	0.00470633	0.00398416	0.0203678	0.0153216	0.0135839	0.0919577	0.29006	0.552551
v	0.000632331	0.0010478	0.00300136	0.00260927	0.0350104	0.00697611	0.0251583	0.0172164	0.0404475	0.0162905	0.703255	0.148355
έ	0.00126737	0.00078428	0.000752171	0.000892466	0.0221308	0.00525057	0.0101219	0.028122	0.0463764	0.00783353	0.833363	0.0431056
</S>	0.00235059	0.00105696	0.00106755	0.000960794	0.00197299	0.00707859	0.00975719	0.0172472	0.0179778	0.0258163	0.144211	0.770504
