 	il	se	mit	d'	accord	avec	lui	</S>
w	0.576709	0.271948	0.0903463	0.0438242	0.00923742	0.00737975	0.000343438	0.000212208
a	0.55456	0.243354	0.0435263	0.117093	0.00978315	0.0282358	0.00335423	9.33817e-05
a	0.239639	0.549832	0.128407	0.0459724	0.00403389	0.0100283	0.00473866	0.0173492
b	0.0684606	0.415753	0.365332	0.0484379	0.0226713	0.0293009	0.0105065	0.0395377
é	0.0491505	0.254541	0.547788	0.097806	0.00666841	0.0268605	0.00482662	0.0123589
n	0.0184629	0.0841092	0.312193	0.0898262	0.0411917	0.0361392	0.0387739	0.379303
y	0.0479772	0.130286	0.251765	0.254792	0.0790761	0.0549484	0.0251835	0.155971
í	0.0700531	0.158643	0.170859	0.408798	0.0489901	0.0457423	0.0144979	0.0824169
l	0.0396731	0.0808455	0.0664165	0.314466	0.302011	0.152366	0.0206495	0.0235723
a	0.018522	0.020761	0.0622159	0.0686946	0.220278	0.181474	0.196572	0.231483
w	0.00878485	0.0199315	0.0456914	0.0503882	0.0267813	0.126017	0.624889	0.0975169
a	0.0192358	0.0388979	0.144523	0.112993	0.0191131	0.205611	0.399449	0.060176
</S>	0.00468984	0.0126988	0.0507094	0.0705666	0.0163139	0.276143	0.317419	0.251459
