 	le	repas	que	tu	m'	as	donné	est	pourri	car	il	a	été	préparé	depuis	hier	</S>
b	0.349018	0.522273	0.0827908	0.00992995	0.00749033	0.00517944	0.00263729	0.00259653	0.00232815	0.00699323	0.00334115	0.00298419	0.00126651	0.000500538	0.000620297	2.11622e-05	2.86028e-05
e	0.0839703	0.799986	0.0310516	0.0105953	0.00428145	0.0231018	0.00531694	0.00390689	0.00159488	0.0117228	0.00439088	0.00353914	0.00202712	0.00407205	0.0102359	3.89131e-05	0.000167821
a	0.0117322	0.618251	0.0999307	0.0284689	0.010315	0.00580837	0.0138591	0.0119869	0.0187691	0.0887798	0.0306368	0.0201402	0.01705	0.0149095	0.00570294	0.000438509	0.00322134
b	0.300147	0.26902	0.249191	0.045282	0.0103332	0.00802486	0.0127564	0.0116617	0.00554869	0.00813441	0.00922199	0.00997526	0.00357793	0.00625225	0.00353204	0.000651095	0.0466904
í	0.0300869	0.201861	0.241871	0.165917	0.02664	0.0726164	0.0773572	0.0278091	0.0137843	0.0347183	0.0307684	0.0188644	0.0132189	0.00791326	0.0240877	0.00171558	0.0107704
í	0.0267404	0.0839646	0.238022	0.144697	0.0986878	0.0525998	0.0282862	0.0115396	0.0105503	0.0801952	0.0341445	0.0272962	0.0115954	0.0345997	0.0321701	0.00353051	0.0813804
p	0.0121051	0.009209	0.0795098	0.14805	0.0654704	0.142614	0.331781	0.0727275	0.0164144	0.00647323	0.016527	0.0227338	0.0142338	0.0232584	0.00672029	0.00224206	0.0299298
έ	0.00688056	0.0315157	0.035949	0.048066	0.0245304	0.0396216	0.375553	0.189969	0.0880119	0.0247372	0.027543	0.0290137	0.0358951	0.0163681	0.00776185	0.00585648	0.0127274
n	0.0228778	0.0454758	0.0418936	0.0797248	0.0244036	0.0439002	0.216452	0.115452	0.0617513	0.0409017	0.0266743	0.0373974	0.0418818	0.0551046	0.0232389	0.00706133	0.115809
ω	0.0559115	0.018211	0.0621294	0.16576	0.160441	0.209413	0.155801	0.0463014	0.0197525	0.0140603	0.0169986	0.0232127	0.0101841	0.00966028	0.0170497	0.0010531	0.0140612
n	0.0162265	0.00915502	0.194624	0.16669	0.40406	0.0405692	0.0385455	0.0175587	0.0195164	0.037068	0.0133225	0.00795677	0.00375688	0.00351732	0.00848138	0.0027034	0.0162492
g	0.0121868	0.00220306	0.0540645	0.368988	0.334912	0.116057	0.0421169	0.010239	0.00774364	0.0198791	0.00828866	0.0056982	0.0038409	0.00600065	0.00381673	0.00033751	0.00362722
á	0.00783452	0.00104528	0.062844	0.397904	0.274782	0.0889499	0.044912	0.0196702	0.00896889	0.046247	0.00780212	0.00632861	0.00662692	0.0115481	0.00546279	0.00177008	0.00730298
b	0.0049231	0.00216173	0.0226463	0.0440153	0.0813001	0.0594939	0.154664	0.200161	0.177562	0.112198	0.0764417	0.0314264	0.0153109	0.00601929	0.00552764	0.00277174	0.00337613
í	0.0100506	0.066213	0.0135028	0.0200901	0.0211278	0.0413238	0.101338	0.171159	0.214712	0.144679	0.0765516	0.0305027	0.0282438	0.00772907	0.0320061	0.00778847	0.0129819
í	0.00304672	0.00691	0.0187518	0.0410322	0.112023	0.0982484	0.0610415	0.0595062	0.0912871	0.300052	0.06308	0.0309402	0.0169016	0.0173025	0.0369229	0.00662255	0.0363312
m	0.000658277	0.000466764	0.00795749	0.0262761	0.047068	0.135201	0.164751	0.168663	0.149668	0.0997159	0.0875276	0.0365068	0.0126749	0.0138192	0.00807644	0.00275134	0.0382176
i	0.00899194	0.00790151	0.00352528	0.00197666	0.00123052	0.00325266	0.0381513	0.228262	0.403255	0.120128	0.0761641	0.0314928	0.0328625	0.0104951	0.00327941	0.00231017	0.0267213
s	0.00286463	0.00310595	0.00195347	0.0016604	0.000710921	0.00157723	0.0317664	0.239619	0.354293	0.164983	0.0794229	0.0403684	0.0443615	0.0166668	0.00208278	0.00352798	0.0110361
έ	0.000873089	0.000132191	0.000931467	0.00392336	0.00433642	0.0111255	0.0684541	0.253226	0.452068	0.0763842	0.0322861	0.0273688	0.0352731	0.0135581	0.000453777	0.00167394	0.0179312
m	0.000432798	4.96435e-05	0.00201439	0.0025059	0.00317183	0.00660103	0.0298768	0.141331	0.349913	0.181549	0.122494	0.0696256	0.0313478	0.013259	0.00279191	0.00149876	0.0415378
b	0.000899153	0.000753127	0.000827447	0.00165262	0.00172411	0.00340716	0.00781014	0.054073	0.285391	0.148145	0.180642	0.0848793	0.0868886	0.0211948	0.0381315	0.00234439	0.081236
ε	0.00577117	0.00236725	0.00513372	0.00438696	0.00272701	0.00600744	0.00773137	0.0376583	0.137039	0.349714	0.180501	0.0879	0.0876207	0.0100786	0.0599278	0.00569805	0.00973739
t	0.00174661	0.000189841	0.00195456	0.00285425	0.00286415	0.00802488	0.0107856	0.0277139	0.080946	0.117974	0.268331	0.180122	0.145738	0.0418414	0.0436926	0.00770709	0.0575142
s	0.0039478	0.0047467	0.0099128	0.00394512	0.00433773	0.0089066	0.0248553	0.048379	0.162576	0.1951	0.113085	0.052904	0.131775	0.014197	0.0376275	0.131897	0.0518073
í	0.000263113	0.0004504	0.00257179	0.00113614	0.00116307	0.00621614	0.0204892	0.0391394	0.159782	0.278825	0.100588	0.0705615	0.132062	0.0281611	0.0397941	0.0606658	0.0581304
n	0.0041514	0.00388483	0.0120173	0.00870399	0.0122908	0.0265344	0.0455393	0.0370737	0.0610533	0.460569	0.0858216	0.0843102	0.0590346	0.0344216	0.0121499	0.00737061	0.0450731
a	0.0180603	0.00753983	0.055158	0.11862	0.0847373	0.0922575	0.0153313	0.0077439	0.0128949	0.320973	0.066596	0.0310594	0.0234853	0.035953	0.0221245	0.00222271	0.0852429
b	0.00113691	0.000565404	0.00628888	0.00647826	0.00474046	0.0163362	0.00896035	0.0121233	0.027996	0.120919	0.257551	0.24318	0.11155	0.0711199	0.068603	0.0107068	0.0317441
í	0.00287797	0.0207368	0.00528475	0.0038298	0.0030665	0.00651691	0.00933994	0.0267809	0.0404943	0.232071	0.182148	0.187062	0.103928	0.0404598	0.0912519	0.0108425	0.0333087
a	0.0018895	0.00763156	0.00922866	0.00427229	0.00920525	0.00597588	0.00575962	0.00755236	0.0150855	0.233087	0.145932	0.162986	0.0847223	0.168522	0.0782016	0.00953746	0.0504107
