 	le	cabri	a	des	testicules	comme	ceux	de	l'	homme	</S>
m	0.561251	0.274023	0.146783	0.00810457	0.00172175	0.00466917	0.00146262	0.00131936	0.00062744	3.05776e-05	8.14503e-06
b	0.0846714	0.82427	0.0291476	0.018363	0.0195287	0.00985691	0.00533528	0.00201899	0.00131777	0.000208924	0.00528178
ó	0.0174699	0.970881	0.00203427	0.00292987	0.00508418	0.00102272	0.000156423	0.00015442	0.000194009	4.32735e-05	2.99912e-05
s	0.060785	0.920938	0.0111009	0.00450451	0.0018521	0.000480262	7.40624e-05	6.03518e-05	8.36847e-05	1.06805e-05	0.000110555
i	0.516472	0.308633	0.0692259	0.0357453	0.0367755	0.00916096	0.00171497	0.00507188	0.00355063	0.000470379	0.0131794
a	0.106794	0.0232202	0.745827	0.0878716	0.0130994	0.00723403	0.00406069	0.0017862	0.00102745	0.00118498	0.00789446
d	0.0974088	0.00216934	0.590501	0.171706	0.0221117	0.010043	0.02733	0.0264246	0.015286	0.00129567	0.035723
í	0.026353	0.00136145	0.241128	0.371099	0.0714531	0.00864419	0.020035	0.0209068	0.00410951	0.000854886	0.234055
l	0.0303952	0.00144148	0.159255	0.421386	0.118652	0.0329367	0.0384976	0.0388223	0.0154951	0.00425423	0.138864
a	0.00323332	0.000219603	0.104523	0.510432	0.121992	0.0295532	0.036056	0.0215716	0.00588329	0.00108282	0.165453
a	0.00307736	0.00110419	0.0302853	0.131718	0.731982	0.0657077	0.0141173	0.00698457	0.0041671	0.000780957	0.0100753
m	0.00246655	0.00145325	0.00927878	0.0651004	0.831987	0.0687337	0.00443799	0.00284283	0.00177228	0.008609	0.00331788
b	0.000602672	0.000599135	0.000993809	0.0232772	0.898455	0.0628895	0.00290279	0.00214924	0.00328458	0.0026849	0.00216125
a	0.00049689	0.00248004	0.00175651	0.0576549	0.645299	0.255655	0.00810789	0.00980874	0.00528649	0.00652412	0.00693084
n	0.00184128	0.00224953	0.00413498	0.0345921	0.54124	0.351736	0.00552908	0.00541622	0.00167143	0.00194589	0.0496439
g	0.0203147	0.0121793	0.0192913	0.139098	0.478985	0.260442	0.0123866	0.0122217	0.00445899	0.00068479	0.0399376
á	0.0454596	0.0255586	0.0188841	0.0565874	0.464739	0.36647	0.00661472	0.00249649	0.00131967	0.000183804	0.0116866
m	0.00639345	0.000285624	0.0290637	0.0718225	0.0321358	0.396582	0.282957	0.0981422	0.0369831	0.00269514	0.0429392
b	0.0120811	0.00177325	0.00233175	0.0186757	0.171005	0.447518	0.118573	0.0536607	0.0726606	0.0344234	0.0672963
í	0.00580131	0.00657874	0.000900446	0.0211858	0.0944543	0.712301	0.0564112	0.0315486	0.0389623	0.0262263	0.00563029
m	0.00624322	0.00326424	0.00167819	0.0145307	0.0311068	0.6104	0.22411	0.0393174	0.0180958	0.0332213	0.0180321
á	0.00782595	0.000694295	0.00115503	0.00932432	0.0870188	0.395758	0.124744	0.0925687	0.127048	0.0680825	0.0857808
m	0.0141652	0.00103194	0.0124916	0.01886	0.0170067	0.0565366	0.188008	0.227411	0.392171	0.0275741	0.0447436
o	0.00346405	0.00127273	0.00274566	0.0141447	0.0818392	0.0623531	0.0425952	0.0957395	0.1133	0.414313	0.168233
r	0.00092212	0.00110847	0.00385156	0.0219689	0.0575053	0.0509864	0.0309464	0.210404	0.223911	0.35937	0.0390257
o	0.0507768	0.00770795	0.0105871	0.0253846	0.109251	0.187664	0.0425423	0.102822	0.298156	0.137236	0.0278714
</S>	0.0120615	0.000130685	0.00474541	0.00799258	0.00234357	0.0236235	0.072014	0.0771313	0.164283	0.0183558	0.617319
