 	okyémba	est	pris	en	flagrant	délit	d'	adultère	</S>
á	0.881759	0.0687868	0.0241725	0.0100556	0.00544622	0.00481506	0.00447898	0.000422946	6.27357e-05
p	0.0983198	0.112027	0.277444	0.165289	0.334154	0.00652371	0.00152797	0.00381713	0.000897144
i	0.0144697	0.0148155	0.296484	0.0361923	0.539391	0.0516219	0.00415134	0.00217408	0.0407001
i	0.00765399	0.0366714	0.430833	0.11816	0.384176	0.0201949	0.00055582	0.000393265	0.00136165
o	0.0354626	0.16694	0.0540107	0.377281	0.138978	0.142589	0.0660581	0.0067573	0.0119226
k	0.000154897	0.00369048	0.0216132	0.0648663	0.635926	0.210745	0.0277284	0.0198498	0.0154253
y	0.000137251	0.0011274	0.00804985	0.00686992	0.427618	0.532573	0.00463043	0.00100774	0.0179865
é	0.00198429	0.00458707	0.0136072	0.0172897	0.277067	0.619122	0.0138391	0.0090286	0.0434748
m	0.000504609	0.00547163	0.0110229	0.0267751	0.136766	0.684367	0.0811108	0.00236304	0.0516189
b	0.000253702	0.00140545	0.0019164	0.011672	0.0611265	0.50977	0.296768	0.0143143	0.102774
a	0.00120133	0.00277214	0.00313045	0.0204772	0.0709857	0.671105	0.144601	0.0312955	0.054432
m	0.00257634	0.00828681	0.00260444	0.0213022	0.0276931	0.169847	0.520945	0.0611865	0.185558
ó	0.00194031	0.00657403	0.0044533	0.0320392	0.0344341	0.0357668	0.536787	0.0774456	0.270559
b	0.00289326	0.00655567	0.00353909	0.00707483	0.026039	0.076955	0.207556	0.604273	0.0651149
ώ	0.0448188	0.00774787	0.00400979	0.0106089	0.0340543	0.0404698	0.132732	0.713284	0.0122748
s	6.47041e-05	0.000145779	9.29554e-05	0.000501036	0.00164442	0.0183366	0.0141741	0.934667	0.0303735
i	0.00127979	0.00124391	0.00417656	0.00249449	0.0549738	0.213141	0.0676765	0.318712	0.336302
k	0.000119981	0.00152123	0.000756785	0.00428413	0.0017965	0.00801008	0.058156	0.0208744	0.904481
í	0.0144599	0.00537711	0.00417233	0.00376639	0.021359	0.0905079	0.245065	0.015971	0.599322
g	0.000661265	0.00100223	0.000417093	0.000611935	0.00270565	0.0250913	0.0283192	0.0726401	0.868551
h	0.00391219	0.000983215	0.00268451	0.000897367	0.0190692	0.101882	0.0475805	0.302499	0.520492
i	0.000334671	0.000680532	0.000898178	0.00108419	0.0108363	0.0299567	0.033853	0.442218	0.480138
g	0.000260171	0.00113134	0.000959939	0.00254343	0.00751972	0.0386953	0.083264	0.101846	0.76378
h	0.00589761	0.00707344	0.0052793	0.00873253	0.0450671	0.116946	0.0913984	0.0653928	0.654213
i	0.00261428	0.00581855	0.00513079	0.0282816	0.0980534	0.131968	0.0629385	0.149157	0.516039
</S>	0.000455878	0.00308232	0.00313608	0.00695019	0.0163025	0.0544472	0.0606854	0.0263455	0.828595
