 	de	ces	enfants	qui	sera	le	dernier	à	marcher	à	quatre	pattes	</S>
s	0.29495	0.615582	0.034762	0.007956	0.014444	0.0127506	0.00103195	0.00818082	0.00459474	0.00491028	0.000556332	0.000197652	8.36064e-05
á	0.413897	0.246696	0.113389	0.0583904	0.0272749	0.0337907	0.0238553	0.019352	0.0126957	0.0113647	0.0245106	0.000960187	0.0138229
b	0.264918	0.403415	0.126479	0.0410842	0.0175979	0.0345609	0.0166492	0.0254919	0.0125335	0.019849	0.0319788	0.00381167	0.00163164
á	0.0472122	0.224363	0.2279	0.0413339	0.148578	0.0535728	0.0495485	0.0494457	0.0448816	0.0360548	0.0081228	0.00328774	0.0656987
n	0.0575832	0.196475	0.393459	0.0169662	0.0188663	0.0111733	0.00254171	0.0170701	0.00965891	0.014338	0.00449805	0.0114897	0.245881
a	0.131186	0.382986	0.303144	0.0305187	0.0131413	0.0210159	0.00534496	0.0157893	0.0294809	0.0120644	0.0156654	0.000239021	0.0394239
b	0.129772	0.291272	0.252705	0.139882	0.027726	0.0361472	0.00784122	0.0218259	0.0192011	0.0260901	0.0293545	0.000776431	0.0174058
á	0.164174	0.169521	0.268606	0.130008	0.0733312	0.0612217	0.00530766	0.0347394	0.0282265	0.024212	0.0100308	0.000571805	0.030049
o	0.0717862	0.0923321	0.441507	0.186655	0.0686367	0.0380468	0.0177657	0.0169985	0.0135406	0.016778	0.00919979	0.00454348	0.0222103
k	0.062134	0.0108724	0.03976	0.327191	0.361412	0.0569184	0.0591568	0.0139708	0.00976173	0.0138557	0.0247361	0.00957012	0.0106607
ω	0.0093818	0.00371279	0.00390149	0.117886	0.726965	0.0516724	0.0315916	0.0139159	0.00453658	0.00463343	0.00160034	0.0100768	0.0201254
n	0.00699733	0.0103401	0.0208325	0.070888	0.69787	0.0360699	0.099964	0.0115791	0.00335633	0.00462254	0.00147065	0.00970371	0.0263061
i	0.0217363	0.0105476	0.0236577	0.171685	0.518392	0.0850177	0.0110896	0.0307515	0.00773546	0.016594	0.00716261	0.0146335	0.0809966
i	0.0181943	0.013054	0.0141346	0.224137	0.212368	0.361343	0.01726	0.0506438	0.0236267	0.0324715	0.00318017	0.00298861	0.0265983
o	0.00985961	0.0117289	0.0263832	0.110095	0.16185	0.394758	0.0835969	0.0819785	0.057269	0.0443819	0.00638852	0.0019811	0.00972955
n	0.00604741	0.00298052	0.000374354	0.0190309	0.153696	0.110308	0.597518	0.0396533	0.0249164	0.0112219	0.0132202	0.0099504	0.0110827
g	0.00555865	0.00362729	0.00221029	0.0355576	0.025101	0.0379151	0.819233	0.0191601	0.0229384	0.00512786	0.0155203	0.000550682	0.00750028
ω	8.92926e-05	0.00050532	0.00197441	0.014989	0.0120447	0.00694258	0.944	0.00440923	0.00277107	0.00133723	0.00735065	0.00134945	0.00223707
n	0.000443046	0.00290566	0.00564576	0.0387276	0.0180217	0.0146293	0.847164	0.0155582	0.0110937	0.00658226	0.0245275	0.00229346	0.0124074
g	0.00461692	0.00389272	0.00185408	0.0813646	0.18381	0.0855721	0.180042	0.0863334	0.0254703	0.0402054	0.0252483	0.080247	0.201342
ω	0.0165815	0.0226124	0.0332422	0.184342	0.131545	0.118853	0.126981	0.158955	0.0628455	0.0597543	0.0316	0.00880273	0.0438866
é	0.00317832	0.0017706	0.00244537	0.0290885	0.0144799	0.107356	0.0121643	0.265545	0.167155	0.272028	0.0947244	0.00877287	0.0212927
d	0.0242369	0.00675262	0.000949724	0.026494	0.0214353	0.0476137	0.00842944	0.0739932	0.0588034	0.180682	0.271981	0.226107	0.0525206
í	0.00528581	0.00125839	5.66524e-05	0.00538632	0.00188838	0.020616	0.000816703	0.0663371	0.195818	0.122871	0.262696	0.0237253	0.293244
n	0.00522888	0.0016257	0.000293409	0.0157384	0.00460959	0.0539168	0.000798325	0.0651513	0.138265	0.17495	0.211035	0.125536	0.202852
d	0.00183631	0.00358373	0.00106577	0.00799689	0.00155885	0.0118053	0.0179972	0.0402543	0.299899	0.0635703	0.37849	0.0247363	0.147206
a	0.000599351	0.000698972	0.000666541	0.00690824	0.00299844	0.0109604	0.0445756	0.0368092	0.0954022	0.0532121	0.430513	0.0345843	0.282072
</S>	0.000149568	0.000147842	8.57288e-05	0.00422073	0.00380853	0.0145983	0.00650765	0.0454329	0.040811	0.0502367	0.0770499	0.0729669	0.683984
