 	le	crapaud	et	le	serpent	vivaient	en	amitié	</S>
e	0.743919	0.105902	0.129766	0.0137662	0.00477185	0.000280761	0.00151588	2.56609e-05	5.2433e-05
p	0.00941386	0.980927	0.00693608	0.00110368	0.000650926	0.000328077	0.000294122	5.67989e-05	0.000288973
o	0.000895013	0.992242	0.00261625	0.000291794	0.0035989	0.000193726	3.51838e-05	7.06582e-05	5.70069e-05
p	0.00617646	0.984672	0.0044143	0.00113664	0.00275824	0.000200873	0.000140853	0.000185941	0.000314729
o	0.0455379	0.871352	0.0277377	0.00407223	0.029397	0.00446956	0.00093449	0.000242981	0.016256
r	0.266771	0.105358	0.438046	0.0615621	0.0965412	0.00673283	0.00278458	0.000346502	0.021858
o	0.365616	0.412398	0.0739413	0.0188166	0.0514192	0.00704169	0.00357593	0.00211735	0.0650734
b	0.271821	0.0117796	0.495985	0.133818	0.0406453	0.0149583	0.00637117	0.000553138	0.0240684
á	0.418729	0.00209779	0.182176	0.259663	0.0553389	0.0259883	0.0202486	0.00154541	0.0342133
a	0.225202	0.0168123	0.337512	0.192337	0.145533	0.0339628	0.0110824	0.00198505	0.0355735
l	0.0253386	0.00737978	0.161758	0.373448	0.352443	0.0511671	0.0107768	0.00269203	0.0149975
a	0.0153322	0.00521956	0.0439639	0.260897	0.331724	0.127531	0.058005	0.0405459	0.116781
n	0.0208465	0.0168831	0.0717943	0.213822	0.385182	0.222713	0.0163149	0.0104244	0.0420193
d	0.0202317	0.0108208	0.148184	0.315478	0.31565	0.110023	0.0158432	0.00590063	0.0578685
z	0.00632019	0.0270282	0.0626706	0.111632	0.475118	0.177592	0.0171995	0.016749	0.105691
ώ	0.0247043	0.0276136	0.0863088	0.117313	0.50982	0.0961055	0.014358	0.00565211	0.118125
á	0.0201753	0.00177552	0.143029	0.229375	0.075815	0.276047	0.152229	0.0248389	0.0767157
d	0.0158228	0.000519182	0.0167518	0.0823565	0.0123745	0.240845	0.420307	0.129801	0.0812213
z	0.00253388	3.99794e-05	0.00444211	0.0291023	0.000899982	0.174884	0.302137	0.0581861	0.427774
a	0.00124151	0.000257515	0.00207389	0.0136258	0.0122396	0.778136	0.0856756	0.0729573	0.0337923
m	0.00477462	0.000392587	0.0158932	0.0528988	0.00814612	0.147286	0.301987	0.186517	0.282105
ó	0.00398795	0.000175779	0.00467804	0.0140248	0.00518228	0.298649	0.338268	0.0923796	0.242654
n	0.0119823	0.00135798	0.0138809	0.0276518	0.0129422	0.12457	0.355013	0.385506	0.0670963
d	0.00401053	0.000389799	0.00755239	0.0241841	0.00815791	0.0247657	0.21908	0.547835	0.164025
ú	0.000393844	0.000952187	0.000848974	0.00247207	0.00588339	0.0129673	0.0518779	0.746004	0.178601
ú	5.73589e-05	0.00074089	0.000452398	0.00208848	0.00908469	0.00856054	0.0320389	0.635699	0.311278
</S>	0.0030534	0.000112102	0.00299054	0.00850725	0.00111146	0.00745268	0.145516	0.168225	0.663031
