 	okoumou	est	en	train	de	clôturer	sa	parcelle	</S>
o	0.914143	0.0688109	0.0116252	0.00344387	0.000748242	0.000225029	0.000453061	0.000451267	9.93912e-05
k	0.694121	0.261603	0.0297691	0.00147757	0.00116829	0.00250692	0.00238025	0.0038415	0.00313224
ú	0.611944	0.275675	0.0335111	0.00220939	0.00248891	0.000309829	0.0189838	0.0376998	0.0171787
m	0.226245	0.536724	0.145845	0.00266414	0.0059179	0.00222228	0.0149525	0.0274762	0.0379535
ú	0.908494	0.0713193	0.0144143	0.00057279	0.00151257	0.000399823	0.000444208	0.000323014	0.00252012
b	0.0224519	0.101407	0.597408	0.145225	0.0837555	0.00884279	0.0198469	0.00112339	0.019939
ó	0.064919	0.0220722	0.36375	0.170934	0.198479	0.00500014	0.0651547	0.00848817	0.101203
l	0.0196577	0.0231502	0.239668	0.34073	0.237669	0.0269127	0.0508466	0.0120924	0.0492726
á	0.00878746	0.0130387	0.0563259	0.0188949	0.265596	0.091661	0.0964454	0.038471	0.41078
a	0.0795265	0.0866074	0.128064	0.0124421	0.344715	0.192864	0.0554193	0.0301589	0.0702028
b	0.0105261	0.0356458	0.0533389	0.00732441	0.514599	0.235262	0.102137	0.0187902	0.022376
h	0.00689061	0.0460203	0.105312	0.0226672	0.482703	0.187441	0.109109	0.0114325	0.0284238
á	0.0131847	0.016061	0.0599803	0.016988	0.169923	0.630751	0.0248066	0.030652	0.0376534
n	0.00172504	0.00418875	0.0190215	0.010638	0.0597544	0.471584	0.0424754	0.174691	0.215922
g	0.00433782	0.00905417	0.0436866	0.00642954	0.415008	0.230496	0.204967	0.0412811	0.04474
á	0.00610613	0.00735414	0.108769	0.0177711	0.304363	0.216852	0.0737981	0.0572563	0.207731
e	0.00373775	0.00228892	0.0102624	0.00328282	0.0974989	0.0317075	0.438314	0.294035	0.118872
f	0.00502548	0.00494789	0.00155512	0.000265471	0.00748799	0.0061546	0.0859268	0.828974	0.0596622
u	0.0052095	0.00547756	0.00286847	0.000113441	0.00692805	0.00403776	0.116053	0.753505	0.105806
n	0.00204092	0.00062653	0.00136655	9.26242e-05	0.00791558	0.00782801	0.0664412	0.750264	0.163425
d	0.00246456	0.005066	0.00348782	9.58292e-05	0.0117327	0.00848935	0.0773836	0.657828	0.233452
u	0.00150935	0.00530708	0.0090725	0.000262713	0.0268395	0.0129604	0.0703725	0.657312	0.216364
</S>	0.00242757	0.00218677	0.00346904	0.000183106	0.00571135	0.000569997	0.194965	0.192997	0.59749
