 	prends	une	quinine	ainsi	tu	seras	guéri	</S>
k	0.721607	0.161104	0.0564651	0.0556359	0.00314714	0.00179223	7.55611e-05	0.000172687
o	0.824367	0.122018	0.0320301	0.00760667	0.00290997	0.00971596	0.00116581	0.000186848
b	0.311363	0.494966	0.117047	0.00901228	0.0117502	0.0219163	0.00425364	0.0296917
h	0.471189	0.28108	0.146297	0.0365913	0.0272474	0.0121199	0.00194893	0.0235274
á	0.238989	0.489197	0.202468	0.0424263	0.00546359	0.00331823	0.00188359	0.0162531
k	0.102	0.696387	0.0881039	0.0610605	0.0134799	0.00531557	0.00322625	0.0304277
i	0.361451	0.186476	0.308595	0.0369551	0.020332	0.0362766	0.00276261	0.0471526
n	0.110687	0.144294	0.423231	0.1144	0.0313225	0.0327731	0.0098255	0.133467
í	0.129979	0.127465	0.670389	0.0294141	0.012566	0.00784196	0.000981946	0.0213622
n	0.0621504	0.289872	0.202368	0.194853	0.150952	0.0645174	0.00649848	0.0287884
i	0.00815366	0.095867	0.562611	0.0310434	0.215011	0.0202103	0.00629717	0.0608064
b	0.00503507	0.0499739	0.254671	0.22677	0.264299	0.0876183	0.0150562	0.0965776
v	0.0503935	0.0566439	0.0762565	0.284032	0.257413	0.149212	0.0149698	0.11108
ú	0.0026486	0.0165577	0.374879	0.45756	0.0850176	0.0416295	0.00281461	0.0188931
u	0.0344849	0.199683	0.147919	0.382077	0.125395	0.054303	0.0147182	0.0414204
l	0.00322583	0.0151916	0.0596178	0.107413	0.299212	0.276868	0.0565403	0.181932
ó	0.00409529	0.0175997	0.0450629	0.0430594	0.187162	0.199828	0.0729907	0.430203
o	0.00451252	0.00712702	0.0354679	0.133117	0.0976324	0.327846	0.203775	0.190523
b	0.00764861	0.0192163	0.0137942	0.0147984	0.00691148	0.255576	0.58944	0.0926145
í	0.00481757	0.0175527	0.0239557	0.0655819	0.00186697	0.143407	0.687067	0.0557505
a	0.00524845	0.00884738	0.0171906	0.0224434	0.0297094	0.125754	0.112008	0.678799
</S>	0.00258684	0.00701692	0.0146889	0.0336156	0.0974491	0.163652	0.12887	0.552121
