 	cet	enfant	est	le	fils	de	l'	arrière-petit-fils	d'	akwango	</S>
m	0.802011	0.175702	0.00413409	0.00617751	0.00323216	0.00255931	0.0013627	0.000881539	0.00387148	3.74478e-05	3.04621e-05
w	0.163108	0.825093	0.00197677	0.000778849	0.00834475	0.000186222	0.000232962	0.000183231	8.0905e-05	3.818e-06	1.06736e-05
á	0.106761	0.889634	0.000208472	0.000137991	0.00315109	1.07542e-05	2.63148e-05	9.89675e-06	3.13967e-06	5.71582e-05	2.53698e-07
n	0.231639	0.753423	0.000951396	0.00107109	0.0112182	0.000337118	0.000237601	6.7014e-05	0.000117297	7.41419e-05	0.000864044
a	0.130975	0.458547	0.0688713	0.0254758	0.255424	0.0153501	0.0215918	0.00775456	0.0042872	0.000560932	0.011163
w	0.777931	0.0642551	0.0511334	0.0528844	0.00336308	0.00807851	0.00609323	0.00800151	0.012312	0.000665587	0.0152825
ó	0.187803	0.046421	0.159864	0.0763748	0.0169082	0.113073	0.0873771	0.0535406	0.127521	0.00876046	0.122357
a	0.0368987	0.0194633	0.526059	0.226985	0.0226097	0.0442237	0.0244159	0.00959467	0.0197903	0.00267287	0.067287
d	0.00327805	0.00668075	0.608474	0.274021	0.0339401	0.0274411	0.0128455	0.0117675	0.00712029	0.00438696	0.0100449
í	0.0100173	0.00384008	0.632867	0.186306	0.0174975	0.0261823	0.0370249	0.0296998	0.00489811	0.00432481	0.0473423
k	0.0217086	0.0220509	0.234376	0.32865	0.0926405	0.0635865	0.0610673	0.0800454	0.0252299	0.0214271	0.0492178
w	0.00490494	0.0215007	0.0856985	0.314479	0.281709	0.0927633	0.0695577	0.0142697	0.00678503	0.0912252	0.0171077
ώ	0.00505119	0.0119402	0.0290808	0.117858	0.219844	0.217001	0.222524	0.0414275	0.0392772	0.0837112	0.0122861
ώ	0.000554282	0.00159072	0.0288104	0.0553795	0.0837538	0.341091	0.210633	0.0891613	0.0578804	0.0380992	0.0930464
r	0.00070355	0.000905252	0.0103772	0.0252958	0.0527082	0.239585	0.227841	0.222361	0.16793	0.0211457	0.0311456
ώ	0.0010344	0.00011309	0.0275876	0.0232486	0.00913843	0.0757072	0.169855	0.219916	0.15452	0.087435	0.231444
y	0.00111202	0.00055594	0.0176103	0.0223692	0.0210635	0.061112	0.16063	0.236908	0.191258	0.237054	0.0503275
a	0.00547152	0.00089528	0.0225299	0.00979422	0.00469757	0.0148624	0.12109	0.321785	0.120013	0.184775	0.194087
k	0.00213459	8.16239e-05	0.00156308	0.0028056	0.00240738	0.00660974	0.0717431	0.080557	0.0538433	0.71426	0.0639941
w	0.00107878	0.000314705	0.00375002	0.00618184	0.00160945	0.0111905	0.0277494	0.0121451	0.0372825	0.845946	0.0527519
á	0.000398534	7.08553e-05	0.000849801	0.00392134	0.00160447	0.0330618	0.0599061	0.0215298	0.0700255	0.682982	0.12565
n	0.000601927	0.000116151	0.00193309	0.00362264	0.00150641	0.020985	0.0671177	0.0440619	0.180914	0.242658	0.436482
g	0.00138765	0.000546953	0.00496148	0.00727297	0.0143755	0.0190737	0.0618822	0.0396143	0.0991456	0.560896	0.190843
o	0.00084383	0.00151665	0.00120353	0.00291788	0.00459006	0.00816949	0.0667597	0.0593218	0.0326554	0.641169	0.180853
</S>	0.0017139	0.000192736	0.0030153	0.00690615	0.00520812	0.0272518	0.0971438	0.067049	0.10927	0.160567	0.521682
