 	la	fille	est	en	train	de	laver	les	assiettes	</S>
m	0.960839	0.0131691	0.00431545	0.00358929	0.00835695	0.00345428	0.000751503	0.00537958	7.36814e-05	7.15013e-05
w	0.00492755	0.994351	0.000263882	9.15492e-05	5.53497e-06	0.000143672	9.92499e-05	1.09497e-05	1.46589e-05	9.23741e-05
á	0.0448667	0.95357	0.000377453	0.000103438	5.02744e-05	0.000239211	0.000768554	7.23648e-06	1.19712e-05	4.71724e-06
n	0.695333	0.290661	0.00504022	0.00252368	0.000737641	0.0014553	0.00323109	0.00010697	9.51587e-05	0.000815199
a	0.0902153	0.211014	0.299771	0.140054	0.0184941	0.109565	0.0154811	0.0116752	0.0253158	0.0784153
o	0.349102	0.0897024	0.26479	0.187606	0.0239182	0.0700366	0.00426259	0.00590006	0.000249124	0.00443296
y	0.0570039	0.0348993	0.0623507	0.035542	0.0182138	0.161977	0.606978	0.00738588	0.00308288	0.0125671
ú	0.263964	0.0471091	0.0300637	0.0152739	0.000302975	0.0448345	0.584752	0.00539194	0.00653849	0.00176938
r	0.481943	0.00561807	0.0111894	0.00895656	0.000658272	0.0242288	0.45365	0.00788765	0.000927691	0.00494106
u	0.409058	0.0197957	0.137346	0.0979483	0.00219302	0.249244	0.0557232	0.0197833	0.000824789	0.00808355
b	0.0170959	0.000834831	0.189207	0.414726	0.0312501	0.251574	0.0129397	0.0643993	0.000892206	0.0170814
ó	0.207979	0.00362032	0.0895002	0.16991	0.0373526	0.219503	0.0137629	0.176357	0.014486	0.067529
l	0.0142564	0.000580354	0.108816	0.24853	0.0149852	0.325214	0.0208208	0.228543	0.00790623	0.030347
á	0.00750937	0.000438099	0.017417	0.022066	0.000963901	0.105708	0.0715938	0.0763313	0.0564517	0.641521
a	0.0295114	0.00399541	0.066416	0.0707017	0.00506928	0.163769	0.114979	0.428309	0.0523172	0.064931
s	0.00271456	0.000303648	0.00150426	0.00290738	0.000212592	0.0305349	0.830821	0.0485649	0.0427407	0.0396956
i	0.00258055	0.00056696	0.000440502	0.000563666	5.78331e-05	0.0106267	0.918953	0.039827	0.0133042	0.01308
n	0.0102345	0.00140228	0.00809369	0.0134796	0.000546103	0.171398	0.658927	0.0816599	0.00533499	0.0489244
g	0.0162903	0.000327037	0.00771708	0.0186558	0.000274074	0.116084	0.374345	0.199255	0.0436925	0.22336
á	0.0289142	0.000394293	0.0604746	0.142891	0.00402222	0.14353	0.190981	0.103929	0.00750748	0.317355
a	0.0018255	0.000108264	0.00408051	0.00795633	0.000456485	0.00938277	0.00544873	0.392491	0.50346	0.0747911
s	0.000786326	5.09052e-05	0.000401254	0.000421413	2.2745e-05	0.0015951	0.0035429	0.0302998	0.933934	0.0289458
a	0.030821	0.00207957	0.00172284	0.000683124	1.74477e-05	0.0107027	0.0446665	0.0913753	0.724575	0.0933561
á	0.00217549	0.00036039	0.000936203	0.000503371	8.5205e-06	0.00206637	0.0105239	0.108695	0.362208	0.512522
n	0.000482152	2.73369e-05	0.00283611	0.00350043	0.000142879	0.00488353	0.00142364	0.0216433	0.435799	0.529262
i	0.00195323	0.000232202	0.000864495	0.000607845	2.07501e-06	0.000882106	0.000590492	0.00115682	0.912739	0.0809723
</S>	0.000369147	1.80915e-05	0.00146339	0.0015835	1.01834e-05	0.00203492	0.000773882	0.0106511	0.109565	0.873531
