 	l'	homme	avança	sa	main	pour	me	dire	bonjour	</S>
i	0.369399	0.603141	0.0051898	0.0112466	0.00501663	0.00390313	0.00168882	0.000259942	5.81752e-05	9.7526e-05
b	0.1887	0.738624	0.0558332	0.00501576	0.00280952	0.00112819	0.000459525	0.0020273	0.00420093	0.00120117
a	0.013607	0.870315	0.00690064	0.00649641	0.0970641	0.0010567	0.000618365	0.00197615	0.0015275	0.000438083
a	0.0252161	0.911398	0.0112897	0.00833878	0.01414	0.00296638	0.00322344	0.00186898	0.00662835	0.0149302
í	0.553483	0.267211	0.0592592	0.0257663	0.00622495	0.0242818	0.00646907	0.00701199	0.0012002	0.049092
s	0.0655485	0.0112973	0.598735	0.0962632	0.0286194	0.0239945	0.0208499	0.0910267	0.0172548	0.0464112
é	0.000393688	0.00159092	0.977337	0.00629782	0.000391852	0.000362082	0.000942124	0.00312518	0.00396291	0.0055961
m	0.0101188	0.0016752	0.783815	0.112194	0.00524324	0.00554586	0.00702873	0.018654	0.00856165	0.047163
b	0.0136838	0.0060095	0.208935	0.554189	0.0288611	0.109457	0.0439597	0.0170131	0.00414712	0.0137438
í	0.0197639	0.00617794	0.0146004	0.417609	0.20505	0.136133	0.127996	0.0148398	0.00383688	0.0539934
ε	0.00478119	0.00401209	0.00693545	0.429334	0.248315	0.174142	0.0757627	0.0103297	0.00346122	0.0429267
b	0.00240572	0.00328644	0.0201331	0.237059	0.309715	0.202689	0.0998155	0.0937522	0.0249622	0.00618152
ώ	0.000344687	0.00178989	0.00180125	0.031511	0.877061	0.0250929	0.0257707	0.0265978	0.00622422	0.00380656
ω	0.000262078	0.00077148	0.00123772	0.0324027	0.73976	0.0643172	0.0883406	0.033777	0.0211015	0.0180293
l	0.00239206	0.000408598	0.000963458	0.166007	0.057847	0.460394	0.198673	0.0960556	0.0072709	0.00998783
a	0.00545945	0.00179629	0.0136976	0.117807	0.0611721	0.171325	0.227183	0.195699	0.0537383	0.152122
b	0.00726511	0.000475078	0.0022346	0.0415241	0.0100907	0.187256	0.430314	0.171866	0.106593	0.0423815
o	0.00324591	0.0374826	0.00563391	0.118757	0.17727	0.141836	0.274103	0.168889	0.0536559	0.0191262
s	0.000369868	0.000400643	0.00207071	0.0296498	0.135916	0.0543959	0.102359	0.526589	0.116573	0.0316766
ó	0.00419434	0.000411907	0.000819007	0.0414674	0.0827776	0.0929023	0.157095	0.405269	0.16275	0.0523139
m	0.00134514	0.000294739	0.00241592	0.0205211	0.0041974	0.0820643	0.0975646	0.472487	0.197036	0.122074
ó	0.0157543	0.00238101	0.000943969	0.0364978	0.0062336	0.106423	0.121978	0.294842	0.152172	0.262774
i	0.00178571	0.000181972	0.000264333	0.00724648	0.0041177	0.0132858	0.0250838	0.0785552	0.841744	0.0277353
n	0.000135176	0.000181069	0.00106505	0.0032565	0.00220843	0.00179834	0.00265891	0.0752896	0.869245	0.0441619
y	0.00114198	8.11208e-05	0.000604126	0.00117775	0.000472102	0.00104736	0.00989245	0.0118815	0.922972	0.0507294
á	0.0192614	0.00381218	0.00972444	0.00941098	0.0024254	0.00705859	0.0715058	0.0310025	0.725741	0.120058
n	9.58805e-05	1.00241e-05	0.000183321	0.00111486	0.000482915	0.00276482	0.020948	0.0582589	0.692629	0.223513
g	0.00202552	0.000775218	0.00128212	0.0203045	0.0215363	0.0381244	0.0801871	0.0846744	0.573267	0.177823
a	0.0014703	0.000516281	9.21211e-05	0.00400036	0.00168763	0.0149671	0.242526	0.00812473	0.40831	0.318305
l	0.00128473	0.000243379	0.000400294	0.00827037	0.00281541	0.0226936	0.0254943	0.0349188	0.229193	0.674686
á	0.00237823	0.000289024	0.00299404	0.0269864	0.00253828	0.026775	0.0317211	0.0760918	0.374404	0.455822
n	0.0131129	0.00053283	0.00264968	0.0601963	0.00475045	0.088341	0.0658828	0.0358296	0.2883	0.440405
g	0.0255339	0.00036425	0.00116413	0.00587592	0.000973767	0.0121029	0.0661526	0.00728706	0.521325	0.35922
á	0.00428765	0.000533778	0.00153446	0.00252095	0.00059159	0.00742546	0.055908	0.00997151	0.401061	0.516165
</S>	0.00108831	7.97075e-05	0.000151434	0.00465789	0.00308577	0.0188085	0.0148786	0.0152063	0.27554	0.666503
