 	ainsi	la	bise	a	finalement	reconnu	que	le	soleil	était	plus	fort	qu'	elle	</S>
ó	0.257321	0.672338	0.0229649	0.0305359	0.00414844	0.00675735	0.00132491	0.00196216	0.00103055	0.000590719	0.000573516	0.000139713	0.00025913	1.75913e-05	3.5803e-05
b	0.118911	0.699265	0.12575	0.0229558	0.0269462	0.0040273	0.000573103	0.000418168	0.000277146	0.000254394	0.000129125	8.00373e-05	0.000117465	0.000155954	0.000139072
h	0.0235481	0.358523	0.415034	0.0186871	0.126871	0.0227091	0.00666669	0.00843381	0.00660272	0.00271825	0.00214322	0.00136512	0.00270627	0.00167149	0.00231987
έ	0.00754432	0.197001	0.40568	0.0315382	0.20702	0.0713073	0.01567	0.0208336	0.0120642	0.0064465	0.00671575	0.00293024	0.00623013	0.00279844	0.00622097
ε	0.234903	0.494315	0.136904	0.0445081	0.00968805	0.0198983	0.00929276	0.00667602	0.00539629	0.00380304	0.00437987	0.00179206	0.00723003	0.00269138	0.018522
o	0.270244	0.165972	0.125797	0.282475	0.0481405	0.0236572	0.0199324	0.0107259	0.00637493	0.00950967	0.00962552	0.00512051	0.0046795	0.00129075	0.0164549
p	0.0131963	0.0250643	0.230666	0.166922	0.312127	0.11143	0.0353001	0.0150063	0.0322636	0.0174668	0.00945128	0.00446583	0.00355086	0.0025657	0.0205227
ε	0.00453836	0.00720663	0.834411	0.0149574	0.0570284	0.0262406	0.0124958	0.00490253	0.00942406	0.00524588	0.00443939	0.00688444	0.00118869	0.00325864	0.00777794
p	0.037438	0.0663807	0.725288	0.0283779	0.0174407	0.0337181	0.0205619	0.0104869	0.0141943	0.00508789	0.00999239	0.00210576	0.00343257	0.000988297	0.0245068
ε	0.0493761	0.0291345	0.449125	0.0730085	0.0362395	0.0564925	0.0961956	0.0162512	0.0273521	0.0200802	0.0324176	0.047821	0.00868652	0.00646649	0.0513531
ó	0.023403	0.043521	0.0843353	0.423623	0.0554435	0.0740186	0.0491741	0.026092	0.0129606	0.0196967	0.0313273	0.0197908	0.0366533	0.014201	0.0857595
y	0.0227131	0.0122702	0.0062012	0.119395	0.452858	0.230706	0.058738	0.0184517	0.0241412	0.0210774	0.00920564	0.0115964	0.00314193	0.00323098	0.00627352
ε	0.0083747	0.017687	0.0329327	0.256938	0.301546	0.118918	0.0596846	0.0136005	0.0119326	0.0412302	0.00856249	0.0123482	0.0125126	0.00754155	0.0961898
í	0.00266205	0.00685509	0.0342313	0.132429	0.189694	0.101239	0.0677004	0.0224078	0.0203823	0.0444646	0.0203077	0.0151406	0.0384167	0.0144658	0.289603
o	0.00395281	0.00803643	0.00292949	0.288139	0.204035	0.297568	0.104093	0.0284256	0.0157035	0.0140719	0.00774926	0.00483313	0.00904081	0.0032788	0.00814386
b	0.000975205	0.00343004	0.00470282	0.014001	0.549127	0.315248	0.0539436	0.018085	0.0208318	0.00670102	0.00303537	0.00558994	0.000286326	0.00173569	0.00230707
é	0.000339232	0.00162272	0.00031736	0.00877132	0.807817	0.13902	0.0105929	0.0105532	0.0124796	0.0014958	0.00195405	0.000709546	0.000169785	0.00316785	0.000989659
n	0.000684457	0.00165822	0.00819477	0.0267467	0.33147	0.34772	0.0599683	0.0221526	0.0238937	0.0162256	0.0142256	0.0100329	0.00150731	0.00422011	0.131299
y	0.0037422	0.0134394	0.0159533	0.0681704	0.303489	0.410172	0.0641373	0.0241157	0.0191742	0.0115682	0.0114983	0.00662844	0.00302125	0.00185002	0.04304
á	0.00456412	0.0034559	0.0274038	0.033052	0.151374	0.412901	0.103114	0.0354782	0.0382115	0.0243792	0.0251703	0.017655	0.00955693	0.00519274	0.108491
w	0.00417121	0.00692519	0.00210979	0.0639996	0.0209448	0.219134	0.383659	0.17431	0.0783987	0.0207157	0.00811906	0.00248434	0.00556649	0.000890514	0.00857162
á	0.00322225	0.00704803	0.00313482	0.0290632	0.0168922	0.135187	0.302998	0.198024	0.0858014	0.0322855	0.0517275	0.0358562	0.0451862	0.0310109	0.0225635
r	0.00161956	0.00163681	0.00090637	0.0119207	0.00339462	0.0389496	0.44193	0.284075	0.0630911	0.031133	0.0215822	0.0172157	0.0270379	0.0175028	0.0380049
e	0.00156497	0.00836134	0.00130778	0.0135534	0.00543569	0.0601484	0.478831	0.123544	0.148706	0.0379805	0.0122925	0.00202705	0.0240203	0.0165543	0.065673
m	0.000274928	0.00115541	0.000519397	0.0239112	0.00446948	0.0245972	0.447292	0.323861	0.0481332	0.0816093	0.0158341	0.0087686	0.00906905	0.00330831	0.00719654
w	0.00428016	0.0020045	0.000167204	0.00142535	0.00643879	0.0192664	0.144579	0.177134	0.431798	0.0697887	0.0245413	0.0319951	0.0287389	0.0138629	0.0439795
é	0.00115758	0.00033708	0.000105022	0.000432394	0.00482782	0.0133858	0.0470456	0.0744265	0.79637	0.0246355	0.00699684	0.0059014	0.0012306	0.0191406	0.00400723
s	0.0290262	0.0176439	0.000363347	0.0109637	0.0183422	0.104447	0.0747729	0.207094	0.453805	0.0304405	0.0226721	0.00676221	0.00769837	0.00727749	0.00869089
é	0.00473626	0.00458334	0.00100148	0.00197714	0.00556615	0.0362106	0.139255	0.0752514	0.545467	0.058137	0.0128936	0.0122282	0.00780717	0.00837392	0.0865114
ó	0.000640661	0.00148304	0.00054537	0.0131233	0.0035951	0.0156987	0.172165	0.228578	0.120212	0.238454	0.0885702	0.0444921	0.0289237	0.00948336	0.0340347
p	0.000826554	0.00136255	0.000417433	0.00317388	0.00320299	0.0109045	0.0594132	0.132392	0.107068	0.325148	0.227061	0.053223	0.0361884	0.0169089	0.02271
é	0.000125778	0.000306876	0.000803499	0.00146949	0.00190443	0.00289813	0.0215699	0.0522428	0.0425961	0.137722	0.274699	0.247663	0.0207969	0.0633243	0.131877
n	0.000373127	0.000501363	0.000749883	0.00250237	0.00241335	0.00682774	0.0247603	0.0661599	0.0421308	0.124364	0.195146	0.186636	0.0396955	0.0501571	0.257582
d	8.46992e-05	0.000597835	0.000731844	0.00194759	0.00302567	0.00960195	0.0453177	0.0821876	0.12298	0.17531	0.210835	0.109636	0.0506745	0.0637881	0.123282
í	0.000433801	0.00185899	0.00284135	0.00485495	0.00517097	0.0101421	0.147267	0.10112	0.124766	0.294067	0.0700419	0.0564916	0.0368421	0.0400292	0.104073
m	0.000185356	0.000437151	0.000274174	0.00214589	0.000761399	0.00652613	0.0465884	0.0653216	0.0867663	0.131695	0.181914	0.109738	0.249742	0.0573035	0.0606011
ú	0.00170906	0.000810377	5.29405e-05	0.00035696	0.000815897	0.00270939	0.0223901	0.0522796	0.415285	0.0744721	0.0403151	0.188151	0.048498	0.107792	0.0443622
a	0.000199869	0.000654318	7.81741e-05	0.000511244	0.000810414	0.0015768	0.00949054	0.0400609	0.0561156	0.151801	0.260063	0.287437	0.0667535	0.0452839	0.0791635
