 	c'	est	l'	oncle	d'	adoua	qui	a	érigé	les	murs	de	cette	maison	en	terre	battue	</S>
o	0.107253	0.113573	0.0289625	0.00569079	0.0476406	0.170335	0.0524566	0.13653	0.134351	0.0844807	0.0651769	0.016871	0.0188784	0.0101751	0.00470497	0.00136691	0.0011694	0.000383635
k	0.00078751	0.000964429	0.000324118	0.00066798	0.000814899	0.000905581	0.000801984	0.0225472	0.913243	0.0119646	0.0338076	0.00418015	0.000950135	0.00167718	0.00132141	0.00242945	0.00135426	0.00125832
a	0.000531863	0.00124984	0.000324873	0.000647071	0.00114749	0.000428057	0.000245732	0.00366676	0.96386	0.00982526	0.00329674	0.0032825	0.000772164	0.000193942	0.00191231	0.00312807	0.00259404	0.00289352
n	0.000263914	0.00321504	0.000384565	0.00294987	0.00213099	0.00206707	0.0012104	0.0160768	0.933775	0.0210165	0.00428526	0.00237368	0.00161659	0.000328796	0.0020749	0.00169935	0.00293035	0.00160089
i	0.0170347	0.0195025	0.0084617	0.00226063	0.00759235	0.00533722	0.0194291	0.0439043	0.699246	0.0773776	0.0463972	0.0124226	0.0228829	0.00417354	0.00625759	0.00312437	0.000607472	0.00398786
i	0.100049	0.111545	0.0391854	0.0104892	0.0257201	0.0323181	0.0308318	0.0738998	0.0537867	0.219441	0.177192	0.046474	0.0259217	0.0221466	0.0124083	0.0046147	0.00223102	0.0117463
n	0.0109758	0.0174123	0.0300899	0.0224704	0.034039	0.0064083	0.0153635	0.0199777	0.00684986	0.0991804	0.209515	0.135835	0.0615598	0.201893	0.049971	0.0186137	0.00703111	0.0528147
d	0.00105593	0.00119498	0.0150928	0.0137015	0.0046112	0.000855793	0.0182097	0.0372964	0.0021058	0.0186586	0.492972	0.0358211	0.0746894	0.264782	0.00844019	0.00617012	0.000141971	0.00420054
é	0.00115246	0.000735582	0.0129589	0.015972	0.00374	0.000485424	0.01533	0.0175239	0.00073431	0.00422973	0.171363	0.0391	0.0419332	0.624974	0.0102205	0.02951	0.00032923	0.00970709
e	0.002416	0.00203327	0.0113666	0.00464986	0.0166016	0.00599861	0.0354996	0.011821	0.00521662	0.0318796	0.175309	0.124735	0.195087	0.267158	0.0430655	0.0614317	0.00137995	0.0043496
y	0.00276312	0.00311828	0.0146415	0.00268534	0.0411938	0.0485536	0.0642198	0.0350273	0.00525051	0.0565595	0.0349017	0.171622	0.195451	0.176433	0.0951685	0.0452297	0.00353688	0.00364394
é	0.00443949	0.00513242	0.0154985	0.00918087	0.0217081	0.00407864	0.0450955	0.0171473	0.00181857	0.025313	0.0250797	0.183542	0.237885	0.147285	0.0877649	0.14971	0.00271235	0.0166091
á	0.00385328	0.00768754	0.0786464	0.00876941	0.082813	0.0552956	0.152318	0.0500803	0.0023916	0.017749	0.00850364	0.0832793	0.12994	0.0705648	0.112897	0.120054	0.00883973	0.00631648
d	0.00133753	0.00430234	0.00534432	0.00294944	0.0278804	0.0256359	0.0302292	0.0605491	0.00316889	0.0117297	0.0129575	0.108427	0.0788564	0.133202	0.247056	0.152039	0.0405226	0.0538131
z	0.0016243	0.00237141	0.00389172	0.000398038	0.0426146	0.0153794	0.0440343	0.0574276	0.00643293	0.0124036	0.00432054	0.13143	0.0600102	0.0695037	0.158386	0.0891941	0.0160158	0.284562
e	0.00827011	0.00106513	0.0108278	0.00048229	0.0164253	0.00233735	0.0687808	0.0289745	0.0122041	0.0488096	0.0396022	0.192342	0.154689	0.0988097	0.154	0.119168	0.014911	0.0283008
