 	il	est	assis	sur	une	chaise	</S>
w	0.731639	0.227495	0.0147699	0.0147183	0.00976366	0.00155289	6.1291e-05
a	0.656758	0.280012	0.00431851	0.0162096	0.0381169	0.003986	0.000598924
a	0.113135	0.448526	0.370491	0.0420861	0.0132944	0.000811347	0.0116564
d	0.0323247	0.146454	0.462026	0.229157	0.0465978	0.00868952	0.0747506
í	0.0585116	0.210813	0.387665	0.13851	0.013256	0.000551194	0.190693
d	0.00985846	0.0361203	0.264002	0.203441	0.046942	0.0031315	0.436505
z	0.0157186	0.032733	0.180686	0.476504	0.0727608	0.00267881	0.218918
a	0.0399496	0.0852784	0.59607	0.209062	0.0491425	0.00277934	0.0177186
a	0.00665595	0.0188064	0.409875	0.2239	0.190221	0.0245258	0.126015
m	0.00278767	0.007091	0.0179526	0.284034	0.365412	0.14585	0.176874
ó	0.0112677	0.025091	0.0189871	0.0693687	0.179547	0.13574	0.559998
k	0.00434922	0.00401912	0.00176739	0.0344496	0.0797892	0.819918	0.0557074
í	0.00159678	0.000575674	0.000908229	0.00771628	0.0267234	0.928344	0.0341355
t	0.000415894	0.000392968	0.00446894	0.00895868	0.0155016	0.760675	0.209587
i	0.00765745	0.00525568	0.0328234	0.0749929	0.179533	0.391634	0.308103
</S>	0.00527286	0.00632593	0.00937831	0.0342584	0.0552841	0.0755807	0.8139
