 	ma	femme	s'	est	embellie	</S>
m	0.617378	0.357551	0.0139572	0.00563055	0.00496339	0.000519852
w	0.000942778	0.998097	0.000588644	8.88394e-05	2.75504e-05	0.000255319
á	0.0102439	0.987502	0.00127388	0.000178625	0.000603379	0.000198025
s	0.651411	0.340354	0.00483683	0.000873242	0.000149851	0.00237506
í	0.600361	0.177915	0.0762642	0.0730859	0.00357414	0.0688004
y	0.344094	0.0580467	0.449625	0.0886183	0.00116377	0.0584524
a	0.681516	0.138732	0.129384	0.026359	0.0053909	0.018618
n	0.93172	0.0390712	0.0210128	0.00394254	0.000244845	0.00400907
g	0.959881	0.0232453	0.00658585	0.00760476	0.000108794	0.00257398
á	0.423372	0.244731	0.130388	0.0956129	0.00760653	0.0982898
á	0.0573305	0.0161253	0.741579	0.116899	0.0278492	0.040217
m	0.00281035	0.00156075	0.307172	0.64601	0.0169254	0.0255214
i	0.00142426	0.00185975	0.196183	0.737751	0.032444	0.0303377
s	0.00212227	0.00070414	0.094732	0.819341	0.0595683	0.0235326
á	0.00282611	0.000354128	0.0951608	0.865547	0.0177369	0.0183749
á	0.01798	0.00185389	0.171016	0.437117	0.0386029	0.33343
o	0.00533666	0.00617166	0.0656761	0.374056	0.460252	0.0885084
b	0.000168706	0.000231623	0.00172852	0.0405087	0.941469	0.0158936
v	1.22153e-05	2.103e-05	0.00261924	0.00714943	0.983894	0.0063042
w	0.000133303	2.58681e-05	0.00456601	0.0152211	0.963984	0.0160698
o	0.000796967	0.000100982	0.0515689	0.0905046	0.669057	0.187972
m	0.000291506	9.57591e-06	0.00505207	0.0433228	0.174877	0.776447
a	0.0609435	0.00121353	0.0115074	0.0577045	0.372895	0.495736
</S>	0.00389393	0.000226871	0.0113186	0.0429067	0.0276577	0.913996
