 	tu	dis	des	bêtises	</S>
w	0.982376	0.00716408	0.00691618	0.00326081	0.00028306
a	0.913216	0.00945027	0.0685995	0.0071098	0.00162473
l	0.559191	0.335474	0.07559	0.00559579	0.024149
á	0.26264	0.159612	0.147043	0.0441258	0.386579
a	0.62477	0.0826478	0.0826989	0.0523446	0.157539
s	0.0362573	0.949448	0.00674524	0.00297648	0.00457335
ε	0.00544598	0.989891	0.00173381	0.000647822	0.00228127
r	0.029047	0.727367	0.137276	0.0389378	0.0673729
έ	0.0291813	0.33079	0.538436	0.0283869	0.0732058
p	0.142333	0.336698	0.485364	0.0172498	0.0183557
ώ	0.260005	0.315098	0.0837471	0.114757	0.226393
ω	0.0429071	0.408581	0.235883	0.11166	0.200969
y	0.00840268	0.0469976	0.791952	0.0943104	0.0583377
á	0.0101434	0.0997284	0.392082	0.320959	0.177087
m	0.0133076	0.00994295	0.137126	0.783759	0.0558651
b	0.000369724	0.0105479	0.091096	0.476578	0.421409
é	0.000243312	0.00375805	0.030852	0.896819	0.0683277
m	0.000482348	0.0151536	0.131803	0.69905	0.15351
b	0.00041739	0.00878833	0.0545314	0.56099	0.375273
é	0.00452071	0.00586246	0.0255641	0.364422	0.59963
</S>	0.000173585	0.00681114	0.101811	0.242304	0.648901
