 	le	chien	a	des	plaies	aux	oreilles	</S>
m	0.659985	0.30729	0.0137914	0.00866731	0.00614008	0.00332693	0.000484762	0.00031468
v	0.0443372	0.827321	0.0874841	0.0185707	0.000676399	0.0102281	0.00017026	0.0112126
á	0.00493862	0.991412	0.0012468	0.00215045	0.000171986	1.36712e-05	6.28961e-05	3.55193e-06
n	0.165686	0.81479	0.00352752	0.00366479	0.000170769	0.00102116	0.000524728	0.0106153
d	0.0503581	0.888658	0.0208042	0.00940777	0.00186183	0.0009171	0.000903201	0.0270894
é	0.0712435	0.652163	0.0816951	0.02569	0.013258	0.007925	0.0129084	0.135117
a	0.082528	0.0288982	0.72994	0.0970916	0.0193676	0.0216066	0.00168462	0.0188834
d	0.0363794	0.0246079	0.621457	0.252182	0.0345008	0.0150779	0.00189594	0.0138993
í	0.0130614	0.0118821	0.39392	0.302409	0.0552289	0.0309922	0.00451244	0.187995
l	0.0219193	0.00749326	0.136442	0.368188	0.234435	0.0596452	0.0452086	0.126668
a	0.00208706	0.00208533	0.0677824	0.586254	0.171663	0.0625026	0.0100818	0.097544
a	0.00379176	0.00388957	0.0431514	0.394681	0.4364	0.0398336	0.040623	0.0376294
p	0.000952059	0.00190505	0.0121423	0.10245	0.7986	0.00776316	0.0683358	0.00785109
ó	0.00011345	0.000839266	0.00423543	0.0355389	0.856406	0.00114418	0.0842143	0.0175081
r	0.00030654	0.000490562	0.0177675	0.0970898	0.753709	0.0191318	0.0552118	0.0562932
á	0.00323374	0.0118107	0.0300793	0.146965	0.571999	0.0436153	0.0954101	0.0968876
m	0.00314601	0.00159484	0.0155074	0.0807531	0.142979	0.453653	0.18154	0.120826
á	0.0110958	0.00440823	0.0216957	0.0798305	0.0779141	0.310543	0.312507	0.182006
t	0.00964201	0.00662263	0.0101062	0.0513328	0.0636305	0.214812	0.599532	0.0443218
ú	0.00146383	0.000577946	0.00392536	0.0130039	0.140588	0.0188156	0.783252	0.0383732
e	0.00489312	0.00072284	0.000601203	0.0327478	0.0454969	0.023035	0.837063	0.0554402
</S>	0.00191213	0.000220315	0.00486988	0.0122954	0.00959356	0.23721	0.0694982	0.6644
