 	il	est	enivré	à	l'	alcool	de	maïs	</S>
w	0.908454	0.079769	0.00332809	0.00343011	0.00243542	0.00113533	0.00116933	0.000148354	0.000130235
a	0.900412	0.0764172	0.0021982	0.0126354	0.00524515	0.000976813	0.0018872	0.000194599	3.33955e-05
á	0.130173	0.781858	0.0540877	0.010062	0.00537299	0.00163641	0.00742493	0.00191879	0.00746618
m	0.0274766	0.511097	0.404481	0.0134833	0.0106599	0.00329419	0.0102458	0.00744105	0.011821
i	0.0113949	0.189323	0.644791	0.0481984	0.0358544	0.0247936	0.0138113	0.00670123	0.0251326
l	0.00332612	0.0564877	0.908667	0.012276	0.00591839	0.00275268	0.000973882	0.00347815	0.0061201
á	0.000715457	0.0175261	0.96153	0.00548182	0.00269019	0.00132869	0.000423734	0.00329281	0.00701137
n	0.0314404	0.190735	0.590031	0.120896	0.0330683	0.00820684	0.0099207	0.00408903	0.0116131
g	0.11473	0.144295	0.530285	0.165532	0.0151558	0.00208003	0.00245134	0.00105809	0.0244129
á	0.0737227	0.0639184	0.379484	0.221632	0.0409394	0.0393725	0.00190993	0.0631427	0.115879
ω	0.0244469	0.0157524	0.0283393	0.547084	0.304963	0.0258112	0.0400829	0.00955273	0.00396744
n	0.00502413	0.0185238	0.172068	0.115986	0.267335	0.195419	0.0460376	0.151564	0.0280439
g	0.000402842	0.00520308	0.0153132	0.022408	0.046198	0.287953	0.00501296	0.575431	0.0420785
a	0.000168085	0.00202371	0.00989823	0.0165084	0.0397852	0.39522	0.00395671	0.520856	0.0115833
n	0.000730086	0.00793647	0.0336595	0.0879143	0.0933308	0.253237	0.0189297	0.363498	0.140765
d	0.00170545	0.00652311	0.0258731	0.0673409	0.0830507	0.314952	0.139083	0.228702	0.13277
a	0.0041225	0.00383889	0.028885	0.0574288	0.0727259	0.192611	0.0296915	0.270577	0.34012
</S>	0.0130951	0.0370275	0.0247471	0.0916778	0.0535353	0.0496898	0.290878	0.179113	0.260237
