 	le	fils	de	nyasoni	est	très	instruit	</S>
m	0.631779	0.336031	0.0124015	0.011648	0.00533106	0.00191884	0.000658326	0.000231333
w	0.074975	0.831515	0.0376879	0.00837205	0.0151759	0.00839475	0.00461073	0.0192688
á	0.0196278	0.975205	0.00138851	0.000471507	0.00174527	0.00102399	0.000337734	0.000200568
n	0.390245	0.585799	0.0057696	0.00114383	0.00261367	0.00216463	0.00205007	0.0102138
a	0.0641545	0.653341	0.0833453	0.000436038	0.0217204	0.0127626	0.00445581	0.159785
y	0.55126	0.174549	0.173611	0.0287666	0.0240013	0.0114687	0.016385	0.0199592
a	0.296538	0.222066	0.192845	0.0384512	0.0885019	0.0656298	0.0365516	0.0594157
n	0.244585	0.200583	0.205356	0.175656	0.0624605	0.0279372	0.0408865	0.0425361
y	0.0787583	0.110128	0.0387596	0.671598	0.0120359	0.00723134	0.0707743	0.010715
a	0.0071295	0.0331226	0.03473	0.784835	0.0231432	0.0249335	0.07092	0.0211863
s	0.0154173	0.0229079	0.222715	0.526298	0.0791839	0.0627025	0.0614509	0.0093244
ω	0.0842983	0.112258	0.236364	0.0856137	0.0876373	0.0683451	0.100601	0.224882
n	0.0300719	0.0300758	0.523957	0.128778	0.198951	0.0517683	0.0137144	0.0226841
i	0.0118852	0.0435572	0.156145	0.592824	0.0565882	0.0288462	0.0444835	0.0656709
a	0.00399818	0.0103165	0.318736	0.257954	0.30961	0.0641024	0.0141409	0.0211414
d	0.0068091	0.00214211	0.151343	0.136172	0.533478	0.130712	0.013401	0.0259434
i	0.00511016	0.00125523	0.107032	0.1404	0.410603	0.146777	0.0204529	0.16837
l	0.00482376	0.000776042	0.092757	0.0454538	0.423333	0.33968	0.0311735	0.0620033
a	0.00132149	0.0012286	0.0386838	0.0560478	0.277154	0.37408	0.0801949	0.171289
l	0.00275921	0.00119798	0.0163455	0.0456132	0.108632	0.458685	0.267349	0.0994182
e	0.00314741	0.000692891	0.0224407	0.0676869	0.109866	0.495561	0.22509	0.0755158
k	9.15998e-05	5.01867e-05	0.00268753	0.00173905	0.0580902	0.666491	0.221867	0.0489831
á	0.000600396	0.00032047	0.00900479	0.00452305	0.054304	0.688304	0.0941194	0.148824
s	0.0011405	0.000593612	0.0232249	0.00425795	0.0788635	0.364058	0.121625	0.406237
i	0.00136061	0.000205999	0.00728159	0.0387799	0.057483	0.507418	0.220591	0.16688
n	0.000369672	0.000141068	0.0058832	0.00231629	0.0411956	0.150618	0.619931	0.179545
d	0.00172161	0.0033688	0.0149769	0.0211303	0.0310378	0.148771	0.695463	0.0835302
é	0.000112697	0.000393057	0.000673714	0.0105326	0.00357396	0.0306277	0.91538	0.0387065
n	0.000974764	0.000533525	0.00565593	0.00219551	0.0364297	0.0788862	0.563554	0.31177
g	0.00171773	0.00162049	0.00850119	0.00177126	0.0142888	0.0532898	0.773058	0.145753
é	0.000163964	0.000698151	0.000720353	0.00914468	0.00260243	0.0225539	0.919347	0.0447691
é	0.000717216	0.000509109	0.00996799	0.00426539	0.0306115	0.0647084	0.449511	0.43971
t	0.00518384	0.000591322	0.0247403	0.00392864	0.051996	0.077586	0.466682	0.369292
s	0.00189285	0.000814321	0.0312659	0.00321417	0.0174488	0.147835	0.166329	0.6312
ω	0.00417078	0.000441993	0.0106112	0.0110514	0.0158939	0.155059	0.309613	0.493158
</S>	0.00469818	0.000734841	0.0133198	0.00303977	0.018977	0.0708634	0.162656	0.725712
