 	prenez	quelque	chose	pour	vous	en	servir	au	besoin	</S>
k	0.975648	0.00911756	0.00316798	0.0054855	0.00107795	0.00314015	0.000808332	0.00141149	0.000126811	1.65066e-05
o	0.976927	0.00711158	0.00136738	0.00161272	0.00124676	0.00390034	0.00565712	0.000566761	0.00143339	0.000176746
b	0.929709	0.0187538	0.0117767	0.00647463	0.00282483	0.00502592	0.0082533	0.0032746	0.00492177	0.00898569
h	0.578673	0.0907833	0.024489	0.0434429	0.013825	0.0712631	0.10473	0.0344575	0.0105009	0.0278347
á	0.590087	0.108586	0.0329591	0.0476039	0.0285125	0.0344486	0.0416805	0.0254831	0.0127884	0.0778509
y	0.355264	0.386772	0.0877504	0.0382324	0.0293292	0.0162292	0.00306719	0.0329778	0.00500889	0.0453692
a	0.0883982	0.176313	0.448489	0.0724656	0.0171399	0.0547284	0.0942052	0.0197913	0.00517605	0.0232937
á	0.0529611	0.328677	0.20502	0.0984839	0.0966673	0.0585593	0.0605848	0.0464583	0.014701	0.0378869
e	0.0216679	0.295042	0.440387	0.0507065	0.0138214	0.0352004	0.0111778	0.0537121	0.0247657	0.05352
y	0.0538055	0.351613	0.420296	0.039703	0.00596871	0.0223656	0.0100851	0.0124955	0.0290856	0.0545815
e	0.00741831	0.106785	0.761202	0.0354324	0.0032945	0.0145478	0.0122873	0.0141959	0.00783382	0.0370023
a	0.00337646	0.101612	0.484843	0.0725759	0.0140229	0.0250983	0.0190098	0.0416214	0.0153708	0.222469
b	0.00274141	0.104118	0.527754	0.201544	0.0293972	0.030975	0.00646217	0.0313098	0.00849006	0.0572084
a	0.0041395	0.200918	0.0366446	0.289592	0.300834	0.102084	0.0182984	0.00758802	0.00707777	0.0328237
á	0.000895472	0.106179	0.0179409	0.0897755	0.619352	0.0414494	0.010629	0.00605757	0.0109188	0.0968023
l	0.00169654	0.0360079	0.1628	0.473584	0.0655585	0.114215	0.0146334	0.0629304	0.0125479	0.0560261
ó	0.00340917	0.0383125	0.188101	0.205075	0.0189302	0.139125	0.0509232	0.071464	0.0223011	0.262359
o	0.00301006	0.0145196	0.171868	0.377557	0.0661329	0.18508	0.0462978	0.0310082	0.0556282	0.0488979
s	0.0233226	0.0142209	0.269096	0.349421	0.0126129	0.195522	0.0273022	0.0223034	0.0716528	0.0145455
e	0.00438169	0.00576015	0.776119	0.112552	0.00549003	0.0343858	0.00726123	0.012258	0.0229443	0.0188478
n	0.00099868	0.0090319	0.658147	0.220862	0.0112666	0.0417561	0.0047123	0.0152943	0.0158075	0.0221231
g	0.00356345	0.0199427	0.333743	0.381486	0.0200712	0.103931	0.0292941	0.0331304	0.0138435	0.0609943
á	0.00268348	0.0192932	0.264203	0.37236	0.0538425	0.0948849	0.080519	0.0135806	0.0142362	0.0843967
w	0.00118162	0.00480928	0.0122765	0.192243	0.208063	0.339017	0.141233	0.0789026	0.0103632	0.0119112
á	0.000494126	0.0260135	0.00625752	0.276783	0.211683	0.198205	0.133142	0.0606199	0.0128777	0.0739236
a	0.000657507	0.00523743	0.0020477	0.0595999	0.452743	0.146473	0.243641	0.030815	0.0199008	0.0388842
n	0.0019181	0.00579035	0.0122117	0.0480078	0.0960513	0.292954	0.163368	0.212081	0.13165	0.0359674
ω	0.000303522	0.0024477	0.0227034	0.0329419	0.101963	0.170569	0.576972	0.0389879	0.0165379	0.0365734
ω	4.34552e-05	0.00085876	0.0168521	0.0436331	0.043375	0.113236	0.525123	0.152225	0.0356348	0.0690192
k	0.00245527	0.00221822	0.0156219	0.029958	0.00323567	0.0898815	0.0816325	0.363434	0.331862	0.0797005
á	0.00533403	0.0105828	0.00906423	0.0528913	0.0215058	0.181585	0.230466	0.094605	0.207064	0.186901
m	0.0061449	0.0200797	0.00487284	0.065834	0.364559	0.163425	0.0962847	0.0513036	0.0880809	0.139415
b	0.000177651	0.00321228	0.00137595	0.0782404	0.191923	0.122501	0.0548744	0.188787	0.130688	0.22822
í	0.00139386	0.0113538	0.0032092	0.0957945	0.120124	0.18054	0.0758315	0.0356353	0.146168	0.32995
</S>	0.000619529	0.00174048	0.00218683	0.0183343	0.0272418	0.123902	0.151951	0.230527	0.157609	0.285889
