 	elle	a	des	yeux	brillants	de	malice	</S>
w	0.860475	0.0485058	0.0773519	0.0111114	0.00079508	0.00127069	0.000460432	2.98606e-05
a	0.826709	0.0692739	0.050088	0.0258671	0.00593297	0.0217166	7.94569e-05	0.000332951
m	0.0506793	0.253332	0.482701	0.0997174	0.0772125	0.0340099	0.00013533	0.0022129
í	0.090765	0.141314	0.0874518	0.654362	0.0120202	0.00635017	2.8734e-05	0.00770733
s	0.0673828	0.0806316	0.101125	0.707424	0.0099095	0.0118331	0.000122025	0.0215717
i	0.0121482	0.165283	0.266064	0.446918	0.0406533	0.0118847	7.84841e-05	0.05697
m	0.0142603	0.12211	0.37692	0.228951	0.181034	0.0238944	0.000389847	0.052441
á	0.113268	0.174646	0.257602	0.314442	0.0743021	0.0530374	0.000399044	0.0123032
a	0.17949	0.188857	0.254591	0.230601	0.0777181	0.0574911	0.00170327	0.00954792
y	0.000940711	0.0238112	0.0498818	0.0694088	0.553638	0.256636	0.0361247	0.00955835
έ	0.000428215	0.0589059	0.09481	0.0811063	0.629231	0.0939314	0.012876	0.028711
s	0.000881717	0.0171508	0.0365434	0.0331042	0.288719	0.245496	0.0104564	0.367649
έ	0.0032187	0.0437227	0.0515166	0.00940819	0.526761	0.263181	0.0187179	0.0834738
a	0.00323075	0.0384343	0.101856	0.0454658	0.190752	0.368435	0.0775882	0.174238
k	0.00292594	0.023263	0.0264416	0.0523861	0.0703712	0.466801	0.267534	0.0902775
o	0.000285937	0.000509628	0.000782894	9.87836e-05	0.00309099	0.0140083	0.944199	0.0370241
l	3.72214e-05	0.00054636	0.00250523	0.00158466	0.0125826	0.0445892	0.76716	0.170995
a	9.82611e-05	0.000612291	0.00129972	0.000160324	0.0264069	0.0554396	0.754454	0.161529
a	0.000438731	0.00174527	0.00705859	0.00127735	0.0344981	0.225356	0.13223	0.597396
</S>	0.00102206	0.0167653	0.0387863	0.00981287	0.0829334	0.355874	0.0612166	0.433589
