 	le	tisserin	construit	son	nid	pendant	la	saison	sèche	</S>
k	0.80107	0.185261	0.00573195	0.00572146	0.00110339	0.000413406	0.000357773	0.000300159	2.95516e-05	1.14392e-05
ώ	0.1701	0.801879	0.0121545	0.00755219	0.00150143	0.00233551	0.00243091	0.0014679	0.000381532	0.000197399
n	0.0748335	0.544786	0.098069	0.156849	0.0532149	0.0149627	0.0260236	0.0119702	0.0036087	0.0156827
d	0.299503	0.574229	0.0454617	0.0545317	0.00816453	0.00669413	0.00618711	0.00213829	0.000270217	0.00282029
ώ	0.18726	0.589996	0.0578546	0.0221373	0.026206	0.0261596	0.0172857	0.0116189	0.00292312	0.0585594
l	0.209032	0.413005	0.206445	0.0373667	0.00989516	0.0355505	0.0293873	0.019719	0.00545109	0.0341491
á	0.132262	0.248828	0.179151	0.0487312	0.0305346	0.0654377	0.0517584	0.0198131	0.00972459	0.21376
a	0.716453	0.0524234	0.116384	0.0505209	0.0226558	0.0152838	0.00969374	0.00795409	0.00165968	0.00697199
t	0.0169296	0.0477174	0.833271	0.0770113	0.011316	0.00146681	0.00241406	0.00121355	0.00088013	0.00777996
ó	0.00478436	0.03947	0.814934	0.112304	0.0134411	0.00228482	0.00201643	0.000912499	0.000878944	0.00897376
n	0.00994897	0.0589358	0.820285	0.0884125	0.00676744	0.00291051	0.00292711	0.0011193	0.000509348	0.0081844
g	0.0570653	0.121199	0.660493	0.106764	0.0145695	0.00868771	0.0058336	0.00107488	0.000742959	0.0235696
á	0.103726	0.365409	0.349317	0.12397	0.023863	0.00876482	0.00446743	0.00198825	0.00145875	0.0170358
d	0.0169141	0.00330448	0.0613518	0.54158	0.249614	0.0791449	0.016095	0.0151858	0.00471302	0.0120963
z	0.0129692	0.00940976	0.0144747	0.521388	0.340448	0.0515958	0.0125034	0.0053365	0.0104319	0.0214426
ú	0.00105104	0.000508703	0.00760593	0.168109	0.799519	0.0134864	0.00189114	0.000897388	0.00225402	0.00467692
m	0.00753604	0.00579552	0.0151655	0.377707	0.543911	0.0176292	0.00346597	0.00412989	0.00834844	0.0163109
b	0.0063363	0.00276306	0.00697216	0.373975	0.313995	0.152709	0.0535748	0.032349	0.00722739	0.0500983
u	0.00953198	0.00312812	0.0112735	0.189069	0.658471	0.0869987	0.012171	0.00450323	0.00436251	0.0204911
m	0.00243534	0.00307361	0.00432704	0.13665	0.132363	0.492254	0.128229	0.0520707	0.00599983	0.0425981
ó	0.00336953	0.00130028	0.000937614	0.0867243	0.275224	0.154643	0.0931059	0.133161	0.0530832	0.198451
n	0.00357031	0.00972652	0.00545176	0.109655	0.210869	0.133356	0.174669	0.168412	0.131695	0.0525962
d	0.00869567	0.0168815	0.0329261	0.056512	0.267823	0.31404	0.160841	0.0659597	0.00849944	0.0678219
i	0.00112768	0.00394	0.00583189	0.0191172	0.220164	0.378818	0.177577	0.0660955	0.0195192	0.107809
e	0.000137629	0.00198054	0.0144249	0.0604918	0.112419	0.263977	0.262473	0.126763	0.0327353	0.124597
m	0.000818468	0.00170813	0.00156959	0.0160308	0.0160475	0.194223	0.365524	0.27151	0.0416006	0.0909685
é	0.00317773	0.00131308	0.00125028	0.0186192	0.0469701	0.10455	0.108786	0.209048	0.182368	0.323918
b	0.000710074	0.00332131	0.00274067	0.011563	0.0153229	0.0278092	0.143506	0.279079	0.356706	0.159242
h	0.00170426	0.00419456	0.00297646	0.0119057	0.00777537	0.0105344	0.124849	0.0885953	0.703074	0.0443913
ó	0.000290227	0.000300374	0.00137143	0.0172366	0.0234893	0.0233537	0.196201	0.0889153	0.551348	0.0974935
y	0.000189103	0.000265387	0.000604751	0.0125504	0.0160211	0.044398	0.150641	0.240602	0.400745	0.133984
á	0.00140054	0.00129108	0.00108931	0.0222136	0.0326106	0.0633722	0.0832905	0.0999236	0.562488	0.13232
</S>	0.00576221	0.00166277	0.0027597	0.0133819	0.0162978	0.0373912	0.0664622	0.186649	0.453985	0.215648
