 	la	vase	du	protoptère	est	pérenne	</S>
e	0.867356	0.106263	0.0125782	0.0083893	0.00533416	3.97099e-05	3.98986e-05
b	0.224018	0.758423	0.00804315	0.00193759	0.00173017	0.00449888	0.0013496
ó	0.114799	0.835449	0.0188806	0.02072	0.0063374	0.00128965	0.0025248
l	0.0688072	0.686224	0.109308	0.0182743	0.0104526	0.00193709	0.104997
á	0.247705	0.625858	0.0922733	0.0169611	0.00482733	0.000581735	0.0117937
y	0.422587	0.101722	0.386564	0.0116788	0.0323363	0.00238288	0.0427286
á	0.329791	0.0429983	0.251613	0.0826666	0.0636139	0.00335283	0.225964
n	0.187448	0.00738386	0.393527	0.383048	0.0217485	0.00101118	0.00583336
y	0.0324522	0.00425999	0.254822	0.647269	0.0397695	0.000898599	0.0205288
ω	0.0101879	0.00664804	0.13002	0.769258	0.0458442	0.00787355	0.0301675
m	0.0163456	0.0311423	0.140907	0.664708	0.0376041	0.0272066	0.0820866
b	0.0404919	0.0198231	0.355334	0.268048	0.233744	0.00412267	0.0784365
ώ	0.023715	0.00843817	0.141583	0.734697	0.0679127	0.000743294	0.022911
é	0.0477292	0.00232724	0.211868	0.113383	0.606628	0.00285622	0.015208
d	0.0266083	0.0200077	0.128736	0.0213506	0.618553	0.102557	0.0821874
í	0.00180844	0.00147288	0.0133878	0.00143366	0.122328	0.162209	0.697361
o	0.00432096	0.00149844	0.0257828	0.00582996	0.0821325	0.620443	0.259993
k	0.000601786	0.00468898	0.00283804	0.00244383	0.00436311	0.92557	0.0594939
á	4.37822e-05	0.00570213	0.000390799	9.70247e-05	0.000702774	0.95389	0.0391732
l	0.00232448	0.01127	0.0112415	0.00611889	0.0141164	0.842728	0.1122
a	0.000370186	0.00408364	0.00611309	0.0118105	0.0272931	0.597351	0.352979
k	0.000388136	0.000794105	0.0071299	0.00500595	0.0365461	0.339029	0.611107
a	0.00435929	0.0319101	0.0517978	0.00917584	0.064794	0.466472	0.371491
á	0.000247057	0.00205813	0.00258805	0.00130321	0.013612	0.402098	0.578093
</S>	0.00319566	0.00634022	0.033531	0.00799371	0.0486626	0.218935	0.681342
