 	son	père	est	mécanicien	</S>
y	0.725259	0.27102	0.00218156	0.00115023	0.000389516
a	0.459288	0.510667	0.0206893	0.00410687	0.00524895
w	0.709078	0.28421	0.00573466	0.000314749	0.000662443
a	0.3551	0.271759	0.14775	0.0501887	0.175203
t	0.387264	0.457272	0.0787332	0.00810646	0.0686252
á	0.230801	0.52768	0.0442507	0.0182569	0.179011
á	0.2407	0.402932	0.105642	0.00683851	0.243887
a	0.0344962	0.0249069	0.833834	0.0477311	0.0590323
d	0.0251301	0.0118729	0.766775	0.0634615	0.132761
í	0.00488063	0.000381994	0.87189	0.00704468	0.115803
o	0.0773961	0.000670964	0.636491	0.0351969	0.250245
l	0.00160482	0.000198362	0.0748689	0.892723	0.0306051
o	0.000111222	3.20402e-05	0.0463318	0.921664	0.0318608
n	0.000224815	0.00036284	0.0636129	0.863497	0.072302
d	0.000323653	0.00012187	0.0531353	0.694483	0.251936
i	0.000792945	0.000295613	0.0402943	0.780653	0.177964
i	0.00286852	2.99527e-05	0.0681683	0.432618	0.496315
t	0.00640193	0.000145447	0.0841133	0.317943	0.591396
ω	0.0126582	0.000717009	0.0313099	0.59444	0.360875
m	0.000143994	5.80577e-05	0.0127078	0.648394	0.338696
b	0.00271925	0.000141051	0.0399013	0.493115	0.464123
í	0.000686552	1.24617e-05	0.0155386	0.472558	0.511204
l	0.00244619	7.81936e-05	0.0230335	0.09663	0.877812
i	0.0124896	0.000663467	0.0416166	0.20871	0.736521
</S>	0.0104737	5.42944e-05	0.0903435	0.0364746	0.862654
