 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
i	0.642947	0.264249	0.0281012	0.00908926	0.03759	0.0111489	0.00624198	0.000510885	0.000122025
b	0.186393	0.587583	0.0818493	0.036162	0.0817209	0.013481	0.00721309	0.00261782	0.00297968
a	0.0142789	0.970168	0.00196232	0.00356071	0.00890736	0.000376755	0.000358982	0.00021081	0.000175994
a	0.0338631	0.944383	0.00791649	0.00359492	0.00247772	0.00147911	0.000590169	0.000498884	0.00519688
í	0.346923	0.0674639	0.2999	0.0466303	0.0174406	0.0419321	0.00712064	0.000852658	0.171737
k	0.0146004	0.00467773	0.378682	0.316234	0.116343	0.0784648	0.0488098	0.00533748	0.0368508
a	0.00284678	0.0179439	0.0564281	0.367017	0.281958	0.112823	0.0907126	0.0221072	0.0481637
n	0.00509707	0.0276835	0.113381	0.276196	0.259593	0.151976	0.0633831	0.0520004	0.0506903
í	0.0301886	0.00680782	0.0954855	0.310769	0.25033	0.14587	0.0751117	0.0215276	0.06391
o	0.0155854	0.00663655	0.144617	0.113509	0.0999421	0.337685	0.216102	0.0325861	0.0333376
l	0.000591259	0.00273728	0.00562094	0.0442827	0.0627069	0.0714359	0.100822	0.668814	0.0429888
a	0.000302932	0.00080679	0.00448317	0.0507001	0.023938	0.0434663	0.0651114	0.761796	0.0493954
n	0.00111912	0.00132295	0.014474	0.0633449	0.0192172	0.0733816	0.11332	0.513061	0.200759
g	0.0013999	0.00150464	0.0243909	0.0640453	0.140975	0.170799	0.199676	0.297172	0.100037
i	0.00937711	0.0036015	0.0244975	0.0459192	0.0253266	0.0677638	0.0841827	0.634754	0.104578
e	0.0048494	0.00102326	0.00975525	0.015972	0.0132223	0.178902	0.236747	0.0760722	0.463457
d	0.00481248	0.00275322	0.00885962	0.0143023	0.0144557	0.0847992	0.173946	0.272289	0.423783
i	0.00504431	0.00114214	0.00759921	0.0231079	0.00284599	0.0973118	0.119835	0.285918	0.457196
b	0.00271968	0.000202705	0.0074217	0.028257	0.00580053	0.239088	0.27453	0.0835852	0.358396
h	0.00485409	0.00347167	0.0112362	0.0407354	0.0907874	0.128372	0.523604	0.0543461	0.142593
i	0.00242958	0.00439972	0.00329164	0.0181905	0.0156164	0.0737294	0.0783514	0.108511	0.695481
l	0.00133653	0.00178882	0.0041177	0.00798182	0.00905266	0.0732938	0.104724	0.1145	0.683205
i	0.0052592	0.00373065	0.00758849	0.01871	0.010024	0.0252588	0.0477188	0.294915	0.586795
</S>	0.00526557	0.00115569	0.0167475	0.00955856	0.00511222	0.0558766	0.0755694	0.0508611	0.779853
