 	il	a	allongé	les	jambes	de	son	pantalon	</S>
w	0.848694	0.131878	0.000416154	0.0111474	0.00190543	0.00243402	0.0029892	0.000484421	5.13412e-05
a	0.731246	0.207092	0.000128259	0.0441514	0.000268104	0.00303049	0.0124282	0.00160439	5.08924e-05
á	0.387728	0.534901	0.0324299	0.0258196	0.0011311	0.00524057	0.00870176	0.00251021	0.001538
m	0.0135871	0.165126	0.799791	0.00466311	0.00457735	0.00339929	0.00239585	0.000623533	0.00583674
i	0.0227616	0.290879	0.545781	0.0751763	0.00737365	0.00700129	0.00810566	0.00313941	0.039782
y	0.00163694	0.0203079	0.966739	0.00264073	0.00622152	0.000437007	0.000232991	0.000223194	0.00156025
ó	0.00016408	0.00205086	0.996853	0.00034715	0.000238519	3.14062e-05	6.05513e-05	3.22859e-05	0.000222425
s	0.00158919	0.0119678	0.944251	0.0213687	0.000502714	0.00275452	0.00271162	0.000520694	0.0143338
í	0.00861954	0.0381342	0.845652	0.0684384	0.0034702	0.00997449	0.0116538	0.00175765	0.0122995
l	0.116371	0.150295	0.224331	0.301605	0.064847	0.0229239	0.0174702	0.0204414	0.0817154
á	0.00556439	0.0141805	0.0254176	0.572141	0.043738	0.0581738	0.0865484	0.047827	0.146409
a	0.0328134	0.0249109	0.00738056	0.749986	0.061018	0.054026	0.051925	0.0107704	0.00716962
k	0.000537994	0.00315314	0.0348409	0.0293879	0.909115	0.0105864	0.0020301	0.00791829	0.00242986
o	3.06693e-05	7.8181e-05	0.000284857	0.00219443	0.989705	0.00515398	0.000399326	0.00132765	0.000825681
o	1.25084e-05	0.000108051	0.00212377	0.00440052	0.971846	0.0174939	0.00113725	0.000894952	0.0019828
m	0.000802457	0.00638683	0.00572574	0.130672	0.0322592	0.5664	0.161833	0.00573513	0.0901855
ω	0.0365272	0.0167819	0.000466451	0.202223	0.00500606	0.309663	0.286986	0.0164224	0.125924
k	0.00352434	0.00670024	0.00673546	0.105186	0.0613049	0.466997	0.144895	0.156376	0.0482799
á	0.00132894	0.00244344	0.000508469	0.020426	0.216014	0.400632	0.0408914	0.29775	0.0200059
n	0.00206121	0.00130152	0.000420262	0.0263142	0.0547703	0.156566	0.0677899	0.612989	0.077787
d	0.00245722	0.00152203	0.000470105	0.0414786	0.020071	0.200264	0.258367	0.195652	0.279719
á	0.0040508	0.00158073	0.00308813	0.0406605	0.0112202	0.0792037	0.131	0.481833	0.247363
m	0.00505269	0.00496974	0.00156789	0.078405	0.00898293	0.272897	0.269837	0.0962153	0.262072
á	0.0187254	0.0196484	0.00196882	0.0656927	0.000893516	0.141666	0.522042	0.0458927	0.183471
w	0.0191709	0.00724104	0.00529588	0.081054	0.00368004	0.0666685	0.371937	0.387952	0.0570006
a	0.0172165	0.00801119	0.00135619	0.043203	0.00719067	0.131849	0.46884	0.202244	0.120089
</S>	0.00222097	0.000551898	0.000902895	0.0138542	0.00161544	0.0803026	0.190694	0.392755	0.317103
