 	on	ne	peut	pas	parler	avec	lui	il	est	borné	</S>
l	0.700771	0.0780617	0.00830585	0.0442703	0.0247394	0.0595761	0.0311205	0.0296015	0.0161658	0.00604944	0.00133848
e	0.474276	0.0659146	0.0240782	0.0642717	0.109137	0.0521461	0.103889	0.0328704	0.0146484	0.0118466	0.0469215
d	0.494888	0.172597	0.0219939	0.016679	0.0298763	0.0438264	0.08011	0.0447167	0.00956898	0.00491844	0.080825
í	0.0675083	0.0864756	0.0768346	0.0343096	0.148867	0.0759057	0.0792988	0.0233014	0.0183442	0.0210942	0.368061
o	0.0279161	0.0786211	0.0828811	0.0653652	0.0332221	0.0364414	0.0435021	0.0474412	0.117943	0.0588637	0.407803
b	0.0134104	0.21839	0.545456	0.0672912	0.0565445	0.0201687	0.00690187	0.00853058	0.0144874	0.0241768	0.0246425
h	0.00186251	0.0619017	0.784202	0.0208637	0.0322322	0.0330316	0.00836482	0.00747106	0.00371218	0.0150619	0.0312963
e	0.000432219	0.0178318	0.921107	0.00795066	0.0150248	0.0118245	0.00118498	0.00131278	0.00381345	0.00957542	0.00994248
r	0.0318599	0.0520826	0.435844	0.208391	0.0953939	0.0928964	0.0281338	0.0117749	0.00509736	0.00271843	0.0358072
á	0.0453936	0.0525431	0.238594	0.131944	0.133164	0.150931	0.0672754	0.0234329	0.00388729	0.00301286	0.149822
o	0.0958467	0.0709648	0.0818112	0.240793	0.135468	0.182654	0.142036	0.0316793	0.00824305	0.00241205	0.00809203
t	0.00772544	0.0616101	0.192375	0.0921541	0.365153	0.16457	0.0456447	0.0161817	0.0095605	0.0256634	0.0193611
i	0.000386945	0.0263044	0.126271	0.0746002	0.456574	0.151943	0.02038	0.0285429	0.00744834	0.0371894	0.0703607
á	0.000455725	0.0280445	0.178632	0.119468	0.232631	0.131714	0.03922	0.0414263	0.0177884	0.0134236	0.197196
l	0.0167404	0.0129526	0.0102857	0.0769848	0.0821582	0.230337	0.39531	0.124024	0.030294	0.00431634	0.0165972
a	0.0132567	0.0152744	0.00833422	0.0238914	0.155763	0.147591	0.1052	0.131094	0.0495952	0.00783835	0.342162
w	0.0089342	0.00781783	0.00180826	0.0447593	0.0842715	0.237599	0.374026	0.139953	0.0310119	0.0095898	0.0602292
a	0.0165206	0.0174451	0.0238521	0.123095	0.118864	0.153678	0.274087	0.185252	0.0459013	0.0124212	0.0288843
k	0.00267478	0.0037661	0.00168516	0.0396852	0.0626767	0.186103	0.228616	0.283953	0.122713	0.012665	0.0554626
a	0.00312219	0.00646859	0.0150863	0.131518	0.186623	0.197542	0.101083	0.144623	0.089269	0.0477578	0.0769069
á	0.000383287	0.00126324	0.00938033	0.021612	0.0562604	0.0701055	0.052409	0.202242	0.122051	0.118835	0.345458
w	0.00230216	0.00592254	0.00259436	0.00698049	0.0121485	0.0277705	0.074184	0.141518	0.433853	0.0318829	0.260844
a	0.00326248	0.0146623	0.0199344	0.0525929	0.106635	0.0969499	0.0876355	0.227765	0.138325	0.0954712	0.156767
a	0.00217924	0.00249706	0.000950059	0.00956949	0.0143531	0.043812	0.0936085	0.178974	0.320527	0.0637243	0.269805
d	0.00344033	0.0251559	0.0169445	0.0116698	0.016599	0.0126526	0.0118241	0.0542384	0.517627	0.132794	0.197054
í	0.00160186	0.00984168	0.00261886	0.00346734	0.00840663	0.00882977	0.0135052	0.024407	0.278593	0.104704	0.544024
i	0.00143689	0.00293912	0.00185285	0.00815973	0.00774516	0.0145241	0.0206126	0.0412974	0.441716	0.0913061	0.36841
b	0.00815829	0.0347387	0.0228269	0.012141	0.0224558	0.0274087	0.0209105	0.0436039	0.287648	0.367825	0.152283
o	0.00179201	0.0149257	0.0402513	0.0129415	0.0104905	0.0295869	0.0378269	0.06689	0.181438	0.495139	0.108718
ó	1.98038e-05	0.000933497	0.0035926	0.00374372	0.00930571	0.0169857	0.00691557	0.0256289	0.07992	0.604391	0.248563
b	0.00163175	0.0109038	0.00720946	0.0124544	0.0119959	0.0217003	0.0215344	0.0435606	0.244237	0.0766363	0.548136
v	0.00523182	0.00935995	0.0121712	0.0447144	0.0234616	0.0510639	0.0543064	0.100015	0.394151	0.189294	0.116232
ú	0.0087667	0.0027273	0.0205669	0.0225927	0.0173384	0.0608959	0.0647191	0.131316	0.0958616	0.314123	0.261093
s	0.000598572	0.000531767	0.00191483	0.00420168	0.0100815	0.0227156	0.0116004	0.0282331	0.0593719	0.40208	0.458671
u	0.00740979	0.0032447	0.00516894	0.0210188	0.0541259	0.0519118	0.0297089	0.0792726	0.180049	0.215723	0.352366
</S>	0.00105135	0.00268608	0.0017226	0.00402223	0.0065138	0.0132057	0.0120094	0.050002	0.2023	0.0416738	0.664813
