 	une	veuve	a	des	cheveux	touffus	à	cause	de	sa	tristesse	</S>
o	0.723088	0.224728	0.0176978	0.00404857	0.00286429	0.0157186	0.00528688	0.00252424	0.00252996	0.00122895	0.000191657	9.27297e-05
y	0.0237451	0.96741	0.00343627	0.000432714	0.00380763	0.000192251	0.000114277	5.93431e-05	8.33267e-05	7.76494e-05	0.000304952	0.000336075
ú	0.128708	0.82695	0.00345149	0.00292157	0.0329318	0.00152421	0.000365327	0.000473815	0.000662263	0.000503051	0.000714674	0.00079356
r	0.673597	0.238045	0.00183085	0.00397648	0.0761087	0.00134619	0.0013349	0.000745228	0.000496352	0.000526256	0.00118227	0.000811071
u	0.628154	0.333459	0.0125365	0.0155736	0.00204597	0.00181869	0.00167822	0.00135913	0.00111383	0.00103849	0.000504211	0.000718551
y	0.495858	0.117718	0.266088	0.0468871	0.00555976	0.00284569	0.0132089	0.00932241	0.0104018	0.0147245	0.00198694	0.0153983
o	0.456588	0.232612	0.149205	0.0521208	0.0257372	0.002146	0.0166927	0.0111068	0.00875061	0.016154	0.00454378	0.0243429
k	0.773362	0.0545615	0.117639	0.0223535	0.0136616	0.00077245	0.00387297	0.00169305	0.00172872	0.00315686	0.000971015	0.00622767
w	0.153247	0.639454	0.0714697	0.0200925	0.0123154	0.0313769	0.00479297	0.0154095	0.0165187	0.0053164	0.00502232	0.0249841
é	0.099771	0.227515	0.103478	0.165589	0.138851	0.0790874	0.0148821	0.0264505	0.0266594	0.0296589	0.0118805	0.0761781
l	0.044429	0.177361	0.373845	0.113569	0.0139076	0.035175	0.0184336	0.0298692	0.0285223	0.0506565	0.00750373	0.106729
é	0.056621	0.0249285	0.269723	0.136018	0.0135102	0.0168021	0.0371502	0.0388905	0.0436043	0.0387267	0.0459406	0.278086
a	0.0911643	0.00713101	0.220048	0.329444	0.0445677	0.0942192	0.0562973	0.0337803	0.0281397	0.0291558	0.00457909	0.0614731
d	0.00550365	0.00433956	0.0537691	0.204766	0.591208	0.107632	0.00618176	0.0113155	0.00518633	0.00320175	0.00132235	0.00557423
í	0.000423218	0.000140604	0.00180573	0.0391474	0.944607	0.00507338	0.00146388	0.00227507	0.000987468	0.000620953	0.000182545	0.00327294
i	0.0178657	0.000103425	0.0146924	0.22135	0.604522	0.0666506	0.0327097	0.0164342	0.00805467	0.00743591	0.000695396	0.009486
b	0.00189938	0.000967873	0.0301012	0.267746	0.00980007	0.26427	0.0989848	0.17275	0.0837627	0.0237741	0.0135447	0.0323991
o	0.000723417	0.0002903	0.00553471	0.0382361	0.00299243	0.239262	0.0648921	0.302398	0.232752	0.0594606	0.0221318	0.0313267
o	0.000422103	0.000268506	0.0030508	0.0270304	0.00361286	0.272152	0.0720445	0.281775	0.190227	0.0326479	0.00649671	0.110273
f	0.00333091	0.000102483	0.0032796	0.0234195	0.000364298	0.0583596	0.257599	0.265258	0.235969	0.116353	0.00857571	0.0273887
u	0.00934108	0.00670554	0.00505772	0.00629131	0.000253635	0.0570977	0.0630294	0.211994	0.225915	0.230488	0.0177008	0.166126
ú	0.000909811	5.29958e-05	0.00161497	0.0118239	0.000132026	0.0228381	0.133446	0.255607	0.282654	0.171652	0.0254123	0.0938555
u	0.00103896	0.000151297	0.00198046	0.00712145	6.62797e-05	0.00904761	0.0774167	0.190901	0.302699	0.264722	0.0209643	0.123891
m	0.00282164	0.00228105	0.0118594	0.021593	0.000696433	0.014905	0.0353725	0.140885	0.184464	0.337903	0.0282848	0.218935
b	0.00124531	0.000202106	0.00365244	0.0202764	0.00151173	0.00328234	0.0613622	0.139181	0.166437	0.406505	0.0202873	0.176058
é	0.000914363	0.000482077	0.00116921	0.00952686	0.000544014	0.00401822	0.0261363	0.22056	0.296415	0.187187	0.0443295	0.208718
á	0.000891447	0.000227935	0.000449019	0.00626033	0.00011094	0.00514629	0.02205	0.154487	0.199488	0.317367	0.0229489	0.270573
l	0.00143425	0.000240853	0.00940183	0.0101273	0.000374947	0.00174456	0.0264344	0.0300945	0.0664628	0.28625	0.335319	0.232116
a	0.00135451	0.000628149	0.00231047	0.00413334	0.000411476	0.00127143	0.00813419	0.0119114	0.0386097	0.0912024	0.357796	0.482237
n	0.00105068	5.72144e-05	0.00117841	0.00181957	4.84276e-05	0.000652838	0.00571434	0.00349763	0.0154177	0.0739547	0.711645	0.184964
y	0.000436961	2.19766e-05	8.42893e-05	0.000226822	1.63955e-05	5.12478e-05	0.000470758	0.000297185	0.00163057	0.00582372	0.981404	0.00953576
i	0.000998233	4.76428e-05	0.000112961	0.000352907	3.43026e-05	0.000141338	0.000402701	0.000347122	0.00160632	0.00447265	0.979552	0.0119314
n	4.60752e-05	6.13468e-05	4.55096e-05	0.000126584	0.000120251	0.000135567	0.000347332	0.00039371	0.00312986	0.00356248	0.957112	0.0349195
g	0.00137022	0.000242165	0.000300267	0.00113153	3.23033e-05	0.00108361	0.00370158	0.010979	0.0550946	0.102341	0.143108	0.680616
a	0.00102858	0.00159092	0.00119248	0.00117696	3.56915e-05	0.000489601	0.00851317	0.00946884	0.0603367	0.0446025	0.567959	0.303605
</S>	0.00346897	0.000666812	0.00493233	0.00438915	2.99439e-05	0.00122391	0.0196173	0.0155833	0.0616098	0.119439	0.231089	0.537951
