 	les	soldats	étaient	venus	surprendre	le	voleur	dans	la	maison	</S>
a	0.638425	0.327928	0.0242607	0.0011221	0.00164124	0.00321005	0.00203609	0.000559006	0.000784625	2.94445e-05	2.98849e-06
m	0.0263111	0.9663	0.00316625	0.000710944	0.00112999	0.00153018	0.000291316	0.000244586	0.000129693	6.28852e-05	0.000123095
b	0.109039	0.571647	0.211739	0.00679621	0.0121397	0.0119756	0.0531644	0.00355793	0.000578799	0.000687693	0.0186744
ω	0.0508486	0.875513	0.0174335	0.000409716	0.00579724	0.00623844	0.0411084	0.00141109	0.000208905	9.86415e-05	0.000932846
r	0.0214686	0.957219	0.00521742	0.000111252	0.00211352	0.00798348	0.00295847	0.00123283	0.000338822	2.57295e-05	0.00133098
i	0.0379883	0.88061	0.0235182	0.00256888	0.00738613	0.008162	0.00137894	0.00681496	0.00202922	0.000982008	0.0285612
á	0.182741	0.0511029	0.634686	0.0642443	0.0160786	0.0095123	0.00121742	0.0209015	0.00573017	0.000395702	0.0133898
y	0.0346927	0.00317706	0.125943	0.501247	0.288627	0.0186858	0.00232512	0.00805147	0.00417135	0.00253433	0.0105451
a	0.00879856	0.00201766	0.0599677	0.791982	0.0887574	0.00473338	0.00218653	0.00517281	0.00408412	0.0062279	0.026072
á	0.227184	0.0162727	0.192645	0.265333	0.109534	0.0197065	0.00367742	0.0130227	0.0108966	0.0118779	0.12985
o	0.0310407	0.00137013	0.0867329	0.599625	0.132878	0.0616784	0.0181953	0.019942	0.0222214	0.0118058	0.0145093
k	0.00221661	0.0126563	0.0027283	0.0246035	0.665411	0.251958	0.0261858	0.00867277	0.00105379	0.00190442	0.00260967
á	0.00220069	0.0458535	0.00319177	0.0257713	0.651997	0.218587	0.0121605	0.0191395	0.00323265	0.000660791	0.0172058
m	0.0105553	0.00369081	0.00757099	0.016257	0.781514	0.0572562	0.0213348	0.0153721	0.00345921	0.000795196	0.0821946
b	0.0359521	0.00297347	0.0157768	0.0325637	0.29047	0.442004	0.0467363	0.100579	0.0131313	0.00171164	0.0181017
á	0.200793	0.0295979	0.0379215	0.0313678	0.174194	0.224326	0.0760208	0.091574	0.0242912	0.00226664	0.107647
s	0.0402766	0.000985313	0.0614742	0.198216	0.0992083	0.222162	0.126285	0.171115	0.050374	0.00448347	0.0254198
á	0.0298164	0.00639619	0.00987319	0.130983	0.107428	0.209059	0.0554246	0.160005	0.124213	0.100073	0.0667288
m	0.0467512	0.00711812	0.0200851	0.0491466	0.0247686	0.167612	0.292127	0.139299	0.119894	0.107819	0.025379
ú	0.0020335	0.00139908	0.00216691	0.00222828	0.0013642	0.0847223	0.850056	0.033612	0.00978426	0.00136246	0.0112709
b	0.000341517	0.00195039	0.00109153	0.00108506	0.0124849	0.296795	0.655182	0.0271729	0.00248428	4.38794e-05	0.00136843
h	0.0500814	0.00754443	0.00668678	0.00752281	0.0556491	0.132028	0.0245347	0.177806	0.0395082	0.00352467	0.495114
u	0.0362004	0.0228007	0.00545489	0.00913955	0.0348026	0.282821	0.036795	0.23912	0.0884999	0.0156612	0.228705
s	0.0057781	0.00203975	0.000776877	0.00692304	0.00343723	0.0858336	0.00774732	0.699628	0.137443	0.0063558	0.0440375
á	0.00558799	0.00702543	0.00151379	0.0152861	0.02576	0.124491	0.00999579	0.302303	0.298437	0.0589715	0.150628
n	0.00902388	0.00278905	0.00378253	0.00900125	0.00439206	0.0322848	0.0197199	0.194753	0.395269	0.294335	0.0346495
d	0.000539415	0.000432458	0.000701226	0.00775463	0.000204992	0.00205649	0.000108835	0.0151048	0.0519932	0.902621	0.0184829
é	0.000179133	0.00104516	0.000682046	0.00605949	0.000116019	0.000908212	3.37449e-05	0.00681675	0.0324204	0.932136	0.0196029
e	9.7724e-05	0.00112423	0.000670828	0.00720312	0.00270992	0.064672	0.00312585	0.194201	0.177099	0.165562	0.383535
</S>	0.0018079	0.00182174	0.00208669	0.00604533	0.00133414	0.0224924	0.000581749	0.262296	0.254511	0.0856241	0.361398
