 	il	a	taillé	une	pagaie	dans	le	bois	</S>
w	0.726121	0.213391	0.0021408	0.00912158	0.0146298	0.0134232	0.0185394	0.00253255	0.000100739
a	0.725752	0.199568	0.000419385	0.0102379	0.0324411	0.011111	0.0169903	0.00344142	3.90863e-05
á	0.0710201	0.69953	0.148714	0.0535829	0.00827001	0.00797156	0.00731562	0.00129499	0.00230024
p	0.0236107	0.202299	0.613996	0.0682561	0.00984854	0.0328147	0.0197444	0.00411098	0.0253194
á	0.00199128	0.0111568	0.900685	0.0303654	0.00351145	0.00499409	0.00295524	0.00380504	0.0405353
i	0.0023592	0.0284004	0.884141	0.0342381	0.00195712	0.00988601	0.0114833	0.00616275	0.0213723
i	0.439383	0.230707	0.0393221	0.189112	0.0343898	0.0275017	0.0152161	0.00359692	0.0207717
b	0.0208774	0.0623143	0.0140851	0.310506	0.466919	0.0811917	0.0206135	0.016851	0.00664285
v	0.016847	0.0609913	0.00219895	0.171407	0.627075	0.057387	0.0150272	0.0368412	0.012225
ú	0.00207189	0.0116248	0.00137125	0.103074	0.78402	0.0791106	0.00942961	0.00625779	0.00304046
a	0.0124415	0.0332806	0.0114639	0.610914	0.167414	0.0760966	0.022276	0.0355827	0.0305305
m	0.00513187	0.0432626	0.000296714	0.604554	0.0770714	0.170924	0.0460048	0.00556507	0.0471897
ó	0.0287425	0.0594108	0.00108465	0.304577	0.110403	0.227247	0.118493	0.0118371	0.138205
i	0.0175029	0.0440564	0.00429839	0.26456	0.217134	0.145027	0.0520852	0.181963	0.0733728
b	0.00217165	0.0122006	0.00357635	0.186984	0.308509	0.227222	0.0629728	0.134518	0.0618447
ω	0.00518539	0.0176033	0.000372766	0.147799	0.498594	0.133175	0.0355539	0.125666	0.0360503
n	0.000148129	0.0010472	7.94627e-05	0.127223	0.572398	0.0433478	0.0311486	0.18181	0.0427986
g	0.00420591	0.00686524	0.000570439	0.204611	0.181648	0.165409	0.144788	0.143953	0.14795
ω	0.0173455	0.00539357	0.000120458	0.101984	0.621965	0.0887519	0.0688189	0.053112	0.0425086
l	0.00106836	0.00143199	6.51393e-06	0.0668774	0.0522184	0.398033	0.326068	0.0595973	0.0946984
á	0.00367642	0.0124842	0.000189233	0.0895445	0.0261661	0.244084	0.259982	0.0737738	0.2901
l	0.0111638	0.0186794	0.00195523	0.0299041	0.0103112	0.0387011	0.0764931	0.793295	0.019497
ε	0.0377423	0.274894	0.000702739	0.0645871	0.0351399	0.136932	0.17656	0.117089	0.156353
k	0.00299946	0.0107996	0.000166369	0.01723	0.00680651	0.034092	0.12159	0.727963	0.0783528
á	0.000155638	0.0005231	0.000215913	0.00792788	0.00835092	0.0264513	0.0422352	0.870286	0.0438543
i	0.000124357	0.00186357	0.00104755	0.00641029	0.00657067	0.0450306	0.0346881	0.683834	0.220431
</S>	0.00032639	0.00174925	0.000285027	0.0180988	0.00873815	0.0189602	0.107324	0.51504	0.329478
