 	va	chercher	l'	homme	qui	est	adossé	à	l'	arbre	</S>
d	0.791214	0.0167437	0.0555291	0.0216691	0.0255618	0.0165965	0.000925755	0.0220061	0.0458208	0.0036745	0.000258568
z	0.781924	0.0888997	0.0227479	0.00317815	0.012473	0.00587952	0.0176559	0.00777022	0.0135227	0.00515608	0.0407928
w	0.718456	0.118199	0.0435202	0.0195131	0.0288864	0.0165357	0.0171979	0.0240162	0.00546991	0.0029107	0.00529521
a	0.264226	0.0776049	0.14424	0.0506489	0.125012	0.0863239	0.0136785	0.0168688	0.00937108	0.00399939	0.208027
á	0.039527	0.0965423	0.0225999	0.0273807	0.0200602	0.0412141	0.0180476	0.0296255	0.0176735	0.00328277	0.684046
o	0.0706449	0.471862	0.202107	0.0400204	0.0346423	0.067965	0.0147368	0.0252454	0.0160152	0.0033629	0.0533985
y	0.0220906	0.554751	0.0531645	0.0143379	0.0130812	0.0223732	0.28732	0.0118497	0.00374048	0.00407036	0.0132218
é	0.0121767	0.811707	0.0185126	0.00671611	0.017017	0.0117099	0.0737042	0.01849	0.00332993	0.00104252	0.0255938
n	0.0109556	0.444229	0.0813208	0.0186962	0.0407356	0.0544097	0.0955785	0.040881	0.0130139	0.00329351	0.196886
g	0.0562515	0.575199	0.105154	0.0365982	0.0384056	0.049004	0.0283006	0.0408575	0.0130545	0.00410818	0.0530664
á	0.0552588	0.405201	0.264685	0.0303085	0.0805051	0.0406301	0.02167	0.0302887	0.0148486	0.00764565	0.0489579
m	0.018452	0.0829258	0.238862	0.198201	0.147125	0.23449	0.039142	0.0136844	0.0108637	0.0048632	0.0113905
o	0.0118043	0.0185807	0.113093	0.5936	0.110458	0.0805078	0.00294996	0.00496233	0.00414686	0.00530199	0.0545955
r	0.0141692	0.0304331	0.113702	0.223901	0.283891	0.151167	0.0803574	0.0287658	0.0164648	0.0242684	0.0328796
o	0.00380535	0.0260431	0.277777	0.100946	0.404153	0.0497836	0.0176859	0.0307167	0.027031	0.0205308	0.0415265
y	0.000435005	0.0142288	0.171065	0.0622772	0.405353	0.110176	0.00908177	0.0660037	0.0427759	0.00941524	0.109188
é	0.0150194	0.0551226	0.241705	0.18511	0.253844	0.133617	0.034672	0.0210045	0.0176687	0.00670563	0.0355315
é	0.00254475	0.0154385	0.0886303	0.0959999	0.247834	0.208111	0.0884577	0.0987218	0.0698248	0.0377872	0.0466502
d	0.00853614	0.0758291	0.0105621	0.0135985	0.0398831	0.132745	0.288424	0.285488	0.0788102	0.021001	0.0451233
í	0.0013868	0.0105511	0.00432712	0.0101747	0.0194888	0.043851	0.178474	0.314543	0.11212	0.0203215	0.284762
ω	0.000427618	0.00471474	0.0101452	0.0110113	0.0482557	0.146381	0.128119	0.306253	0.191927	0.0414688	0.111298
k	0.000489574	0.00948866	0.00115986	0.000984465	0.0030189	0.00611297	0.274355	0.28894	0.178616	0.197118	0.0397173
ω	0.000904392	0.00329501	0.000266896	0.000773541	0.00160081	0.00265911	0.56287	0.221025	0.0599999	0.0617814	0.0848245
r	0.000128017	0.000569088	0.000305836	0.000490628	0.00374601	0.00532594	0.753653	0.0636508	0.0283462	0.110605	0.0331795
ω	0.00109161	0.00222999	0.00149311	0.00218637	0.0067694	0.0104153	0.58294	0.109911	0.0613893	0.0700707	0.151503
m	4.05935e-05	0.000354501	0.00193681	0.00133221	0.00428247	0.00754913	0.0179867	0.183272	0.351473	0.226365	0.205408
i	0.00235301	0.00164678	0.0167517	0.0342021	0.010795	0.0110757	0.00588572	0.0463763	0.192652	0.470185	0.208077
b	0.000262946	0.00141696	0.00304158	0.00359996	0.00555215	0.00742753	0.00664755	0.0630508	0.162131	0.293531	0.453338
v	0.00246362	0.00309831	0.00526435	0.00925354	0.00482411	0.0034105	0.00420595	0.0358053	0.0901093	0.71969	0.121875
ú	4.22217e-05	0.000164739	0.000861064	0.0010361	0.000813012	0.000553706	0.001417	0.0201312	0.0505265	0.866745	0.0577099
a	5.68433e-05	0.000419634	0.000892887	0.000910724	0.00126472	0.00219633	0.015341	0.0885521	0.112407	0.393533	0.384427
</S>	0.000146553	0.00258121	0.00631685	0.00357079	0.0108875	0.03079	0.00930693	0.1028	0.28215	0.0967716	0.454678
