 	amassez	les	herbes	en	tas	derrière	la	case	</S>
l	0.829836	0.125692	0.0225694	0.00947713	0.00812547	0.00118094	0.00292826	0.000106041	8.54088e-05
é	0.872737	0.104347	0.00777711	0.0055337	0.0023819	0.00186555	0.00364843	0.000715222	0.000994233
k	0.930745	0.0292384	0.00620406	0.00228989	0.00044297	0.0118489	0.000775874	0.00959747	0.00885701
ó	0.941856	0.0119249	0.029797	0.00315814	0.0019788	0.00105825	0.000661483	0.00310923	0.0064563
n	0.82861	0.0477612	0.0858001	0.0104438	0.00721436	0.00214125	0.00121016	0.00311299	0.0137065
g	0.805294	0.103714	0.0628906	0.00598863	0.00560654	0.00144961	0.00111302	0.00362137	0.010322
ó	0.930587	0.0488502	0.0109223	0.00204194	0.000747758	0.00171624	0.00122654	0.000893179	0.00301472
s	0.0947483	0.576054	0.195364	0.100819	0.0097437	0.00149966	0.00810398	0.00030975	0.0133583
á	0.0310962	0.236373	0.449792	0.156163	0.0208959	0.0122965	0.018315	0.00960075	0.0654672
p	0.0227797	0.359839	0.357128	0.142072	0.0241411	0.0222248	0.0168041	0.0464261	0.00858482
f	0.0123191	0.0687986	0.770152	0.0778738	0.056474	0.00442284	0.00066515	0.00662298	0.00267127
ú	0.0198746	0.0348307	0.703722	0.147579	0.0879566	0.00251776	0.000968581	0.00170137	0.000849105
l	0.0131844	0.0374813	0.426021	0.209193	0.301549	0.0049105	0.00365645	0.000965918	0.00303852
ú	0.00248764	0.104897	0.279735	0.461183	0.103728	0.0174581	0.0164795	0.00196755	0.0120638
m	0.000846836	0.0543911	0.169916	0.491648	0.173286	0.0301853	0.0329249	0.0010942	0.0457078
ó	0.000514397	0.0558269	0.041882	0.328934	0.166026	0.107307	0.205211	0.00842936	0.085869
n	0.0033986	0.0516936	0.0832567	0.296498	0.311156	0.178882	0.0409265	0.0155779	0.0186103
g	0.000324592	0.00436668	0.00205638	0.0319448	0.00889461	0.859387	0.0409444	0.0225319	0.0295492
ω	0.000113472	0.000202577	0.000320899	0.00222715	0.0025	0.977538	0.00178022	0.0140112	0.00130684
n	6.8603e-05	0.000640433	0.00189525	0.00872279	0.00636953	0.899198	0.0318013	0.0392856	0.0120183
g	0.000895725	0.0024884	0.0113806	0.0675569	0.208525	0.537903	0.0631894	0.0205756	0.0874853
ω	0.00111954	0.00146754	0.00565953	0.0158004	0.0412547	0.839619	0.0420754	0.0285946	0.0244097
y	0.000232933	0.00815656	0.00523662	0.0523995	0.0486752	0.0745572	0.713328	0.0152894	0.0821244
á	0.00301806	0.0303335	0.034975	0.0893318	0.106627	0.214679	0.38019	0.0940518	0.0467941
n	0.0136751	0.0220056	0.0110118	0.0289238	0.0485507	0.023497	0.362076	0.452317	0.0379425
d	0.00028874	0.00123099	0.000978814	0.0057856	0.00271836	0.43062	0.0712433	0.470225	0.0169096
é	0.000597345	0.000661255	0.000430256	0.00127936	0.00143899	0.147837	0.0441969	0.75069	0.0528697
e	0.000761972	0.00131354	0.00366931	0.0140211	0.0203077	0.173648	0.164755	0.308352	0.313171
</S>	0.000840928	0.00839398	0.0058731	0.0195717	0.0256534	0.0330624	0.472871	0.0684003	0.365334
