 	votre	père	est	fatigué	</S>
b	0.447948	0.543953	0.0070279	0.000623619	0.000446737
í	0.931282	0.0415666	0.0246099	0.00064629	0.00189492
n	0.951115	0.0398735	0.00776896	0.000241031	0.00100115
í	0.990203	0.0023133	0.00177087	0.000409913	0.00530315
t	0.508245	0.329783	0.0831719	0.0123079	0.0664918
á	0.0141212	0.965705	0.00870283	0.00246734	0.00900334
á	0.0278554	0.862347	0.0357177	0.00706816	0.0670118
a	0.0442089	0.215684	0.568264	0.0674641	0.104379
d	0.0163993	0.0327208	0.887334	0.0330237	0.0305222
í	0.00657629	0.00308905	0.700707	0.0143964	0.275232
o	0.0532499	0.00970072	0.464459	0.149604	0.322986
k	0.0030482	0.000262261	0.0543931	0.90893	0.0333665
ώ	1.20142e-05	2.9603e-05	0.00590248	0.980367	0.0136893
b	0.000325484	0.000599164	0.009564	0.964948	0.024563
h	0.17627	0.0258452	0.0939088	0.430435	0.273541
ώ	0.0485701	0.000812839	0.0435715	0.643809	0.263237
k	0.00796582	0.000315616	0.0503445	0.376621	0.564753
ω	0.0347867	0.0100545	0.0395277	0.780114	0.135517
b	0.000697733	0.000895252	0.0141856	0.780505	0.203716
h	0.157488	0.00760072	0.274469	0.337688	0.222754
ω	0.0137083	0.000241293	0.0356341	0.796891	0.153525
</S>	0.00388861	0.00060183	0.010566	0.0734367	0.911507
