 	le	feuillage	des	arbres	est	encore	couvert	de	rosée	attends	que	le	soleil	brille	pour	qu'	on	puisse	partir	</S>
s	0.400027	0.272199	0.0833285	0.179312	0.0226248	0.00325699	0.00571537	0.00982814	0.00342593	0.0138452	0.00156594	0.00193706	0.000991128	0.000928027	0.000374154	0.000237981	0.000304043	7.67769e-05	3.98915e-06	1.71311e-05
á	0.424082	0.263291	0.0561078	0.0277763	0.0360133	0.00667878	0.0150695	0.0544501	0.0565232	0.00714059	0.00478491	0.00718437	0.0127883	0.00223805	0.00773028	0.00248783	0.00670563	0.00280847	0.00178667	0.00435272
k	0.350891	0.336356	0.07518	0.0564484	0.0204049	0.023938	0.00659706	0.028043	0.0379047	0.0123249	0.00159949	0.0134991	0.0238644	0.000412864	0.00184393	0.000869073	0.00437273	0.00040353	0.00388467	0.00116242
ώ	0.0108715	0.147685	0.0216862	0.116995	0.0109299	0.00423076	0.00622382	0.00320532	0.0235248	0.318778	0.049555	0.0365548	0.0210541	0.100543	0.0433765	0.0230923	0.00386064	0.0151293	0.0152034	0.0274997
é	0.04004	0.274554	0.0441952	0.469137	0.0208565	0.00484874	0.00841479	0.0184192	0.00958509	0.0447389	0.0149551	0.0107709	0.00758202	0.00437832	0.00262626	0.00174366	0.00317384	0.00322674	0.000470959	0.0162836
s	0.0471213	0.010406	0.251648	0.0808742	0.301648	0.133247	0.0387893	0.021334	0.0194502	0.00721778	0.0256501	0.00835605	0.00465471	0.00373516	0.00739912	0.00579144	0.00332792	0.00313724	0.00117751	0.0250346
á	0.0162161	0.00848729	0.0625333	0.0176201	0.258249	0.390781	0.0532319	0.0264641	0.0218066	0.00831201	0.0181887	0.00815546	0.00977851	0.00378655	0.00853556	0.0059233	0.00372483	0.00199987	0.00828103	0.0679246
a	0.0108973	0.00175942	0.0720219	0.095235	0.151191	0.251861	0.033825	0.0703972	0.114824	0.0560657	0.0176371	0.0174597	0.0217068	0.00206476	0.00980875	0.00945284	0.0173833	0.00304534	0.00991729	0.0334465
l	0.00269879	0.0028648	0.0146152	0.0250053	0.0754967	0.315112	0.169792	0.0826474	0.175781	0.0781359	0.0163648	0.00779259	0.0146229	0.00578838	0.0014112	0.00077853	0.00174727	0.00270084	0.00203027	0.00461401
a	0.00283517	0.00383262	0.0147412	0.00633733	0.0512766	0.139118	0.151641	0.151104	0.151123	0.0856203	0.0517813	0.0259425	0.0197876	0.00727111	0.0164947	0.00801323	0.011781	0.00909615	0.0249908	0.0672121
m	0.00254122	0.000417205	0.012263	0.0112769	0.0200645	0.0247649	0.0463577	0.1331	0.432388	0.224826	0.0193341	0.0103836	0.00860838	0.00289204	0.00673668	0.00317131	0.0062856	0.00369353	0.0133759	0.0175182
b	0.00139576	0.000277903	0.00161811	0.000344628	0.00198017	0.00199723	0.00893886	0.0521545	0.904475	0.0118568	0.00247215	0.00232184	0.00564552	0.000138645	0.00110487	0.000217588	0.000396934	0.000409084	0.000983982	0.00127077
o	0.00123881	0.000641672	0.00313503	0.0066594	0.00274803	0.0015769	0.0317084	0.0674469	0.733665	0.0694489	0.0023986	0.00689313	0.0649472	0.00223484	0.00145747	0.000230349	0.000276831	0.000460938	0.00135894	0.00147229
n	0.000945338	0.000774426	0.00294837	0.00259285	0.00396935	0.00528602	0.159083	0.0996091	0.552147	0.136434	0.00940284	0.0068915	0.0103138	0.00357735	0.00101901	0.00027204	6.90132e-05	0.000498116	0.000464637	0.00370249
g	0.00489222	0.00276524	0.00654633	0.00295271	0.00626006	0.00577768	0.122811	0.237866	0.534934	0.0542301	0.00197215	0.00392478	0.0115469	0.000452894	0.000931949	0.000220077	0.000133845	6.31427e-05	0.000454773	0.00126453
o	0.0177594	0.00199045	0.017494	0.0172167	0.0117342	0.00696872	0.0849701	0.139841	0.329126	0.357027	0.00169488	0.00112574	0.0112931	0.000180064	0.000273198	0.000160742	0.000369574	4.10057e-05	6.93516e-05	0.000665121
l	0.00219177	0.00173569	0.016867	0.00679812	0.0507195	0.044768	0.201787	0.22748	0.0808552	0.101313	0.203291	0.0387872	0.00912837	0.00519203	0.00131209	0.00067359	0.00112328	0.00279262	0.000273052	0.0029113
o	0.0228889	0.00657092	0.0282618	0.00578226	0.0313052	0.030608	0.0639601	0.16574	0.0609696	0.196231	0.193684	0.0672172	0.0158382	0.00786636	0.0344617	0.0186952	0.0186812	0.00949015	0.010017	0.0117318
k	0.00394443	0.000905275	0.00897347	0.00347049	0.00930456	0.0103832	0.0422371	0.183999	0.0830642	0.216449	0.216882	0.117035	0.0582611	0.00595455	0.00698212	0.00304818	0.00425882	0.00685998	0.00926927	0.0087185
o	0.000760635	0.00183031	0.00545743	0.01728	0.0119761	0.00697766	0.0226957	0.0220195	0.0102272	0.617031	0.176443	0.0424145	0.0146862	0.0395964	0.00469214	0.00206005	0.000215982	0.0010364	0.000595068	0.00200536
n	0.000673571	0.00194692	0.00248079	0.00855324	0.00777592	0.0193716	0.0755786	0.0361678	0.0238795	0.323674	0.317001	0.0847938	0.0294392	0.0478497	0.00276144	0.00200116	0.000326839	0.00184278	0.000888426	0.0129929
g	0.00618352	0.013323	0.00890657	0.00756966	0.00732668	0.00535101	0.146799	0.194326	0.0298265	0.246796	0.165953	0.0843443	0.0513273	0.00982056	0.00519318	0.00214663	0.00154912	0.000939477	0.00067262	0.0116467
