 	les	aubergines	sont	cuites	</S>
t	0.690274	0.304163	0.00454972	0.000793389	0.000219283
s	0.521572	0.454136	0.00839976	0.00929769	0.00659507
a	0.287755	0.695063	0.00338913	0.00377612	0.0100166
n	0.136229	0.768396	0.00845698	0.0199359	0.066982
g	0.257409	0.423432	0.0181452	0.0044174	0.296596
í	0.214347	0.54959	0.00357574	0.0016324	0.230854
é	0.212517	0.544107	0.183909	0.00440409	0.0550625
m	0.00657957	0.0805155	0.629222	0.168664	0.115019
i	0.0113744	0.0304682	0.454238	0.28386	0.22006
s	0.00123908	0.00324657	0.140711	0.578543	0.276261
á	0.000638714	0.00567589	0.13879	0.711121	0.143773
á	0.00964176	0.0378465	0.110048	0.192679	0.649784
o	0.0177866	0.0309274	0.395447	0.201841	0.353998
b	0.0050921	0.00181083	0.0911852	0.694666	0.207246
h	0.00579555	0.00104134	0.0285012	0.922596	0.0420657
í	0.000729324	0.000334724	0.026254	0.52953	0.443152
a	0.000402042	0.000719872	0.0477466	0.0503432	0.900788
</S>	0.0167641	0.00880978	0.136366	0.0127502	0.825309
