 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
b	0.746963	0.152341	0.042143	0.0160712	0.00336546	0.00873936	0.00513751	0.0073254	0.0138036	0.00321083	0.000899903
ε	0.470509	0.307132	0.0864893	0.00364829	0.0268268	0.00829382	0.0219432	0.00891613	0.0591174	0.00419452	0.00292967
έ	0.0369553	0.486886	0.232404	0.0031346	0.0249939	0.0179528	0.0360956	0.017096	0.0780224	0.000926932	0.065532
b	0.127574	0.0913643	0.344747	0.0245789	0.10117	0.0221546	0.0401766	0.0119416	0.0186745	0.000434748	0.217183
ε	0.0449079	0.312272	0.221109	0.0168745	0.228658	0.0300822	0.0573503	0.0128456	0.0219124	0.000302822	0.0536854
έ	0.0315092	0.0991432	0.45136	0.0429992	0.0976024	0.0893358	0.0653152	0.0386867	0.0410758	0.00393583	0.0390364
l	0.0317304	0.0371359	0.161698	0.409553	0.135703	0.0931921	0.0364003	0.0372692	0.0183793	0.00448824	0.034451
a	0.0400512	0.0258525	0.151546	0.26453	0.109443	0.137842	0.0545608	0.0611249	0.0459116	0.0127116	0.0964258
p	0.0469617	0.0492685	0.12562	0.407064	0.0834353	0.0590324	0.0234842	0.0201199	0.025056	0.0302558	0.129702
o	0.00183973	0.0291304	0.0176279	0.871203	0.0320484	0.0190708	0.00477564	0.00932939	0.00221958	0.00147699	0.011278
o	0.00161633	0.00928289	0.0390199	0.851438	0.026639	0.0185104	0.00748774	0.0143351	0.00234869	0.00073134	0.028591
é	0.00128104	0.00105454	0.0536063	0.0167571	0.247041	0.33889	0.177338	0.088994	0.0438228	0.00170292	0.0295125
d	0.00473964	0.00435054	0.075972	0.0160217	0.242461	0.201254	0.226156	0.0831947	0.0576977	0.010695	0.0774581
í	0.000349117	5.25645e-05	0.00350639	0.000543145	0.0159235	0.0438447	0.145658	0.0843901	0.0819938	0.00164778	0.622091
l	0.00235916	0.000349844	0.0188873	0.00487368	0.0453094	0.127365	0.187316	0.134904	0.144741	0.0285015	0.305393
a	0.000929641	0.00101808	0.0053757	0.00250152	0.0323518	0.0928272	0.152515	0.172513	0.121743	0.0336091	0.384616
n	0.000449891	0.000199865	0.00331625	0.00229635	0.00997799	0.0578176	0.0420129	0.120769	0.138653	0.457009	0.167499
g	4.9132e-05	2.83475e-05	0.000421446	6.4418e-05	0.00146093	0.0100383	0.0119892	0.0377101	0.0555002	0.856227	0.0265109
o	1.04011e-05	1.50843e-05	0.000186027	5.72772e-05	0.000807055	0.00399909	0.00232348	0.00531956	0.00911698	0.975399	0.00276577
n	3.18022e-07	1.31767e-06	1.89219e-05	0.000217997	0.000168691	0.00301198	0.00173132	0.0140048	0.00703604	0.960828	0.0129809
d	0.000333383	3.73429e-05	0.000442588	0.000204227	0.00165796	0.0175329	0.00795424	0.0656281	0.13782	0.657828	0.110561
a	7.28789e-05	2.05002e-05	5.61521e-05	9.14068e-05	0.000473083	0.00201408	0.000898313	0.00634285	0.00891886	0.963589	0.0175231
y	0.000516841	0.000169235	0.00202973	0.000142794	0.0189039	0.0501933	0.0605832	0.0953233	0.292498	0.174244	0.305396
á	0.00725937	0.0040996	0.0267729	0.00354646	0.0471679	0.0605414	0.0696124	0.0614434	0.414494	0.158667	0.146395
a	0.00557385	0.00462469	0.0289131	0.00317454	0.0210814	0.0511791	0.034434	0.0752138	0.315799	0.31473	0.145277
k	0.00116084	0.00371237	0.0170945	0.0019161	0.0150059	0.0254084	0.0827511	0.115478	0.16546	0.130589	0.441424
ω	0.000273963	0.00391103	0.00752126	0.0255568	0.0240126	0.0484689	0.0983743	0.554094	0.0522396	0.0124203	0.173128
</S>	4.57197e-05	0.000176701	0.00146635	0.00445872	0.00641069	0.0622355	0.0739684	0.547967	0.0608299	0.0147876	0.227654
