 	le	manioc	rassasie	vite	</S>
e	0.790914	0.202509	0.00568355	0.0006547	0.000238729
k	0.121457	0.861768	0.00892649	0.00718096	0.000667
ώ	0.00993368	0.968713	0.00712942	0.0118338	0.00239044
ώ	0.0644124	0.845882	0.0326827	0.0336752	0.0233481
y	0.694826	0.22924	0.0452077	0.00203137	0.0286945
é	0.712094	0.0894438	0.0848329	0.0139262	0.0997029
e	0.836353	0.0332401	0.0917483	0.0125098	0.0261488
y	0.0886763	0.185971	0.424641	0.191567	0.109144
ú	0.0583297	0.0213036	0.397049	0.370163	0.153155
r	0.347315	0.0170196	0.454581	0.0789938	0.102091
í	0.117663	0.0593141	0.687521	0.0933085	0.0421943
s	0.126398	0.0366791	0.647535	0.125333	0.0640561
á	0.160822	0.0181355	0.452105	0.213699	0.155239
m	0.140139	0.00697856	0.242651	0.584558	0.0256734
o	0.0117063	0.000718599	0.137855	0.257781	0.591939
r	0.00262366	0.00576182	0.414532	0.356867	0.220215
o	0.0325627	0.00684317	0.151049	0.711072	0.0984726
l	0.0119563	0.00156161	0.134486	0.258702	0.593294
o	0.0339554	0.0180303	0.173049	0.306483	0.468482
k	0.00472712	0.00180628	0.0877085	0.399036	0.506722
o	0.00377648	0.0875084	0.126766	0.502603	0.279346
r	0.00301909	0.0154496	0.0789632	0.609505	0.293063
o	0.0137493	0.014233	0.0614804	0.481975	0.428562
</S>	0.0578814	0.0215902	0.152815	0.0894435	0.67827
